reference,predicted,count
a,a,4316
ʊ̃,ʊ̃,0
ɹ,ɹ,4714
ɛ,ɛ,3174
l,l,4425
ĩ,ĩ,0
O,O,0
ʃ,ʃ,714
æ,æ,2523
U,U,0
f,f,1855
õ,õ,0
n,n,7123
E,E,0
ẽ,ẽ,0
A,A,0
i,i,4641
e,e,2334
ð,ð,3020
m,m,3678
ɾ,ɾ,0
ɛ̃,ɛ̃,0
ʒ,ʒ,36
ʊ,ʊ,490
n̩,n̩,0
ʌ̃,ʌ̃,0
l̩,l̩,0
b,b,2503
ɾ̃,ɾ̃,0
k,k,4833
w,w,3368
ɑ,ɑ,1743
ũ,ũ,0
ɹ̩,ɹ̩,1968
æ̃,æ̃,0
ɪ,ɪ,6368
ɡ,ɡ,1578
ŋ,ŋ,1287
j,j,2279
t,t,5615
H,H,0
s,s,6413
θ,θ,939
z,z,2688
β,β,0
ʔ,ʔ,0
p,p,2286
ã,ã,0
ɪ̃,ɪ̃,0
d,d,3254
ɔ,ɔ,1251
v,v,1820
h,h,1506
m̩,m̩,0
ɑ̃,ɑ̃,0
o,o,2443
ɔ̃,ɔ̃,0
ʌ,ʌ,3807
I,I,0
u,u,1646
ɪ,j,5836
u,n,9
ʌ,d,103
ʔ,t,1374
i,ɪ,619
ʌ,o,306
ɑ,ɛ,33
n,ð,340
ʌ,e,33
a,e,44
ʒ,ə,97
ʌ,d͡ʒ,11
s,ɛ,13
ɪ,ə,1633
ʌ,ə,2933
ɪ,ʌ,118
ɾ,v,5
l̩,n,4
b,i,1
ɪ,ɡ,12
ɾ,æ,26
ɪ,f,2
ɡ,j,6
ɛ,u,18
n,f,3
f,k,9
j,ɪ,39
ʌ,z,50
s,æ,30
e,n,6
ɪ,i,328
ʔ,t͡ʃ,2
ɡ,ɪ,6
u,k,2
z,ɪ,12
ɹ̩,d,9
m,u,5
a,h,8
ʊ,ɡ,5
ɾ,l,22
n̩,a,3
d,k,10
ʌ,ɪ,623
d,t,504
ɹ̩,ə,61
h,s,9
ɪ,t,209
ɹ,e,13
h,j,28
ɛ,v,10
l,ɪ,9
p,t,39
ʌ,w,224
ɾ,t,1515
ð,θ,123
ɛ,æ,897
s,t,130
b,ɪ,13
ð,ɹ,11
æ,j,34
ʌ,j,185
k,o,1
e,w,11
o,i,7
ɪ,æ,597
d,d͡ʒ,532
z,s,242
l̩,w,12
ʊ,w,3081
ɔ,ʌ,28
ɾ̃,n,1390
ɑ,a,195
ɹ,w,56
ʔ,ɹ̩,4
ɹ,d,21
ɪ,ɹ̩,80
l,ə,40
a,w,35
ɪ,u,495
ʌ,æ,323
θ,ð,241
ɹ,ɪ,20
m,n,119
i,ə,226
n,m,59
θ,ɪ,5
l̩,ə,488
h,t,15
ʒ,ɪ,14
i,ŋ,10
ʌ,ɛ,327
ɔ,o,96
ɑ,æ,53
ʌ,ɔ,199
ɡ,k,94
ʃ,t͡ʃ,99
æ,i,17
ɛ,ð,81
f,v,103
ʊ,ə,140
n̩,æ,260
ɔ̃,ɑ,2
ʔ,n,111
o,ɛ,35
ʊ,l,43
ɪ,w,100
n,ŋ,202
ɪ,ɑ,65
ɛ,ə,351
ɛ,t,92
t,d,120
e,p,2
n,t,114
ʌ,l,83
m,w,40
w,l,37
s,d,18
ɛ,ɪ,382
ʌ,a,379
a,j,99
n̩,ə,284
e,ɛ,53
ɹ̩,ʊ,28
ɛ,ɹ,26
ɹ̩,ɔ,350
ɛ,d,44
ɾ̃,ə,35
ʌ,ɹ,69
e,l,8
u,ə,222
s,z,643
n,d,170
ɾ,d,594
n̩,n,204
ʌ,t,279
ʌ,ɑ,512
d,ð,95
ɹ̩,ɑ,50
a,ʌ,27
t,t͡ʃ,420
j,i,37
æ,a,76
ɑ,j,51
ð,n,17
f,t,33
ɑ,ɹ̩,33
æ,ɪ,31
ɛ,a,124
o,j,34
ʊ,d,16
ʔ,ɑ,9
æ,e,27
m,j,45
i,j,97
ɪ,ɛ,372
u,t,10
l̩,ɔ,12
u,i,31
ʃ,ɪ,21
f,b,5
ɾ̃,t,85
n,ɛ,10
æ,p,1
t,ə,115
s,t͡ʃ,10
ɹ̩,ɛ,93
n,w,45
m,ɑ,9
ɛ,b,7
t,ɪ,16
s,ə,51
n,a,23
o,w,113
ɛ,θ,9
n,h,7
ʊ,ɔ,31
i,ɛ,66
ʌ,ð,202
i,t,21
ɾ̃,w,69
ʃ,ɛ,9
l,æ,5
ɑ,t,26
ʔ,w,26
m,ɛ,13
l,w,82
ɪ,a,70
k,ɡ,38
ɛ,e,157
ɪ,d,71
d,ɛ,10
w,ɹ,9
o,ɑ,132
ʊ,n,71
ɔ,ɛ,6
ɹ,ɹ̩,244
æ,ʌ,13
ʔ,p,6
ŋ,ð,5
k,ə,15
ʌ,ʊ,37
z,d,18
ɔ,w,26
a,v,5
n̩,d,37
n,ə,69
ʌ,ŋ,16
o,ʌ,23
ɪ,ð,95
ɹ̩,t,12
l̩,t,16
ɪ,ʊ,41
ɾ̃,d,31
f,ɛ,2
ʊ,ɹ,18
n,θ,23
θ,z,6
ʊ,ɛ,24
n̩,ŋ,10
ɹ,j,57
j,k,7
ɪ,s,36
ɾ̃,j,42
ʌ,ɹ̩,326
ʒ,ɛ,8
u,d͡ʒ,2
o,u,16
θ,ɡ,2
ŋ,t,13
w,s,6
ʔ,ʌ,5
d,l,26
ʊ,t,66
z,l,7
ɔ,j,35
ʊ,o,23
b,w,18
k,n,9
a,d,24
ɪ,k,24
s,w,23
ɑ,ɔ,70
ɛ,s,13
θ,t,53
ʔ,u,3
b,t,26
m̩,m,32
m̩,ʌ,47
ð,b,15
ʃ,o,13
j,n,39
o,a,68
ɹ̩,ð,9
ð,ə,57
s,ɪ,22
ɛ,ʌ,58
ɛ,ɹ̩,62
ɪ,z,45
o,ɔ,121
ɹ,n,26
s,f,19
m,ɪ,19
ɪ,n,132
ʌ,h,43
ɪ,e,51
w,ɪ,15
ɹ̩,h,9
æ,ɛ,68
t,l,10
k,t,50
d,j,43
u,ɪ,43
h,ʃ,1
ɹ,o,10
i,w,17
a,o,22
ɹ̩,o,3
d,w,13
o,k,2
ʊ,e,6
ʊ,ɪ,80
d,ɡ,4
k,ɪ,7
ʌ,v,27
o,n,21
ʊ,ɑ,74
w,m,13
s,θ,30
ʒ,ʌ,148
h,k,6
z,ə,29
ɔ,ɑ,120
θ,u,1
ð,t,58
z,t,38
ŋ,j,13
θ,f,9
v,j,10
ʊ,b,5
θ,v,4
ʃ,ə,70
m,o,11
s,j,35
ʊ,æ,30
d,b,13
o,ɪ,25
ɪ,h,24
a,ð,15
ɾ,ə,32
θ,b,5
w,n,17
ɾ̃,a,11
ɾ̃,æ,14
o,t,28
d,ə,68
ʌ,u,326
h,ð,8
ɪ,ŋ,7
n,æ,38
e,j,77
ɪ,θ,10
t,ɛ,7
ɔ,ɹ̩,20
s,ð,46
t,θ,21
e,ə,66
ɪ,v,27
ɹ,z,16
ʒ,ɹ,4
ɛ,h,50
i,ʊ,3
j,æ,39
ŋ,d͡ʒ,1
ɛ,ɔ,12
l̩,u,1
d,æ,17
s,o,19
l,j,42
ɪ,m,18
k,p,8
d,n,48
l̩,ɪ,19
ɾ,n,51
ɡ,ʌ,2
ɑ,d,14
ɾ,a,16
ʔ,j,19
ʊ,ɹ̩,21
l̩,l,56
a,ɛ,20
i,u,85
ɛ,i,17
ʃ,j,33
ʌ,f,10
ʌ,n,143
ʊ,j,68
æ,d,9
u,ɔ,22
æ,w,35
ɪ,ɔ,36
æ,t,19
ɑ,i,3
m,l,16
b,p,57
a,æ,39
t,w,19
ɪ,o,42
m,t,22
ɾ,w,40
ʒ,ʊ,7
ɛ,w,47
ɛ,l,12
æ,n,8
v,b,61
v,f,21
z,ɹ,4
θ,w,3
m,ɔ,3
ʌ,k,22
ʃ,s,110
ʃ,d,9
ʃ,ɹ,20
ɔ,æ,14
ɹ,ʃ,2
ɹ̩,ɹ,137
ʃ,a,12
ɑ,w,42
ɾ,j,61
o,d,24
j,p,4
ɪ,ɹ,47
o,b,3
ɑ,f,1
b,ɛ,3
w,ɛ,10
p,b,21
m,d,11
k,b,12
ɛ,ŋ,2
i,h,10
ʊ,ʌ,46
o,h,4
æ,u,8
ɹ,t,33
ʔ,ə,28
θ,d͡ʒ,2
t,s,29
a,ə,17
ɑ,ʌ,52
a,ɑ,15
ʌ,i,46
ɡ,t,15
ɾ,i,8
w,æ,14
ɔ,a,29
j,w,32
j,a,11
ɹ,ə,46
h,a,14
ɛ,j,108
h,w,15
ɑ,ə,51
ʌ,θ,19
p,v,9
z,ð,39
e,u,4
θ,p,6
ð,æ,41
ʌ,s,52
s,e,8
j,t,19
o,f,1
n̩,l,11
t,p,16
j,u,53
v,ɹ̩,3
d,ɪ,20
ɹ,a,16
j,ə,27
b,d,16
n̩,ɪ,129
ʃ,h,9
i,t͡ʃ,2
t,a,6
ʔ,æ,26
e,a,19
h,ɹ̩,2
o,z,6
n,ɪ,32
z,w,6
ʃ,t,24
ɛ,n,69
j,h,20
o,ɹ̩,15
w,j,14
ʔ,d,51
ʃ,æ,25
ɹ,θ,6
l,ɹ̩,5
f,p,41
l̩,ɛ,6
v,ə,18
o,ə,46
ɪ,l,27
ʔ,s,8
u,ɛ,7
z,ɛ,22
ʔ,f,2
ʒ,u,11
ɾ,u,2
ɪ,d͡ʒ,28
ɾ,ɪ,12
m,v,15
b,ɑ,2
ʒ,ɹ̩,8
u,w,31
z,k,11
h,d,7
ɾ,s,10
ɾ̃,o,15
ŋ,ɡ,2
n̩,m,6
d,ɹ,6
ʒ,d͡ʒ,59
ɹ̩,u,27
ʔ,k,14
t,ð,61
n,j,46
k,ŋ,8
ð,z,11
s,n,24
ɾ̃,ŋ,42
ʒ,s,13
ʌ,ɡ,11
õ,n,11
u,j,9
o,t͡ʃ,1
ɪ,b,20
ʔ,ɛ,7
m,ə,23
ɾ̃,u,9
ɾ,ɛ,4
æ̃,æ,47
t,n,39
ʃ,z,26
w,ə,23
z,j,13
i,e,58
z,f,4
z,b,1
õ,θ,1
f,z,6
ɹ̩,ʌ,9
ð,p,7
ʔ,ɪ,12
ŋ,n,75
l̩,o,14
ʃ,d͡ʒ,17
h,u,7
ʌ,b,29
t,ʃ,1
ʒ,z,32
n̩,i,6
ɾ̃,ɪ,14
ʔ,ð,10
n,i,5
ð,j,21
t,u,7
ɛ,o,30
k,ð,9
z,o,2
e,i,62
h,z,1
m,ʌ,5
e,æ,27
n,e,8
z,θ,11
l,e,6
o,p,2
ɡ,t͡ʃ,1
h,n,9
u,a,8
ʃ,ɹ̩,15
ɹ̩,ɡ,2
n,l,18
v,w,21
z,æ,13
ɹ̩,e,4
ɾ,ɑ,19
ɑ̃,ɑ,22
u,ɑ,2
s,ɑ,8
s,ʊ,1
m,p,9
k,ʊ,1
e,o,9
ð,u,2
t,z,17
m̩,ə,41
õ,l,2
i,n,18
u,ɹ,2
ɑ,s,2
θ,e,3
ŋ,æ,4
ɾ̃,ʊ,1
ŋ,k,2
l,n,22
ɾ,θ,1
s,v,11
ʌ̃,ɑ,8
s,d͡ʒ,5
e,ʌ,9
ɪ,t͡ʃ,10
l,b,14
θ,j,4
ʔ,b,3
d,v,15
ɹ,æ,11
ɪ̃,n,8
ð,l,21
ð,v,15
f,d,4
ŋ,w,10
n,ɹ,14
a,d͡ʒ,4
ɹ,d͡ʒ,7
d,ʌ,31
ɛ̃,ɛ,16
ɾ,ɹ,9
m,a,14
ʊ,θ,6
z,v,12
ʊ,s,19
ʒ,w,8
z,t͡ʃ,3
u,o,24
i,ʌ,12
z,e,3
w,ɑ,8
h,ɛ,11
b,u,4
ʌ̃,ɛ,2
e,b,2
æ̃,ɪ,4
ʌ̃,ʌ,9
ɛ,ɑ,16
f,ɔ,12
j,ð,15
a,ŋ,3
õ,ɑ,18
ʊ̃,n,24
ð,ɪ,19
ĩ,i,11
ʒ,æ,8
æ,ɹ̩,1
ʊ,k,4
w,b,18
ʃ,ð,11
f,ð,10
e,θ,1
j,d,13
a,ɔ,8
z,ɑ,3
ɔ,ʊ,5
o,æ,16
ɡ,b,2
j,m,5
s,ɔ,6
