reference,predicted,count
l,l,1965
j,j,1738
ŋ,ŋ,300
ɹ,ɹ,0
b,b,2131
z,z,2188
β,β,0
s,s,5608
ʒ,ʒ,20
ʌ̃,ʌ̃,0
ʔ,ʔ,136
E,E,0
A,A,0
æ,æ,178
l̩,l̩,0
n,n,7366
i,i,4115
e,e,577
t,t,3591
ɑ̃,ɑ̃,0
m̩,m̩,0
o,o,614
d,d,2438
a,a,2523
k,k,4426
h,h,1398
u,u,462
ɑ,ɑ,218
ʌ,ʌ,0
m,m,3942
ɛ,ɛ,3251
õ,õ,0
ɾ,ɾ,404
O,O,0
I,I,0
H,H,0
ẽ,ẽ,0
ɹ̩,ɹ̩,0
w,w,1906
ɡ,ɡ,910
ɾ̃,ɾ̃,0
̩,̩,0
ɪ,ɪ,0
ã,ã,0
ʊ̃,ʊ̃,0
U,U,0
ʃ,ʃ,262
̃,̃,0
æ̃,æ̃,0
f,f,1692
ɪ̃,ɪ̃,0
ɔ,ɔ,333
v,v,1643
p,p,2009
n̩,n̩,0
ĩ,ĩ,0
ʊ,ʊ,0
ɛ̃,ɛ̃,1
ũ,ũ,0
ɔ̃,ɔ̃,0
ð,ð,242
θ,θ,254
f,p,77
ɔ,o,372
ɹ,ɾ,443
f,v,191
u,eː,12
ʌ,ɛ,1675
ɾ̃,n,1020
ɪ,j,1755
ɹ,ɕ,14
ɪ,sː,15
m,t,17
a,h,23
ɪ,e,1032
s,ʔ,4
l,t,42
f,ɛ,24
ɑ,ɡ,4
n,øː,10
e,ɛː,27
ɪ,ɲ,104
m,vː,1
ɑ,a,800
n,ɛ,150
ɪ,r,369
ɾ,ɛ̃,4
ʊ,d͡ʒ,5
ɪ,ɛ,1771
d,z,12
ʒ,t,14
ʌ,ɨ,731
s,r,63
ɪ,u,174
s,lː,1
ʌ,ɔ,683
ɪ,i,2765
ɾ,ɡ,9
l̩,eː,2
b,l,9
ɪ,k,118
ɾ,i,55
ɪ,s,116
ɡ,ɛ,51
ɪ,y,69
f,n,9
ʌ,t,163
s,ʂ,53
e,ɛ,742
ʔ,f,3
ɡ,ɨ,6
u,n,32
z,ɛ,46
ɹ̩,ɛ,365
ɪ,v,151
p,ɒ,8
ʊ,ɡ,18
ɾ,ɛ,69
n̩,n,339
d,t͡s,61
d,y,15
ɹ̩,t,17
h,n,19
ɹ,t,37
h,m,3
l,ɟ,1
p,s,5
ʌ,ø,279
ɾ,r,699
ɹ̩,u,154
b,v,72
ð,t̪,16
ɛ,eː,108
ɹ,ɻ,211
ð,d,817
ɹ̩,ɨ,162
b,ɛ,45
ʌ,s,88
t,ɛ,147
ð,k,25
æ,ɛ,628
k,h,12
e,t͡s,4
o,ø,109
ɔ,h,18
ɹ,r,1322
l̩,ɔ,100
ʔ,m,17
w,ɔ,55
t,t͡ʂ,85
u,i,228
ʊ,ɔ,202
k,ɡ,114
a,ɛ,439
ɔ,a,136
ŋ,n,419
ɛ,o,68
a,i,145
s,o,35
æ,aː,415
ɪ,ø,237
ʊ,r,240
d,i,101
j,k,13
ɪ,n,628
k,r,24
ɛ,h,23
ɹ̩,l,32
ɾ̃,j,56
ɪ,a,300
ʔ,n,150
ʊ,n,191
ɾ̃,eː,9
ʌ,r,262
ʌ,iː,16
b,t,11
ɹ,e,46
ɪ,t,283
k,i,31
s,f,16
ɹ,f,8
i,ɛ,160
d,ɛ,114
ɹ,p,22
m,x,3
s,i,38
θ,t̪,4
ɹ̩,o,254
d,ɖ,33
a,aː,505
ʌ,aː,429
ɔ,uː,6
θ,t,446
ɛ,e,484
o,ɛ,562
ɹ,w,206
ɪ,ɨ,1509
ɾ,ɔ,47
ɹ̩,i,90
ʌ,y,49
o,u,80
æ,j,81
d,d͡ʑ,154
j,e,114
ʌ,ɻ,12
l,m,46
i,u,73
ʌ,j,228
ɾ̃,a,75
ʌ,n,399
ɪ,w,171
m̩,ǃ,3
h,u,16
o,e,59
ʊ,u,202
k,kʲ,23
ŋ,ɲ,95
ʌ,u,308
ɹ̩,ɔ,144
ʌ,a,1857
m,t͡ʂ,2
ŋ,j,33
t,ɾ,41
ʃ,t͡ʂ,16
æ,ɨ,31
ɾ,t͡s,4
æ,a,578
d,r,236
