original,substitution,total_substitutions
ʌ,ɪ,1838
s,z,726
ɛ,ɪ,696
ɪ,ʌ,628
ɪ,ɛ,614
n,ɾ̃,580
ʌ,ɛ,565
i,ɪ,564
ɪ,i,446
t,ʔ,443
ʌ,ɹ̩,404
ɾ̃,n,373
ɛ,ʌ,367
ɛ,æ,333
d,ɾ,323
ʌ,o,311
æ,ɛ,308
ʌ,ɑ,249
u,ɪ,227
ʌ,a,210
θ,ð,210
o,ʌ,207
t,d,198
ʊ,ɪ,190
n̩,ɪ,188
t,ɾ,187
ʔ,t,186
ʌ,ʊ,185
ʊ,ʌ,176
ɑ,ʌ,167
d,t,155
a,ɑ,153
n,ð,151
o,ɔ,126
a,ʌ,121
ʊ̃,ʊ,120
z,s,120
ʌ,l̩,119
n̩,ʌ,116
n,ŋ,112
n,m,111
ɹ,ɹ̩,108
ɑ,ɔ,107
ɑ,a,105
d,ð,104
ɹ̩,ɛ,102
f,v,100
õ,o,100
ʌ,æ,99
ɾ,d,99
ɛ,a,99
ð,n,97
ɹ̩,ɹ,95
n̩,n,93
ɔ,o,93
n̩,ɛ,90
ɛ,e,88
ɪ,ʊ,85
ɔ,ɑ,85
ð,θ,84
n,n̩,83
e,ɛ,82
æ,ɪ,78
ŋ,n,78
e,i,74
n,ʔ,74
ʌ,u,72
l̩,ʌ,71
ɪ̃,ɪ,71
n,ɪ,70
ɪ,ɹ̩,70
ɔ,ʌ,69
m̩,ʌ,68
ɛ,ɹ̩,64
ɪ,u,64
t,ð,57
ɹ̩,ɪ,56
n,d,55
a,ɛ,54
æ,ʌ,52
æ̃,æ,50
ʃ,ʒ,50
ɑ,æ,49
ʃ,s,49
o,ɛ,49
l̩,l,48
k,ɡ,48
ɔ,ɹ̩,48
m,n,48
ʔ,ɾ,48
ɡ,k,47
ʌ,ð,46
s,ð,45
v,b,44
ɹ̩,ʌ,44
m̩,m,43
æ,a,43
i,e,43
ʌ,ɔ,41
t,ɪ,40
j,i,40
ʊ,ɹ̩,38
ɪ,n̩,37
s,t,37
ɾ̃,ɾ,37
ʔ,d,37
v,f,36
n,ʌ,35
ɪ,n,35
ʌ,i,35
z,ð,35
d,ɪ,35
ɪ,ɾ,35
ʌ,n,34
u,i,34
ʌ,t,33
ã,a,33
ʌ̃,ʌ,33
ɾ,ð,32
ʔ,n,32
s,ɪ,32
ɪ,ð,32
ʌ,n̩,32
j,ɪ,31
ɪ,æ,31
ɛ,n̩,30
ʊ,u,29
ɑ,ɹ̩,29
t,θ,29
ʊ,l,29
b,p,28
s,ʃ,28
t,n,28
ʌ,d,28
a,æ,28
æ,ɑ,28
ɛ̃,ɛ,28
m̩,n̩,27
i,ɛ,27
ð,ɪ,26
u,ʌ,25
b,v,25
n,ɛ,25
ʒ,z,25
ʌ,ɾ,24
a,e,24
ɛ,o,24
i,j,24
n,ɾ,24
s,ʌ,24
p,b,24
l,l̩,24
