reference,predicted,count
ɛ̃,ɛ̃,0
n,n,7382
ʊ̃,ʊ̃,0
k,k,5130
ɾ̃,ɾ̃,1544
ɪ̃,ɪ̃,0
O,O,0
t,t,5600
j,j,3045
l,l,4906
ɑ̃,ɑ̃,0
ɪ,ɪ,16284
i,i,5708
ũ,ũ,0
ɔ̃,ɔ̃,0
e,e,2617
ɛ,ɛ,4740
m̩,m̩,112
ɹ,ɹ,5266
ɑ,ɑ,2053
ŋ,ŋ,1341
w,w,3712
õ,õ,0
ẽ,ẽ,0
A,A,0
H,H,0
s,s,7261
I,I,0
a,a,4423
h,h,1782
ɡ,ɡ,1752
z,z,3108
p,p,2421
m,m,4411
b,b,2779
ɔ,ɔ,1417
θ,θ,1214
ʌ,ʌ,9645
o,o,3008
β,β,0
v,v,1992
ʒ,ʒ,933
E,E,0
ʔ,ʔ,1592
d,d,4193
æ,æ,2558
ɾ,ɾ,2494
ɹ̩,ɹ̩,2630
ʃ,ʃ,1640
ð,ð,3460
ĩ,ĩ,0
u,u,1872
ʌ̃,ʌ̃,0
ã,ã,0
n̩,n̩,577
ʊ,ʊ,4419
f,f,2138
l̩,l̩,525
U,U,0
æ̃,æ̃,0
ʌ,ɛ,511
ɑ,ɔ,97
m,w,10
ɑ,ʌ,239
ʊ,ʌ,217
ɪ,ʌ,746
ʌ,o,198
l,ʊ,15
ɾ,k,2
l̩,i,1
b,s,3
ɛ,o,19
n,ʊ,13
ɪ,z,11
s,n,6
ɹ̩,t,6
m,ʃ,1
a,h,2
ɪ,i,403
p,o,1
ɾ,p,1
d,n,23
n,s,8
d,t,171
ɹ̩,e,3
ɹ,b,5
l,ɾ,11
p,ɹ̩,2
ʌ,w,21
ʌ,ɪ,1727
o,ʌ,334
z,s,184
n,ɾ̃,459
ŋ,n,79
a,e,37
ʔ,t,192
ʌ,u,71
ʌ,n̩,32
θ,ð,192
m,z,2
ʌ,æ,74
ɔ,o,78
ɛ,ɪ,678
o,ɛ,30
n,d,56
ʌ,ʔ,8
ɑ,æ,49
ʌ,ɹ̩,365
ɛ,ð,20
f,v,90
n̩,ɪ,183
ɔ̃,ɑ,2
ɛ,ʌ,449
t,ʔ,410
ʌ,l̩,76
s,z,641
ɾ̃,n,474
ʌ,ɑ,206
n,ð,138
e,ɛ,99
ʌ,ɔ,33
n,ŋ,96
d,ɾ,318
ɾ,d,96
ɪ,ɛ,615
d,ʌ,17
ʊ,m,10
a,ɛ,78
æ,i,9
ɑ,w,4
m,ɛ,10
ɑ,l̩,1
ɛ,a,68
ɪ,ɹ̩,64
æ,ɛ,380
u,ɪ,212
m,u,1
i,ʌ,19
d,ð,105
n,h,5
ʊ,ɹ̩,33
l̩,l,49
h,ʌ,7
ɔ,w,11
i,ɹ,4
ɪ,u,60
w,ɹ,8
ð,n,119
ʊ,l̩,13
æ,ʌ,54
ʔ,p,18
ʌ,ʊ,116
a,ʌ,208
ɪ,v,13
i,ɪ,563
ɪ,ʊ,76
ɾ̃,ɾ,36
ɔ,ʌ,89
ʊ,ɪ,178
n̩,m,13
z,ʒ,18
ɑ,ɹ̩,29
n̩,ʌ,131
l,m,4
ʊ,ɛ,19
ʊ,u,33
a,æ,52
m,b,16
s,t,31
ʌ,p,5
u,i,34
ʌ,z,19
n,m,104
ɹ̩,n,5
n,ʔ,79
ɛ,i,23
ɹ̩,ɪ,59
ɪ,j,15
ɹ,l,7
u,ʊ,12
o,ɔ,127
ʌ,t,29
ɪ,æ,27
m̩,m,48
t,θ,26
ɡ,k,55
d,b,7
ɛ,æ,298
ɪ,b,10
t,d,175
ɹ̩,ɹ,97
ʊ,e,7
æ,a,32
d,ɪ,27
ʔ,n,30
o,u,8
ɔ,ɑ,88
d,ɛ,7
n,n̩,84
a,w,2
ɪ,n,35
ʌ,a,144
ɑ,ɛ,15
h,ð,6
a,ɑ,150
a,ð,11
d,l,4
ʊ,l,26
d,ɡ,6
ʌ,ð,37
ɹ,ɾ,14
ɛ,e,74
ɛ,ɹ̩,63
æ,ɪ,66
ŋ,ɾ̃,13
l̩,ʌ,96
ɑ,a,96
o,h,3
ʔ,ɪ,9
ɾ̃,h,4
ɪ,ɾ̃,17
ʌ,f,3
t,ɾ,188
æ,ʊ,4
n̩,n,110
n,ɪ,58
ʌ,ʒ,4
p,f,10
ɹ,ɪ,22
æ,e,17
m,ɪ,12
b,p,29
ɑ,ɹ,2
ʔ,ɾ,52
n̩,ɛ,77
ɛ,ɾ,9
ɪ,n̩,41
v,f,53
θ,ʊ,1
æ,ð,8
ʌ,n,32
m̩,ʌ,68
ɑ,ʊ,4
ʌ̃,ʌ,39
ð,θ,94
ɹ,z,9
ɹ,ɹ̩,117
ɪ,ɾ,31
j,p,2
ɛ,ɹ,9
p,b,14
a,ɔ,6
k,ɡ,51
o,a,11
ʒ,ʃ,14
j,i,37
n,a,5
n,ɾ,33
ɑ,ɡ,1
n̩,ɾ̃,10
ʔ,n̩,3
ɾ,ɾ̃,20
e,ð,4
ʌ,ɹ,10
ɑ,o,18
p,v,4
w,b,14
θ,t,11
d,z,14
ð,ɾ,4
ʔ,ð,6
ɪ,h,8
ɾ,t,6
s,m,5
ʃ,t,7
i,u,26
θ,ɾ̃,1
ɔ,ɹ̩,49
ð,v,8
ɹ,ɔ,2
æ,ɑ,26
ʌ,m̩,34
ɾ,ɪ,10
s,ð,41
s,ɪ,24
s,ʃ,35
j,h,7
ʔ,d,32
j,ɪ,43
o,æ,13
ʊ,h,3
ɪ,w,16
n̩,l,3
ʊ,v,8
v,n,1
a,j,6
j,n,15
ɹ,ɡ,3
ɪ,k,5
ʒ,ɹ̩,2
ɪ,l̩,8
j,s,7
ɾ̃,ɛ,5
d,ɾ̃,5
n,ɛ,22
