reference,predicted,count
ð,ð,3394
õ,õ,0
θ,θ,1216
ɔ̃,ɔ̃,0
d,d,4284
h,h,1771
ẽ,ẽ,0
I,I,0
ʊ,ʊ,4373
j,j,3044
ɪ̃,ɪ̃,0
U,U,0
n̩,n̩,641
ɛ,ɛ,4684
l,l,4815
O,O,0
u,u,1865
l̩,l̩,532
æ,æ,2419
ŋ,ŋ,1346
ɪ,ɪ,16282
i,i,5682
v,v,1953
ʔ,ʔ,1627
n,n,7488
t,t,5561
ʃ,ʃ,1687
b,b,2789
o,o,2956
ɾ,ɾ,2441
ɡ,ɡ,1751
A,A,0
ɹ,ɹ,5233
æ̃,æ̃,0
f,f,2150
E,E,0
H,H,0
ɹ̩,ɹ̩,2613
ʒ,ʒ,937
ʌ̃,ʌ̃,0
ʊ̃,ʊ̃,0
m,m,4385
ɑ̃,ɑ̃,0
ũ,ũ,0
z,z,3052
ɾ̃,ɾ̃,1508
ã,ã,0
β,β,0
ɑ,ɑ,2021
m̩,m̩,19
ɔ,ɔ,1398
a,a,4454
ʌ,ʌ,9393
p,p,2421
e,e,2599
ɛ̃,ɛ̃,0
s,s,7197
w,w,3656
ĩ,ĩ,0
k,k,5126
ɔ,o,107
ʌ,ɛ,491
ɾ̃,n,490
ʌ,ð,42
ɑ,ʌ,241
ʊ,ʌ,215
ɪ,ʌ,715
s,t,44
l,k,3
ɪ,j,18
ɾ,j,1
l̩,s,1
b,i,1
ɪ,ɡ,9
ɾ,o,3
ɪ,ʊ,70
ɡ,z,1
ɛ,ʌ,387
ɪ,ɹ̩,54
f,n,1
j,a,4
ʌ,ɪ,1763
s,n,7
ɪ,k,4
ʔ,n,36
ɹ̩,h,1
m,i,5
a,ɹ,5
ɪ,h,14
p,o,1
ɾ,p,1
n̩,a,1
d,k,4
d,ʌ,17
ɹ̩,s,2
h,t,3
ɹ,b,5
l,ɾ,8
p,ɹ̩,1
t,ʔ,437
ʌ,w,20
ʌ,e,18
z,s,206
n,ɾ̃,426
n,ʔ,52
a,ɛ,59
a,e,29
j,d,5
ʌ,o,209
ʌ,ʊ,182
θ,ð,195
ɛ,i,25
ʌ,a,156
m,ʊ,7
ɛ,ɪ,738
n,d,63
ɑ,æ,60
ʌ,ɹ̩,353
ɛ,ð,14
f,v,80
ʊ,ɪ,178
n̩,ɪ,180
ɔ̃,ɑ,2
ɪ,n̩,53
ʌ,l̩,87
s,z,607
e,ɛ,80
ɑ,ɔ,127
n,ŋ,99
d,ɾ,269
ɹ̩,ɔ,10
ɪ,i,431
ɾ,d,120
o,ʌ,330
l̩,ʌ,89
ʌ,ɑ,203
d,ɪ,33
ʊ,m,4
ɪ,w,15
æ,ʊ,5
æ,i,11
ʌ,ɔ,40
m,w,9
æ,ɪ,89
ɛ,a,74
æ,ɛ,423
u,d,4
m,ɪ,12
o,ɔ,120
ʊ,l,22
n,ɛ,22
s,θ,26
d,ð,97
n,h,6
ʊ,ɹ̩,42
l̩,l,44
ʌ,n,35
ɛ,æ,228
h,ʌ,6
ɛ,ɹ̩,60
ɪ,ɛ,529
ð,n,132
ʊ,l̩,13
ɔ,s,1
l,o,3
t,n,34
æ,ʌ,65
ʔ,p,6
l̩,o,1
n,o,10
ɔ,ʊ,9
a,ʌ,176
ɪ,v,13
n,ð,97
d,t,156
i,ɪ,538
ɾ̃,ɾ,27
ɔ,ɛ,6
k,ɡ,61
n̩,m,7
z,ʒ,20
j,ɪ,34
a,l,3
ɑ,ɹ̩,27
n̩,n,98
u,ɪ,220
n̩,ʌ,110
ʔ,t,181
l,e,10
m,b,20
s,ʃ,46
æ,a,30
ɑ,o,10
ʌ,n̩,39
ɹ̩,n,6
ɹ,l,6
u,ʊ,7
n,ɪ,59
ɪ,æ,18
ŋ,n,84
ɡ,k,48
d,b,9
t,d,206
e,i,89
æ,o,4
ɑ,ɛ,25
ʊ,u,29
h,θ,4
ʊ,e,2
w,m,10
ʌ,u,70
d,ɛ,8
θ,t,11
ð,θ,104
i,e,39
ð,t,15
ʌ,z,13
s,e,3
ʌ,æ,65
ɔ,ʌ,86
s,o,5
ɪ,n,43
w,o,6
a,n,9
d,l,4
ʌ,v,9
ɹ,ɾ,11
j,i,27
ɛ,e,81
o,ɪ,36
i,ʊ,6
o,ɛ,35
e,a,14
n,m,99
ŋ,ɾ̃,12
ɪ,ɑ,12
ɪ,ɾ̃,19
ɑ,a,81
ɪ,ʔ,11
ɪ,u,58
ʌ,f,3
ɹ,ɹ̩,109
t,ɾ,173
ʌ,t,33
ʌ,ʒ,5
p,f,8
ɡ,ɪ,4
m,ʌ,14
b,p,25
ɹ,o,2
ʔ,ɾ,44
n̩,ɛ,91
h,j,7
ɛ,ɾ̃,9
ɾ,ɪ,6
ɪ,z,18
ɛ,o,22
l,ʊ,12
n,n̩,98
v,f,60
θ,ʊ,1
a,ʊ,4
ɹ̩,ʌ,67
ɾ,t,8
ʔ,u,1
ɑ,ʊ,4
w,ʊ,6
ʌ̃,ɪ,15
l,n,7
ɑ,ð,1
ɹ,z,4
ɪ,ɾ,37
j,p,3
ɛ,ɹ,10
t,ɪ,45
p,b,18
s,d,15
a,ɔ,4
o,a,12
t,θ,31
ʒ,ʃ,13
a,ɑ,161
ɔ,ɑ,68
ɾ,i,3
w,ɪ,11
ʔ,n̩,4
ɾ,ɾ̃,23
h,ʊ,1
e,ð,7
m,n,44
p,v,2
w,b,10
ð,ɛ,22
ʃ,t,5
i,u,27
θ,ɾ̃,1
ð,v,4
d,ʊ,6
ɹ,ɪ,34
n̩,ɾ̃,11
s,ð,41
u,i,35
b,v,14
ð,ɪ,22
ʔ,d,39
j,æ,4
ʌ,h,12
ɾ̃,i,3
a,h,4
o,l,6
f,p,14
m,v,17
ɛ,n,15
w,ʌ,18
v,n,3
ʌ,m,9
a,j,8
j,n,10
ɹ,ɡ,3
ʌ,ɹ,16
ʒ,ɹ̩,3
a,æ,32
l,ʌ,25
h,a,5
ɪ,l̩,4
ɛ,ʊ,7
j,s,4
ɾ̃,h,3
ŋ,k,5
d,ɾ̃,7
m,j,6
t,ð,57
l,m,4
ʒ,z,19
õ,o,96
ʊ̃,ʊ,116
o,l̩,8
ɹ̩,ɹ,99
æ̃,æ,49
ɹ̩,ɪ,39
l,ɛ,7
ʃ,u,3
i,w,2
ʌ,θ,7
i,j,31
l̩,ɪ,13
h,u,1
ʌ,ɾ̃,7
o,w,10
w,d,1
h,ɛ,9
m̩,ʌ,62
d,ʔ,17
h,w,2
u,ɛ,7
ɛ,d,9
θ,l,3
z,t,7
u,j,8
ɹ̩,ɛ,88
d,s,10
ɑ̃,ɑ,21
m,ɛ,6
d,n,22
ʊ,a,9
e,n,3
ɪ,o,4
m̩,m,42
l,l̩,20
ɾ,z,4
z,ð,31
u,ɹ,3
θ,e,2
ŋ,ɡ,9
ɔ,ɪ,17
æ,e,17
u,ʌ,29
ɹ,n,6
n,t,10
ʊ,ð,11
ɛ,l̩,3
l,ð,17
t,ʌ,30
ʊ,ɾ,13
z,d,10
ʔ,ɪ,5
ɛ,θ,4
ɪ̃,ɪ,70
æ,t,6
ɛ,j,9
θ,h,1
ɛ̃,ɛ,31
j,ɡ,12
ʌ,d,28
w,u,3
ʌ,s,20
v,b,56
ɑ,ɪ,18
ɹ,w,6
ʊ,æ,5
ʌ̃,ʌ,31
æ,j,5
n̩,i,1
j,z,3
ĩ,i,15
n,v,6
l,ʔ,2
ð,l,10
æ,ɹ̩,1
n,k,3
l,ɾ̃,2
d,v,6
j,m,5
ʌ,ɡ,7
ʊ,ʔ,9
ɹ,v,10
o,h,2
h,ɪ,7
ɪ,t,15
l,f,2
n,a,6
j,ʊ,5
t,p,9
j,u,3
a,i,7
n,ɾ,17
k,ʔ,7
k,t,4
i,ʌ,14
n̩,j,3
p,ʔ,9
n,ʌ,44
ŋ,m,8
ɡ,ŋ,6
ɛ̃,ɪ,11
æ,ð,12
j,ʃ,7
ʌ,j,10
w,h,5
n,j,8
o,æ,5
ɡ,u,1
ð,ɔ,1
ɹ,ɛ,9
h,l,1
ɾ,b,1
w,ʔ,2
i,n,4
v,ð,9
ʊ,d,9
ɾ,ɹ,2
w,l,22
b,ð,16
b,m,4
s,ɹ,4
ɾ̃,ɪ,16
ɹ̩,w,2
s,ʊ,5
ð,ɑ,3
ɹ̩,ʊ,4
ɹ,m,7
ʃ,ʒ,54
ð,z,7
ɛ,n̩,38
ɛ,h,18
n,i,13
v,ʌ,10
ɔ,v,1
ŋ,ɾ,1
ð,i,3
ã,a,32
ɪ̃,i,7
k,h,1
k,ð,4
ɡ,ʌ,6
ɡ,ʔ,3
l,a,5
m̩,b,9
β,p,14
l,ɹ,2
ɹ̩,m,2
m̩,l,4
m,ɹ̩,2
ʊ,h,6
ʔ,ɛ,2
ʔ,ʌ,5
t,z,15
ɛ,t,7
e,u,1
d,l̩,1
ɑ̃,ʌ,4
ɾ,ʌ,8
w,ɑ,2
s,u,2
s,ɪ,29
o,ɑ,9
s,ɔ,1
ʊ,w,26
o,u,12
m,o,4
b,w,8
o,s,1
m,ɾ̃,3
ɾ̃,n̩,3
ʊ,s,5
ɪ̃,æ,1
i,ɛ,28
l,d,1
ɪ,d,15
n̩,t,7
a,ð,10
a,o,16
m̩,ɹ,2
ɛ̃,ʌ,8
ʌ,ɾ,15
n,w,2
m,ŋ,10
ɔ,n,5
ɾ,ʔ,17
m̩,ɹ̩,1
ɔ,ɹ̩,50
s,ʒ,4
ɹ̩,ɑ,13
u,w,3
m̩,n̩,24
ɹ,ʃ,7
ŋ,d,3
m̩,ɛ,5
æ,n,6
ɹ,k,2
ʌ,b,11
n̩,w,1
ɪ,ð,22
v,ɹ,4
a,d,4
w,v,13
h,b,2
ʊ,ɛ,17
ð,ɾ,4
ɹ̩,ð,7
ɛ,ʃ,2
ɪ,ɹ,16
ɾ,n̩,3
ð,d,16
ʌ,i,37
b,ʔ,10
d,m,2
ɾ̃,l,3
n̩,ŋ,7
ɹ̩,ʒ,1
ʃ,d,23
d,j,5
s,ʔ,5
o,n,8
ʌ̃,n̩,3
ɛ,l,4
ɑ,h,3
ʌ,l,8
ʃ,ɪ,8
ð,æ,6
ʌ,ʔ,7
i,ɹ̩,7
æ,ɾ̃,2
ɪ̃,ʌ,4
ɔ,u,2
ɡ,d,2
ɾ,l,3
ʃ,ɹ,7
ɹ̩,v,5
u,o,6
ɹ,ɑ,3
æ,ɑ,19
z,ɪ,15
t,s,19
i,ʒ,1
s,ʌ,27
w,n̩,2
ð,ʔ,1
ɔ,a,3
s,l,4
ɾ̃,m,15
l̩,ɾ,3
u,l̩,7
l,ɪ,13
v,a,2
u,ð,2
ʔ,k,10
t,ɹ̩,6
m̩,ɪ,10
ɾ̃,ŋ,2
v,ɪ,12
ʃ,s,44
m,n̩,5
ɾ,n,8
m,p,7
p,θ,1
u,h,1
ɾ̃,ʌ,14
õ,z,1
ʊ̃,f,1
s,ɑ,1
f,ɹ,3
ɾ,ð,30
õ,n,2
ʊ̃,o,6
ð,j,2
ɛ,ɾ,7
n̩,ɹ̩,5
ɔ̃,ɔ,13
õ,ʌ,4
ŋ,ɪ,4
ɪ,b,10
o,ɹ̩,3
z,i,3
v,m,8
s,m,6
ʊ̃,ð,1
æ,h,5
æ̃,i,2
m̩,n,3
ð,ʌ,23
ʌ,k,4
f,ʌ,2
ũ,u,1
ɹ,t,5
ɾ̃,o,5
õ,ʊ,3
ã,e,1
o,e,4
i,ɾ,1
θ,ɛ,2
n,l,5
ʃ,z,12
k,p,3
θ,k,3
v,ʔ,4
ɾ,ɹ̩,1
ẽ,e,5
ɾ̃,ʊ,4
ʊ̃,n,2
p,w,2
h,ɾ,1
ɪ,l,15
ʃ,e,1
ɔ,j,1
e,p,1
ɪ,m,12
ʔ,v,3
ʊ,t,6
h,o,2
w,n,2
f,k,2
ɾ,s,2
ɪ̃,m,2
ɹ,ɔ,2
ɪ,s,10
u,l,2
m̩,t,2
ʊ,z,3
t,w,5
p,m,3
o,m,2
ʊ,ɔ,3
ð,e,3
ʌ̃,m,1
w,ɾ,1
n,θ,4
l,ɑ,2
ʃ,ɑ,2
ʃ,n,3
ɹ̩,i,8
ɑ̃,ɹ,1
ɛ̃,n̩,4
ʌ̃,w,1
v,w,12
ɹ,ʌ,18
f,ʊ,3
b,ɪ,5
ɛ̃,e,1
d,ɔ,1
ʃ,n̩,1
ʃ,i,3
ɔ,æ,8
ɾ̃,æ,2
ʌ̃,ɛ,6
t,ʒ,7
m,ɔ,1
p,ð,1
d,ɹ̩,5
ʒ,ɑ,1
n,ɡ,3
h,k,2
t,f,7
o,ɾ,2
b,d,6
ʃ,ʌ,4
ʃ,ʊ,2
b,n,1
w,ɛ,6
b,ɡ,2
l,b,12
n̩,θ,2
ʌ̃,ɾ,3
ʒ,ɾ,2
v,t,2
ɪ̃,ɾ̃,3
ʒ,u,1
ʒ,ɛ,2
n̩,ʒ,1
ɑ̃,ɔ,2
t,h,3
j,ʌ,10
o,ɹ,2
ʊ,j,5
ʌ,ŋ,3
æ,u,1
m,l̩,1
ʔ,ɹ̩,1
e,ʌ,19
a,n̩,2
ɹ,n̩,2
i,h,5
ɹ,p,3
j,o,3
