original,substitution,total_substitutions
ʌ,ɪ,1763
ɛ,ɪ,738
ɪ,ʌ,715
s,z,607
i,ɪ,538
ɪ,ɛ,529
ʌ,ɛ,491
ɾ̃,n,490
t,ʔ,437
ɪ,i,431
n,ɾ̃,426
æ,ɛ,423
ɛ,ʌ,387
ʌ,ɹ̩,353
o,ʌ,330
d,ɾ,269
ɑ,ʌ,241
ɛ,æ,228
u,ɪ,220
ʊ,ʌ,215
ʌ,o,209
t,d,206
z,s,206
ʌ,ɑ,203
θ,ð,195
ʌ,ʊ,182
ʔ,t,181
n̩,ɪ,180
ʊ,ɪ,178
a,ʌ,176
t,ɾ,173
a,ɑ,161
ʌ,a,156
d,t,156
ð,n,132
ɑ,ɔ,127
ɾ,d,120
o,ɔ,120
ʊ̃,ʊ,116
n̩,ʌ,110
ɹ,ɹ̩,109
ɔ,o,107
ð,θ,104
n,m,99
ɹ̩,ɹ,99
n,ŋ,99
n,n̩,98
n̩,n,98
d,ð,97
n,ð,97
õ,o,96
n̩,ɛ,91
e,i,89
l̩,ʌ,89
æ,ɪ,89
ɹ̩,ɛ,88
ʌ,l̩,87
ɔ,ʌ,86
ŋ,n,84
ɛ,e,81
ɑ,a,81
e,ɛ,80
f,v,80
ɛ,a,74
ɪ,ʊ,70
ʌ,u,70
ɪ̃,ɪ,70
ɔ,ɑ,68
ɹ̩,ʌ,67
æ,ʌ,65
ʌ,æ,65
n,d,63
m̩,ʌ,62
k,ɡ,61
v,f,60
ɛ,ɹ̩,60
ɑ,æ,60
n,ɪ,59
a,ɛ,59
ɪ,u,58
t,ð,57
v,b,56
ɪ,ɹ̩,54
ʃ,ʒ,54
ɪ,n̩,53
n,ʔ,52
ɔ,ɹ̩,50
æ̃,æ,49
ɡ,k,48
s,ʃ,46
t,ɪ,45
n,ʌ,44
ʔ,ɾ,44
l̩,l,44
ʃ,s,44
s,t,44
m,n,44
ɪ,n,43
ʊ,ɹ̩,42
m̩,m,42
ʌ,ð,42
s,ð,41
ʌ,ɔ,40
ʔ,d,39
ɹ̩,ɪ,39
i,e,39
ʌ,n̩,39
ɛ,n̩,38
ɪ,ɾ,37
ʌ,i,37
o,ɪ,36
ʔ,n,36
ʌ,n,35
u,i,35
o,ɛ,35
t,n,34
j,ɪ,34
ɹ,ɪ,34
ʌ,t,33
d,ɪ,33
ã,a,32
a,æ,32
ɛ̃,ɛ,31
ʌ̃,ʌ,31
t,θ,31
z,ð,31
i,j,31
t,ʌ,30
æ,a,30
ɾ,ð,30
s,ɪ,29
a,e,29
ʊ,u,29
u,ʌ,29
ʌ,d,28
i,ɛ,28
ɾ̃,ɾ,27
j,i,27
i,u,27
s,ʌ,27
ɑ,ɹ̩,27
ʊ,w,26
s,θ,26
ɛ,i,25
b,p,25
l,ʌ,25
ɑ,ɛ,25
m̩,n̩,24
ʃ,d,23
ð,ʌ,23
ɾ,ɾ̃,23
ð,ɪ,22
n,ɛ,22
ɪ,ð,22
ʊ,l,22
ɛ,o,22
d,n,22
ð,ɛ,22
w,l,22
ɑ̃,ɑ,21
z,ʒ,20
l,l̩,20
ʌ,w,20
ʌ,s,20
m,b,20
e,ʌ,19
t,s,19
æ,ɑ,19
ɪ,ɾ̃,19
ʒ,z,19
ɛ,h,18
ɪ,j,18
ɑ,ɪ,18
ɪ,z,18
w,ʌ,18
ɪ,æ,18
p,b,18
ɹ,ʌ,18
ʌ,e,18
æ,e,17
d,ʔ,17
m,v,17
ɔ,ɪ,17
ʊ,ɛ,17
d,ʌ,17
l,ð,17
n,ɾ,17
ɾ,ʔ,17
ɪ,ɹ,16
ð,d,16
a,o,16
b,ð,16
ɾ̃,ɪ,16
ʌ,ɹ,16
t,z,15
ɛ,n,15
ɪ,d,15
ɾ̃,m,15
ɪ,w,15
ʌ,ɾ,15
ð,t,15
ɪ,l,15
z,ɪ,15
ɪ,t,15
s,d,15
ʌ̃,ɪ,15
ĩ,i,15
