original,substitution,total_substitutions
ʌ,ə,2686
ʌ,ɪ,2672
ɹ̩,ɜ˞,2538
ɾ̃,n,1814
ɛ,ɪ,1351
i,ɪ,1066
ɹ,ɜ˞,919
s,z,763
n̩,n,626
ʌ,ɜ˞,523
ʔ,t,480
ɪ,ə,407
n,ð,395
ʌ,ʔ,392
ʌ,ɑ,368
ɪ,i,355
d,ɾ,344
ʊ,ɪ,315
æ,ɛ,309
ɪ,ɛ,295
ʌ,ɛ,286
n̩,ɪ,280
ʌ,a,280
ʌ,o,277
ɛ,æ,243
ɛ,ɜ˞,241
ɑ,ʌ,215
d,t,196
t,d,182
ɛ,ə,173
ɑ,ɔ,172
t,ɾ,170
ʌ,n,167
ɑ,a,164
ɪ,u,163
θ,ð,163
u,ɪ,159
t,ʔ,158
ʌ,ʊ,157
o,ɔ,153
ʌ,ð,147
ɛ,ʔ,138
m̩,m,129
j,ɪ,127
ɪ,ɜ˞,125
ʌ,u,122
ʊ,ə,119
æ,ɪ,118
ʌ,l̩,117
ŋ,n,115
ɛ,ʌ,112
j,i,109
o,ʌ,109
n,ŋ,107
a,e,107
o,ə,106
f,v,103
ɛ,a,99
n,m,96
ð,θ,96
ʊ̃,ʊ,96
ɪ,n,94
æ,a,87
ɛ,e,85
n,ɪ,84
ɪ,ʔ,83
ʔ,n,83
ɪ̃,ɪ,83
ʒ,ʃ,81
ɔ,ɑ,81
e,i,81
d,ɪ,79
ɹ,ɪ,78
o,ɪ,76
z,s,76
ɾ,d,76
õ,o,75
ɾ̃,ɪ,75
ʊ,ɜ˞,74
ɹ̩,ɹ,73
d,ð,73
o,ɛ,72
a,ʌ,71
ð,H,67
ɪ,ʌ,66
ɛ,n,66
æ,ɑ,66
ʌ,ɔ,65
ɔ,ɜ˞,64
a,ʔ,63
j,ʔ,63
ɹ̩,ɪ,62
t,ɪ,61
ɡ,k,60
m,n,58
o,a,58
ʌ,æ,57
e,ɛ,57
n,ə,57
ɑ,ə,57
ʌ,t,56
ʌ,ɾ,56
t,ð,55
ɑ,ɜ˞,54
n̩,ə,54
æ,ʔ,53
i,u,51
t,ə,50
ð,d,50
l̩,ə,50
æ̃,æ,50
l̩,l,49
æ,ʌ,48
ʃ,s,48
ʌ,w,48
s,t,48
s,ʃ,47
k,ɡ,47
ɹ̩,ɛ,47
s,ɪ,46
ɑ,ʔ,46
s,ə,46
ɪ,ʊ,46
ɾ̃,ɾ,46
ʌ,m,45
t,n,45
ʌ,l,45
θ,t,44
ð,ɪ,44
ʌ,i,44
s,ð,43
d,ə,42
v,b,42
ʊ,l,42
ɾ,n,41
m̩,ɪ,41
ʊ,n,40
l,ə,39
ʔ,ɾ,39
ʌ,h,39
i,e,38
j,h,38
n,d,38
j,n,37
ɛ,ð,37
w,ə,37
j,u,37
b,v,37
u,ʊ,36
l,ʊ,35
ɪ,z,35
u,ə,35
ʌ,z,35
ʊ,ʔ,35
v,f,35
f,p,34
ɹ̩,ə,34
ɾ,ð,34
θ,H,34
n̩,ʔ,34
ʊ,u,33
ʊ,w,33
ã,a,33
w,ɪ,33
ɹ,ʔ,33
ʌ,e,33
h,ɪ,33
a,ɛ,33
m̩,ə,33
l,ɪ,33
ð,ə,32
ʌ,d,32
ʃ,ʒ,32
z,ʃ,32
n,ʔ,31
ɪ,æ,31
z,ð,31
t,z,31
ʌ,v,30
ɔ,ʌ,30
b,p,30
ʌ,s,30
m,ɪ,30
a,ɑ,30
ʊ,ʌ,30
ɑ,ɪ,29
a,ə,29
ɹ,v,29
i,ɜ˞,29
ʒ,ɪ,28
ʌ,b,28
d,ʔ,27
ʔ,d,27
ɔ,ɪ,27
l,l̩,27
u,i,27
ɪ,t,27
d,ʃ,27
d,n,27
æ,i,27
a,æ,27
d,ɜ˞,27
s,ʔ,26
j,ɜ˞,26
e,æ,26
ɛ,h,26
m̩,n,26
o,ʔ,25
ɪ,ɾ,25
ɑ,ɛ,25
ʃ,ɜ˞,25
t,ɜ˞,25
ʔ,ɪ,25
t,θ,24
ɪ,d,24
l,ð,23
j,ɛ,23
ɛ̃,ɪ,23
ʊ,ð,23
ɪ,ð,23
i,j,23
ʊ,l̩,23
ɹ,n,23
k,ʔ,22
ʒ,z,22
s,n,22
ð,n,22
s,θ,22
ɔ,o,21
ɾ,ʔ,21
m,ɑ,21
n̩,d,21
w,ɜ˞,21
w,v,21
ɹ,ə,21
ɛ,t,20
s,ɜ˞,20
o,æ,20
n̩,m,20
o,ɑ,20
ɛ̃,ɛ,20
ɔ,ə,20
ʃ,d,20
l,ʔ,20
ʌ̃,ɪ,19
ɾ̃,m,19
