original,substitution,total_substitutions
ɪ,ɨ,4435
ʌ,ə,2554
ʌ,ɨ,2241
ɹ̩,ə˞,1452
u,ʉ,1272
ɹ̩,ɜ˞,1062
h,ɦ,1006
ɛ,ɨ,908
s,z,743
i,ɨ,593
ɾ̃,n,518
i,ɪ,474
ʌ,ʔ,453
ɪ,i,447
ʔ,t,445
ɹ,ə˞,412
ɛ,ɪ,397
ʌ,ə˞,383
ʌ,ɪ,375
d,ɾ,370
ʌ,ɑ,365
n,ɾ̃,335
n,ð,334
ɪ,ə,330
ɪ,ɛ,327
ʌ,o,291
æ,ɛ,286
ʌ,a,283
ʌ,ɛ,280
ɹ,ɜ˞,242
ɛ,æ,227
n̩,ɨ,225
ʊ,ɨ,216
ɪ,ʔ,200
ɑ,ʌ,187
ʌ,ə̥,185
ɪ,ʉ,184
t,d,183
ɑ,ɔ,175
d,t,172
ɛ,ə,171
ɪ,ə̥,169
t,ɾ,165
θ,ð,165
ʌ,ɜ˞,164
ʌ,ʊ,156
ɛ,ʔ,153
t,ʔ,151
o,ɔ,150
ʌ,ð,149
n,ɨ,141
ɑ,a,140
ʌ,l̩,134
ɛ,ə˞,132
j,ɨ,130
u,ɨ,127
ʊ,ə,123
ɛ,ɜ˞,122
n̩,n,119
e,ɨ,115
ɛ,ʌ,112
a,e,112
j,i,111
n,n̩,110
d,ɨ,104
ɪ,ə˞,104
ʊ̃,ʊ,101
ʌ,ʉ,99
ð,θ,99
æ,a,99
f,v,98
ɹ,ɨ,95
o,ʌ,94
ʌ,n̩,93
ŋ,n,91
ɛ,a,91
o,ə,91
n,m,90
ʌ,n,90
ɹ̩,ɹ,90
ʊ,ɪ,89
æ,ɑ,89
j,ʔ,87
n,ŋ,87
ɛ,e,85
z,s,83
t,ɨ,82
d,ð,81
j,ʉ,81
ɔ,ɑ,81
n,ə,80
õ,o,80
ɪ,n,79
æ,ɨ,77
ʔ,n,77
ɪ,n̩,76
m̩,m,76
ɾ,d,74
e,i,72
ʌ,ɔ,71
i,ʉ,68
ɪ,ʊ,67
ʌ,æ,66
ɪ,ɾ,65
ð,H,65
ɪ,z,64
ɑ,ə,64
e,ɛ,61
t,ð,60
s,ɨ,59
ɡ,k,58
k,ɡ,58
ʌ,ɾ,58
ʌ,t,58
ɪ,ð,57
o,a,55
æ,ʔ,55
o,ɛ,54
m,n,54
ɪ,ʌ,53
ʌ,ɦ,53
n,d,53
s,ʃ,52
æ̃,æ,51
ɪ̃,ɪ,51
n,ʔ,51
a,ʔ,49
a,ʌ,49
ɹ̩,ɨ,49
l̩,ə,49
l̩,l,49
j,ɪ,49
ɪ,ɾ̃,47
l,ɨ,47
ð,ɨ,47
ʃ,s,46
æ,ʌ,46
s,t,46
ɑ,ʔ,45
ʌ,w,45
ɪ,t,44
w,ɨ,44
a,ɨ,44
f,p,44
ɹ,ʔ,44
s,ð,44
j,n,43
b,v,43
t,n,42
v,b,42
ʃ,ʒ,41
n̩,ə,41
ð,d,41
ɔ,ə˞,41
l,ʊ,41
a,ə,40
i,e,40
w,ə,39
ʔ,ɾ,39
ʒ,ɨ,39
æ,ɪ,39
m̩,ə,38
ɛ,n̩,38
ɹ,ɪ,38
a,ɑ,37
ʌ,m,37
ɛ,ð,37
ʌ,ɾ̃,37
o,ʔ,36
ʌ,v,36
ɾ,ɾ̃,36
ʌ,l,36
ɪ,ɜ˞,36
j,h,36
ɪ,æ,36
ɪ,d,35
j,ɛ,35
ɹ̩,ɛ,35
s,ə,35
ɑ,ɜ˞,35
ʌ,d,34
v,f,34
ʌ,z,34
ʊ,ʔ,34
ʊ,ə˞,34
d,ə,33
d,ʔ,33
ʊ,ʌ,33
ʌ,i,33
ɪ,o,33
ã,a,33
u,ʊ,33
l,ə,33
ʌ,e,33
ð,ə,33
ɹ,v,33
n,ɛ,32
ʊ,ɜ˞,32
ʌ,h,32
ɪ,ɦ,32
t,ə̥,31
θ,H,31
ɛ,n,31
o,ɪ,31
ɛ,ɦ,31
ɾ,ð,30
o,ɨ,30
ð,ɛ,29
n,ɪ,29
u,ɪ,29
ʊ,w,29
h,n,29
h,ɪ,28
ɹ̩,ə,28
ʌ,b,28
ɪ,w,28
ɪ̃,ɨ,28
m,ɑ,28
ʔ,d,28
t,z,28
n̩,ʔ,27
h,ɨ,27
z,ð,27
u,l̩,27
ɾ̃,ɨ,27
d,ɪ,27
b,p,27
ɾ̃,ɾ,27
ɔ,ʌ,26
ɹ̩,ɪ,26
ʊ,l,26
m̩,n̩,26
s,ʔ,26
t,ə,26
h,ʔ,25
ɪ,v,25
æ,i,25
ɹ,ə,25
e,æ,25
ʌ,u,25
z,ʒ,25
u,ə,24
ʒ,z,24
u,ə̥,24
θ,t,24
m,ɨ,24
ɪ,ɑ,23
l,l̩,23
ʌ,s,23
a,æ,23
j,ə˞,23
u,o,23
a,ɛ,23
ʃ,d,23
ʃ,ɨ,23
m̩,ɨ,22
ɔ,ɜ˞,22
ɪ,j,22
i,ə˞,22
ɪ,l̩,22
n,t,22
t,ʉ,22
i,j,22
m,ʔ,21
ʃ,ə˞,21
ʌ,m̩,21
ɔ,o,21
ɔ,ɨ,21
d,n,21
ʌ,p,21
ɑ,ə˞,21
h,ə,21
ʊ,l̩,21
ʊ,ɔ,20
ɛ̃,ɨ,20
ŋ,ɨ,20
n̩,ɾ̃,20
t,θ,20
j,æ,20
n,ə˞,19
l,ʔ,19
ɪ,ɡ,19
ɛ,t,19
m̩,ɛ,19
ɪ,l,19
θ,ɨ,19
b,ɨ,19
o,ɑ,19
ɾ,ʔ,19
ð,ʔ,18
ɛ,ɑ,18
k,ʔ,18
æ,ə,18
ʌ,ɹ,18
i,ɛ,18
m,b,18
ʊ,n,18
ɛ̃,ɛ,18
u,i,18
l,ð,18
n,æ,18
ɛ,ɾ̃,18
ð,n,18
s,θ,17
n̩,ɛ,17
t,k,17
j,ɡ,17
n,ɦ,17
m̩,ʌ,17
h,a,17
ɹ,z,17
w,v,17
k,ɨ,17
d,z,17
æ,e,17
n̩,ɪ,17
ʊ,ɑ,17
ʃ,z,17
d,ə˞,16
ɡ,ɨ,16
ʌ,j,16
n,ʊ,16
j,ð,16
ɑ,ɨ,16
ɑ,o,16
ʔ,ɪ,16
ɛ,h,16
ɪ,h,16
ɾ̃,ɪ,16
ɑ,ɛ,16
h,ɛ,16
n,ɾ,16
æ,ʊ,16
ɑ,æ,16
o,l̩,16
s,n,15
ʊ,ɦ,15
ɾ,ɨ,15
ʊ,ð,15
t,p,15
m,ə,15
b,ə,15
o,æ,15
ɛ,d,15
ʊ,u,15
h,ʊ,15
ɹ,n,15
ɛ,ɾ,15
ʊ,ə̥,15
ʌ̃,ɨ,15
ŋ,ɾ̃,15
ĩ,i,15
ʊ,m,14
ɪ,b,14
t,ɪ,14
ʌ̃,ʌ,14
w,m,14
w,ə˞,14
ɾ,t,14
a,o,14
ʒ,ʃ,14
z,ɨ,14
w,ɔ,14
ɔ,ə,14
ð,l,14
k,t,14
ɹ̩,v,14
d,ʉ,14
l,e,14
o,l,14
o,ə˞,14
p,b,14
i,ə̥,14
m̩,ɪ,14
ɛ,i,14
t,ɜ˞,14
h,m,13
ɔ,ʔ,13
o,ʉ,13
d,ə̥,13
i,ʔ,13
w,ɜ˞,13
ɑ,ɪ,13
ɪ,ɹ,13
m̩,ʔ,13
ɾ̃,ə,13
ɪ,m,13
n̩,t,13
m,v,13
j,z,13
v,m,13
s,ɜ˞,13
j,a,13
ʊ,t,13
ʌ,ɡ,13
ɔ̃,ɔ,13
n,a,12
ʊ,v,12
ð,ɾ,12
w,l,12
n,e,12
h,t,12
ɪ,ŋ,12
ʊ,ɛ,12
ɹ̩,ʔ,12
n,i,12
ɛ,ʊ,12
j,ʌ,12
ɾ̃,ɛ,12
o,ɦ,12
ɹ,ɾ,12
m,m̩,12
ð,ɪ,12
n,ʌ,12
i,ɦ,12
ɑ̃,ɑ,12
ɹ,t,12
ʊ,ɾ̃,12
m,ɪ,12
ɪ,k,12
v,ə,12
ɑ,ʊ,12
ɹ,ð,11
ɪ,s,11
ʌ̃,ə,11
s,d,11
ɹ̩,ɦ,11
m,ʊ,11
u,ɔ,11
ʔ,ʊ,11
d,h,11
u,j,11
e,ʔ,11
j,ɦ,11
d,ʃ,11
ʃ,ə̥,11
s,ɛ,11
æ,t,11
β,p,11
o,ð,11
u,ɛ,11
ɛ,o,11
ʊ,ʉ,11
f,ə˞,11
t,ə˞,11
æ,ɦ,10
t,ɛ,10
d,ʊ,10
ɹ̩,ɾ,10
ẽ,e,10
ɾ̃,ʔ,10
w,ɪ,10
z,ʔ,10
ɔ,ʊ,10
w,ɹ,10
b,ð,10
ʌ,ŋ,10
ʔ,ɨ,10
ɾ̃,m,10
l,ɪ,10
ð,t,10
ɹ,l,10
ð,a,10
w,ʊ,10
m,o,10
ŋ,ʊ,10
i,ɾ,10
ʔ,k,10
f,θ,10
ɪ,H,10
a,n,10
w,ʔ,10
ɾ,ʊ,10
w,b,10
i,ə,10
ʌ,θ,10
n̩,m,10
s,m,10
ʔ,p,10
d,v,10
n,k,10
s,o,10
ʌ,H,10
d,ɦ,10
s,ɪ,10
j,d,10
ɹ,b,10
θ,ə,9
w,ɦ,9
t,ʊ,9
u,ʔ,9
m,ɦ,9
ŋ,m,9
ɹ,ʊ,9
u,ə˞,9
e,ð,9
j,l,9
j,b,9
ɑ,l,9
æ,ð,9
ɾ̃,a,9
ð,æ,9
ð,ə˞,9
ɾ,a,9
v,ʔ,9
ɪ̃,i,9
m,p,9
ʌ,f,9
ɹ,ɦ,9
ŋ,n̩,9
h,ɑ,9
h,ə˞,9
ɪ,ʃ,9
ɹ̩,ɾ̃,9
j,ʃ,9
ɪ,p,9
j,ə̥,9
f,ɨ,9
l,b,9
m̩,b,9
l̩,o,9
t,m,8
s,ə˞,8
v,ɨ,8
ʊ,ɹ,8
e,ə,8
b,d,8
ɛ,ɹ,8
ɪ,u,8
ʊ,d,8
a,ɔ,8
ɾ̃,n̩,8
w,ɛ,8
s,h,8
d,ɛ,8
e,ə˞,8
ð,ʌ,8
n,ɜ˞,8
ɛ,v,8
e,ʌ,8
ð,b,8
ɹ̩,w,8
v,ð,8
z,t,8
j,n̩,8
i,ð,8
æ,h,8
v,d,8
u,d,8
l,z,8
m,l,8
ʃ,ɪ,8
ʊ,ɾ,8
i,ɜ˞,8
p,f,8
ɾ,ə,8
j,k,8
ɑ̃,ʌ,8
l,o,8
ʊ,a,8
ɛ,l̩,8
t,s,8
n,v,8
ɹ,ɔ,8
ð,v,8
v,w,7
ʊ,s,7
ɹ̩,z,7
n,z,7
v,p,7
b,w,7
m,ð,7
m̩,n,7
ʃ,t,7
p,ʔ,7
ʌ,k,7
a,ð,7
t,w,7
ɹ,w,7
o,h,7
u,ʃ,7
m,ɛ,7
ʃ,ʉ,7
ɛ,m,7
ʒ,d,7
j,p,7
o,e,7
a,ʊ,7
ð,ə̥,7
ɹ̩,ɑ,7
m,a,7
h,æ,7
h,n̩,7
b,m,7
o,w,7
j,ʒ,7
ɹ̩,ɔ,7
v,ɪ,7
i,ɾ̃,7
j,ʊ,7
ʊ,æ,7
ɹ,ɾ̃,7
o,t,7
õ,ə,7
ɹ,d,7
i,æ,7
l,ɾ,7
ɪ,θ,7
o,m,7
n̩,ə˞,7
ʌ,ʃ,7
ʊ,i,7
n,ɔ,7
ɾ,n,7
a,ɾ,7
æ,l,7
ʊ,h,7
ɪ,ʒ,7
ɹ̩,n,7
d,b,7
n,ɹ,6
ʊ̃,o,6
w,n,6
a,ɜ˞,6
u,n,6
m,ə˞,6
b,ə˞,6
z,ə,6
j,ɜ˞,6
l,n,6
ɛ,ə̥,6
i,t,6
h,ð,6
ɡ,ə˞,6
k,p,6
e,a,6
ɹ,ʌ,6
w,z,6
k,ɛ,6
ʊ,b,6
h,ɜ˞,6
v,ʊ,6
t,l,6
ʊ,n̩,6
j,t,6
j,ɑ,6
n,o,6
ɹ̩,h,6
a,θ,6
e,l,6
ð,m,6
ð,ɑ,6
n,ʉ,6
l,ɦ,6
ɹ,s,6
o,ɾ,6
ʒ,ɪ,6
t,ʒ,6
ɾ̃,j,6
ʌ̃,ɾ̃,6
ɑ,n,6
ʃ,ɹ,6
æ,ɾ̃,6
l,s,6
b,t,6
a,h,6
l,v,6
k,n,6
i,v,6
ʊ,p,6
ɹ,ʉ,6
s,p,6
n,ɑ,6
w,ð,6
j,o,6
n,l,6
ɹ,a,6
m̩,ɦ,6
p,t,6
h,e,5
o,ɜ˞,5
t,a,5
f,ʔ,5
l,t,5
s,l,5
z,n,5
ɹ̩,t,5
θ,n,5
n̩,ŋ,5
ʒ,ɛ,5
j,f,5
ɾ̃,i,5
s,ɡ,5
ɔ,l̩,5
f,ɪ,5
ð,z,5
h,d,5
m,w,5
i,m,5
ʌ̃,n̩,5
o,n,5
l,ə˞,5
ɹ̩,ʉ,5
ʊ,ɡ,5
d,ɡ,5
f,b,5
ɪ,e,5
d,k,5
a,t,5
n,s,5
i,s,5
t,o,5
d,w,5
ɔ,ɪ,5
s,f,5
j,m,5
e,ɦ,5
f,ʃ,5
æ,s,5
k,ʌ,5
l,p,5
u,ɜ˞,5
ɛ,ɔ,5
k,ŋ,5
d,l,5
l,a,5
f,ð,5
l,ɔ,5
d,ɜ˞,5
m,t,5
ɾ,z,5
f,ə,5
ð,ɾ̃,5
ɛ̃,n,5
d,H,5
m̩,f,5
ɔ,w,5
n,ə̥,5
d,θ,5
ʊ,f,5
j,ə,5
u,h,5
a,i,5
h,j,5
s,i,5
ɾ̃,ʉ,5
t,h,5
u,w,5
s,ə̥,5
s,ʒ,5
z,d,5
ʒ,ə,5
m̩,ə˞,5
n̩,ð,5
ʔ,ɦ,5
m,ŋ,5
ð,i,5
i,n,5
ɡ,ŋ,5
i,d,5
j,w,5
ɾ,ɪ,5
æ,ə˞,5
ɹ,o,5
ʔ,ə˞,5
z,ɪ,5
i,z,5
k,ʊ,5
a,d,5
ɛ,l,5
ɑ,k,5
ʒ,s,5
ɾ̃,ə˞,5
ɹ,ɑ,5
õ,n,5
t,n̩,5
v,z,5
n,h,5
θ,ʔ,5
ɾ̃,ɦ,5
ɛ,w,4
n̩,z,4
t,f,4
ð,p,4
k,a,4
s,k,4
ɪ,f,4
t,v,4
u,ɾ,4
d,p,4
ʒ,ə˞,4
l,ə̥,4
ʊ̃,ɪ,4
h,θ,4
n,b,4
m,d,4
t,ɦ,4
ɾ,ɑ,4
i,ʌ,4
e,ɜ˞,4
æ,ɡ,4
ɛ,k,4
ɹ̩,i,4
ɾ̃,o,4
w,h,4
i,h,4
ɹ,ʃ,4
ð,e,4
e,n,4
ɛ,z,4
ɹ̩,ʌ,4
ɑ̃,ɔ,4
b,ɹ,4
l,ʉ,4
ɹ,i,4
s,ʌ,4
k,ð,4
f,t,4
ɪ̃,ɾ̃,4
ʌ̃,n,4
d,ɑ,4
ɛ̃,ʔ,4
ŋ,ɾ,4
i,ɡ,4
t,ʌ,4
s,ɾ,4
ʊ,e,4
d,m,4
ɔ,a,4
ɡ,ʔ,4
z,ɾ,4
l,h,4
b,ʔ,4
k,s,4
ɾ̃,ð,4
ɪ,X,4
ɾ̃,d,4
z,ə̥,4
l,m,4
w,a,4
ɹ̩,a,4
ɹ,m,4
ɹ,p,4
t,i,4
ŋ,ɡ,4
æ̃,ɛ,4
l̩,ʌ,4
ɾ̃,ŋ,4
e,ɾ,4
i,ʊ,4
ɾ̃,l,4
a,s,4
ɛ,b,4
i,o,4
s,a,4
d,s,4
ɾ,ə˞,4
l̩,ɔ,4
m̩,l,4
s,v,4
ð,ɜ˞,4
o,ɾ̃,4
ɡ,d,4
t,ɾ̃,4
m,æ,4
m,n̩,4
z,æ,4
d,j,4
j,ɹ,4
ŋ,ʔ,4
j,ɾ,4
w,ʌ,4
ɹ̩,ʃ,4
o,u,4
ŋ,ə,4
ʃ,ɜ˞,4
l̩,ɪ,4
i,n̩,4
d,a,4
ð,o,4
a,m,4
æ,ɾ,4
h,ʉ,4
ɛ,ɡ,4
ɡ,ʌ,4
i,ŋ,4
e,w,4
ʔ,ə,4
w,o,4
ɾ,ɦ,4
i,ʃ,4
ɡ,n,4
ɹ̩,ʊ,4
ɹ̩,f,4
ɾ̃,ʌ,4
i,a,4
j,s,4
i,ɹ,4
ɹ,æ,4
a,ɦ,4
ŋ,o,3
k,b,3
ɹ,h,3
v,o,3
ɹ̩,k,3
ʊ,z,3
d,ɾ̃,3
w,f,3
ɛ,ʃ,3
a,j,3
n̩,ɦ,3
m̩,ʉ,3
b,ɾ,3
ɹ,l̩,3
h,l,3
i,p,3
ŋ,θ,3
θ,s,3
ʊ̃,ɾ,3
ð,ɦ,3
ʊ,ŋ,3
j,ɾ̃,3
l̩,w,3
ɛ̃,ɪ,3
h,f,3
b,ɪ,3
ð,ʊ,3
ɛ̃,ə,3
ŋ,s,3
z,ɛ,3
θ,f,3
f,z,3
v,ɹ,3
l,d,3
a,w,3
k,f,3
u,ʒ,3
ɾ̃,ɔ,3
ʒ,ʉ,3
l̩,ɾ,3
p,ə˞,3
s,ɦ,3
w,ɑ,3
ʃ,ə,3
j,ŋ,3
ĩ,ɪ,3
ɹ̩,m,3
ʔ,o,3
h,v,3
õ,ɾ̃,3
s,ɾ̃,3
m,h,3
v,s,3
t,e,3
m̩,ə̥,3
p,ʊ,3
n̩,v,3
ɹ̩,o,3
z,ə˞,3
k,ɪ,3
ʃ,i,3
æ,b,3
ɹ̩,l̩,3
ɹ,ʒ,3
j,v,3
æ,ə̥,3
ɛ,ʒ,3
e,o,3
m̩,t,3
h,ɾ̃,3
ʔ,z,3
z,m,3
ʌ̃,o,3
t,æ,3
õ,ɾ,3
ð,f,3
k,e,3
s,b,3
ɡ,ɛ,3
s,j,3
ɾ̃,h,3
ŋ,ð,3
ɡ,l,3
l̩,ɨ,3
ĩ,ɨ,3
ŋ,a,3
l,θ,3
ʔ,æ,3
ɹ,ɡ,3
z,ɜ˞,3
ɛ,s,3
l,i,3
j,u,3
n̩,ʊ,3
j,e,3
ɹ̩,ə̥,3
o,k,3
s,ɹ,3
ɡ,t,3
ɛ,m̩,3
h,b,3
s,ʉ,3
v,n,3
ɑ,t,3
ʃ,n,3
ʃ,a,3
ɛ̃,n̩,3
n̩,l,3
ɑ,i,3
ɾ̃,ʊ,3
ɪ,ɔ,3
ɑ,ɾ̃,3
ʔ,n̩,3
l̩,ʔ,3
s,w,3
ɹ̩,j,3
k,ɑ,3
l,w,3
õ,ʌ,3
ŋ,ɪ,3
ʊ̃,ʔ,3
m,ɾ̃,3
θ,ə˞,3
m,ʌ,3
θ,p,3
e,ʉ,3
ɹ̩,n̩,3
u,ɦ,3
θ,k,3
h,i,3
ɛ,H,3
l,ɾ̃,3
ɾ,ɛ,3
ɔ,ɛ,3
õ,a,3
m̩,ð,3
æ,d,3
s,e,3
ɹ,k,3
ɔ,ɾ̃,3
d,ʌ,3
ɔ,ð,3
v,t,3
θ,a,3
ʒ,ɾ,3
ʒ,t,3
u,ʌ,3
f,ʊ,3
ð,h,3
l̩,ʊ,3
b,f,3
ɑ,ɦ,3
θ,l,3
l,ɛ,3
h,ɾ,3
ʊ̃,n,3
e,ʊ,3
ʔ,l,3
u,ɹ,3
ʌ,X,3
o,v,3
u,ŋ,2
u,m,2
a,v,2
t,ɹ,2
z,h,2
ɹ̩,b,2
a,ʃ,2
h,k,2
æ,z,2
ɾ̃,ɑ,2
f,l,2
ŋ,ɑ,2
ɑ,h,2
i,ɔ,2
ɡ,ɪ,2
θ,ʊ,2
ɾ̃,w,2
s,H,2
æ,m,2
ʃ,n̩,2
m̩,h,2
n̩,w,2
ɹ̩,ð,2
ɹ,j,2
