reference,predicted,count
m̩,m̩,0
ɡ,ɡ,1666
o,o,2345
ɛ,ɛ,3336
ɹ̩,ɹ̩,0
t,t,5837
f,f,2076
ɑ,ɑ,13
p,p,2397
ã,ã,0
ɪ,ɪ,13323
ʌ,ʌ,4142
d,d,4256
a,a,4454
ɹ,ɹ,4745
h,h,1785
E,E,0
ɾ,ɾ,1566
ẽ,ẽ,0
U,U,0
j,j,1846
ʌ̃,ʌ̃,0
ɾ̃,ɾ̃,0
æ,æ,2422
ĩ,ĩ,0
ɛ̃,ɛ̃,0
ɔ,ɔ,85
z,z,3075
e,e,2429
β,β,0
w,w,3476
θ,θ,983
A,A,0
H,H,0
m,m,4315
v,v,1979
I,I,0
æ̃,æ̃,0
ŋ,ŋ,1286
k,k,5047
n,n,7903
b,b,2671
õ,õ,0
l̩,l̩,0
ɑ̃,ɑ̃,0
ʊ̃,ʊ̃,0
ʃ,ʃ,1451
ũ,ũ,0
O,O,0
ɪ̃,ɪ̃,0
l,l,4424
ʔ,ʔ,2
s,s,6973
ʒ,ʒ,839
ɔ̃,ɔ̃,0
u,u,6
i,i,2214
ʊ,ʊ,3538
n̩,n̩,0
ð,ð,3342
f,t,6
ɔ,ɔː,642
u,iː,89
ʌ,h,57
ɾ̃,n,1657
e,eː,36
ɪ,t,99
i,eː,30
ʌ,a,585
ɪ,a,45
a,ɑ,12
ɪ,ɨ,9
ɑ,a,263
n,a,24
ʃ,aː,1
ɹ,r,7
ɪ,d,87
ɾ,ʒ,1
ʊ,aː,4
ɪ,s,37
ʒ,ɡ,1
ʌ,iː,60
s,a,15
s,d,18
ɪ,iː,247
ʌ,j,25
l,eː,2
ɪ,ɡ,27
ɾ,ø,1
l̩,z,1
b,ɛ,6
ɪ,n,185
ɾ,n,49
ɪ,u,6
f,n,3
j,ø,2
s,ø,1
e,a,60
ɪ,ð,68
ʔ,r,6
ɡ,h,7
u,ɔ,8
z,b,2
ɹ̩,t,17
m,b,13
ɪ,b,10
p,a,2
ʊ,ɡ,10
ɾ,a,11
n̩,n,181
d,s,12
ʌ,t,187
n,eː,4
d,b,7
ɹ̩,ɛ,44
ɪ,ɛ,435
ɹ,h,12
l,a,18
p,k,4
ɑ,ɑː,1552
ʔ,t,1174
ɹ̩,ə˞,1538
ɪ,ᵻ,359
ɛ,e,186
ɹ,ɪ,87
ɛ,æ,905
b,v,42
ʌ,n,249
t,s,18
ð,ɛ,27
æ,k,3
t,eː,4
k,r,1
e,aː,7
k,s,7
e,iː,19
ɪ,k,28
ɪ,ə,1354
ɪ,ʒ,8
z,ʌ,4
ɔ,ɑː,503
l̩,ɑː,4
o,oː,41
i,iː,2462
u,uː,1565
ɪ,ʌ,279
d,n,40
a,ɛ,66
ɑ,t,21
ɹ,ə˞,50
l,æ,17
j,iː,205
ɛ,ə,456
ɹ̩,ɜː,755
a,æ,174
ʌ,ə,2724
ʌ,ʊ,74
θ,ð,248
s,z,690
d,ɾ,103
ʌ,æ,454
ɔ,oː,72
o,ɛ,54
l̩,ə,493
ʌ,ɹ,125
ʌ,ɪ,692
ɔ,o,77
s,ə,34
o,ɜ,3
ɑ,æ,172
ʌ,ɔː,20
ɡ,k,94
ʌ,ə˞,382
ʌ,ð,175
æ,e,67
ɛ,ð,50
f,v,101
ʊ,ə,222
n̩,æ,101
ɔ̃,ɑː,4
ʔ,n,149
n,ŋ,121
ɛ,ɪ,429
ɛ,t,41
f,ɪ,4
ʌ,ɛ,376
s,ɛ,12
i,o,6
ɪ,ɐ,174
n,ð,368
ʌ,ɐ,796
n̩,ə,580
d,t,299
n,d,112
d,ə,66
e,ɛ,97
ʌ,ɑː,192
ɛ,ɹ,48
ɛ,d,47
ɾ̃,ə,42
ɾ,t,101
æ,i,36
ɾ,d,622
ɑ,ʌ,142
æ,a,104
l,ʊ,48
w,ɪ,14
d,ᵻ,7
i,ɪ,851
f,θ,9
æ,iː,13
ʃ,ɹ,17
j,h,68
e,i,35
j,i,136
ɑ,v,5
m,a,10
ɛ,a,147
o,ɪ,32
ʊ,d,36
ʔ,ɔ,2
æ,ø,1
i,j,29
ɪ,ə˞,91
o,ɜː,14
æ,ɛ,177
u,ə,107
w,l,14
m,uː,4
o,ʔ,1
o,h,18
ʊ,ɑ,13
o,aː,31
s,ɐ,13
u,ɪ,31
n,l,19
t,ə,78
n,h,8
ɪ,æ,325
ɪ,uː,295
ʊ,ɜː,28
m̩,f,9
m̩,i,11
l̩,uː,9
h,ə,5
m̩,ɜ,1
j,ə,51
ɛ,ɜ,3
j,l,23
l,ɑː,16
ʌ,ᵻ,103
ɛ,ɜː,131
ɹ,z,25
o,a,175
w,ɹ,18
l,ɹ,11
ɛ,ɐ,85
æ,ʌ,8
ʔ,p,5
l̩,o,4
ɹ,ʊ,15
m,ɑː,5
ʌ,l,85
o,ɔ,84
n̩,d,33
ɪ,ɹ,75
ɾ̃,a,34
m,ɔː,2
ɔ,ɹ,22
d,ð,78
ʒ,ɪ,14
ɾ̃,ɾ,19
i,ə,107
ɹ,i,8
ʌ,v,35
s,ð,46
θ,ə,13
n̩,m,11
ɾ,ɐ,2
z,ʒ,11
j,uː,161
ɑ,l,26
ʌ,ɜː,122
ɔ,n,18
l,v,10
ɾ,r,60
a,aː,24
ɪ,r,13
ɾ,ɡ,6
ɪ,oː,3
ɡ,ɹ,1
ʊ,n,53
a,ħ,2
ʊ,h,20
n,i,4
ɪ,ħ,1
ʌ,ħ,4
ɪ,eː,28
w,z,4
ʔ,w,2
ɪ,ɔ,12
d,l,20
ʊ,ɾ,10
o,ɐ,30
t,æ,14
o,ɑ,44
ʊ,u,31
ɪ,ɜː,30
ʌ,o,214
ʌ,z,35
ɹ̩,ɹ,208
ʊ,ɪ,115
ɑ,ɔː,14
l,ɛ,14
ɛ,s,12
ʊ,ʌ,190
ʌ,aː,116
ɪ,i,216
ɔ,uː,7
ɛ,l,19
ʌ,i,41
h,p,5
æ,ɑ,11
ʌ,u,12
ʊ,ʉ,14
ɪ,ø,2
m,v,14
w,eː,1
θ,t,66
l,u,3
ʌ,d,123
ɑ,aː,24
s,æ,13
æ,ə,43
ɛ,n,68
s,ɜː,5
ʔ,ə,38
ʌ,w,21
m,ɑ,1
ɹ̩,n,25
j,e,11
n,t,66
ɹ,d,19
s,ɪ,29
ɪ,j,23
ɹ,n,15
ɾ̃,ɑː,12
ɑ,ɔ,85
n,ɐ,6
ʌ,b,24
ŋ,n,116
m̩,m,38
m̩,n,11
j,n,83
o,s,3
ɑ,o,5
ʊ,uː,37
l,ð,32
d,v,10
b,iː,6
z,s,127
ʊ,ħ,4
m̩,ɛ,5
w,v,50
t,d,175
u,a,7
h,f,8
w,u,3
i,ɨ,3
w,iː,5
ɡ,ɑː,5
ɡ,ʔ,1
ʊ,ɛ,32
d,ħ,1
ʌ,eː,9
z,a,7
o,k,3
ʊ,eː,1
ʔ,z,8
θ,aː,1
ŋ,ɑ,2
k,ð,4
æ,aː,33
w,m,30
d,æ,9
i,d,21
ɔ,a,78
l,ŋ,2
ɹ,v,30
m̩,t,9
o,i,11
ɪ,ɾ,32
t,ʊ,9
ɑ,ɛ,22
h,ð,3
ɔ,ʌ,31
æ,eː,17
w,uː,7
n,ɛ,17
æ,t,12
ʊ,ə˞,34
u,h,13
j,a,45
s,iː,14
a,ð,9
o,ɔː,113
e,ɐ,27
ʌ,e,19
ɪ,z,39
ʃ,s,88
ɔ,u,2
ɹ,o,6
ʔ,l,9
ʌ,m,37
ʔ,i,4
o,j,5
ɹ,ᵻ,4
j,ɜː,8
m,n,91
ʊ,ɔ,23
ɛ,ə˞,106
ɾ̃,ɪ,59
m̩,a,12
l,ə,22
w,ʊ,14
i,n,23
ð,ə,47
i,l,24
ɪ,w,16
ʌ,uː,173
ʔ,d,48
ɾ,ə,28
l̩,l,59
i,h,56
ɪ,ʊ,37
ʃ,uː,21
ʌ,f,13
ɹ,ɜː,31
n̩,ɪ,137
ɹ,æ,16
ɪ,v,25
ʒ,a,7
æ,ʊ,9
n,ɪ,44
l,ɐ,7
p,f,10
m,r,1
i,ɑː,4
n,ə,50
ɑ,j,2
m,ɪ,17
ɾ̃,aː,10
b,p,55
ð,d,44
ʔ,ɾ,46
ʔ,ɪ,30
ɛ,ɾ,7
ɔ,ᵻ,2
ɪ,o,31
ɾ,æ,11
t,ɜː,7
t,ɾ,155
ɾ,ʊ,9
m̩,aː,4
ʌ,ɔ,84
v,f,39
ð,l,17
θ,ʊ,2
m,ɹ,8
ʌ,k,16
u,d,20
j,ɕ,2
j,b,9
ɑ,i,3
ɹ̩,ɑː,43
j,aː,5
ɑ,ɪ,19
ʌ̃,ə,28
l,n,27
ð,θ,45
ɑ,ð,5
j,p,7
o,b,4
j,ə˞,50
t,ð,50
θ,d,11
ɹ,m,12
ʒ,ɐ,1
d,ɑː,8
t,p,9
u,ᵻ,3
s,t,70
ɹ̩,r,1
p,b,12
ʔ,ð,8
m,ɐ,3
ɛ,ʌ,82
k,ɡ,45
ɹ,e,8
a,i,9
ʊ,a,31
w,ə˞,13
ɹ,t,14
ŋ,k,6
j,ɡ,22
a,ɑː,39
ɹ,iː,5
ɾ,i,5
a,n,19
æ,j,4
ɛ,o,11
a,d,7
h,ʊ,3
m,æ,11
e,ə,23
ɾ̃,ʊ,7
p,v,5
ɾ,ɪ,40
e,d,9
w,b,12
j,ɐ,6
s,e,3
ʃ,t,12
ɹ̩,h,8
n̩,ð,9
ɪ,h,35
θ,z,6
l,d,20
ɾ,ə˞,6
e,z,2
u,ɔː,2
i,ᵻ,36
ɾ,l,57
a,e,36
n,aː,6
d,ɪ,24
t,uː,10
ð,v,17
w,ɜː,14
j,ʒ,9
ɹ,ə,13
j,æ,19
j,ɪ,110
i,v,8
ʔ,θ,2
ɛ,ᵻ,19
ɾ̃,ɐ,15
o,ʌ,43
ɾ,ɔː,1
ɾ̃,æ,22
ʊ,iː,9
æ,ɑː,12
n,m,68
ð,ɪ,17
ð,n,33
ɾ̃,d,31
ʊ,l,55
z,n,13
ɡ,ɾ,1
n,z,2
f,a,2
l̩,s,1
ð,z,7
u,ʊ,30
d,z,8
æ,ʒ,2
z,uː,3
v,n,3
o,z,3
æ,ɪ,32
ɾ,iː,2
o,ɑː,41
θ,ɪ,6
ð,p,6
b,ə,11
ʒ,ə˞,2
u,w,18
n̩,ɹ,19
i,ɾ,11
h,d,4
t,n,58
w,ʌ,12
θ,k,5
m,ð,4
ɔ,ð,7
ʔ,k,17
z,ɹ,2
l,ɪ,19
k,p,2
z,d,21
ɔ,ʊ,5
e,w,3
ʌ,ɡ,12
ʔ,ʊ,18
õ,n,7
u,j,12
o,ə,82
s,ɑː,7
θ,ɛ,6
k,eː,3
v,ɛ,3
a,ə,19
ɾ̃,uː,3
h,ɪ,12
æ,n,18
æ̃,æ,45
i,t,11
i,uː,37
i,m,10
ʃ,iː,8
i,w,2
ʒ,ᵻ,2
j,d,17
ɛ,h,43
w,a,11
õ,o,52
ʊ̃,ʊ,72
o,ħ,3
ʊ,i,17
ɪ,f,6
n,ħ,1
ʊ,yː,4
n̩,ŋ,6
ɾ,ᵻ,7
ʊ,æ,17
i,æ,12
ɔ,ə˞,36
ɪ,ɑː,11
l̩,ə˞,2
s,m,4
n,w,3
ɾ̃,θ,3
h,uː,2
z,ð,39
ʒ,z,22
h,iː,8
o,ø,2
ʊ,ʃ,1
æ,h,16
ɛ,w,5
n,iː,5
ð,t,63
i,a,21
d,ɐ,4
h,ə˞,5
n̩,t,23
ɔ,aː,5
ɔ,d,13
m̩,ɹ,9
w,ɔː,6
ɹ,f,1
ɾ̃,w,2
ʊ,ɐ,13
d,ɡ,5
ɹ̩,ʌ,6
θ,l,3
z,t,17
ʃ,ə,13
ɹ̩,ɪ,40
u,n,13
ɑ̃,ʌ,8
u,ʌ,4
ɑ̃,ɑː,11
ɾ̃,o,8
e,ʊ,4
ɹ̩,ɔː,26
ɾ,ɹ,10
m̩,ə,71
i,ɹ,21
ɾ,z,3
ɑ,ɹ,25
ʊ̃,d,2
u,ɹ,8
v,m,12
ɔ,ə,19
ɔ,y,1
ɾ,ð,26
θ,a,5
ŋ,θ,2
ɑ,ɐ,28
n,ɑː,13
v,ə,12
ɾ,ɔ,4
ʔ,ɹ,5
ʊ,ɹ,35
i,e,120
ɹ̩,d,28
æ̃,e,14
ɪ̃,ə,11
ɛ,iː,6
i,ð,14
e,æ,26
u,ɐ,4
f,ɔː,2
m,ʊ,8
ɛ̃,ɛ,19
ɪ,l,47
o,æ,45
ɪ,œ,1
l,r,5
u,oː,13
o,n,32
ʊ,s,21
ʌ,s,40
z,e,2
w,æ,10
ʒ,ə,13
n̩,ɛ,13
j,ɾ,4
u,i,18
e,œ,1
o,ə˞,46
m,ɛ,5
ʔ,ᵻ,4
ɑ,ə,20
m,ᵻ,1
ʌ̃,æ,1
ɹ̩,æ,11
ʌ̃,ʌ,15
l,t,16
f,ə˞,3
w,n,8
n̩,z,3
õ,a,4
m,o,5
ĩ,iː,9
ɹ,ʃ,4
l̩,w,6
æ,ə˞,2
ɪ,aː,10
ɪ,e,26
ʊ,ɔː,7
e,ɜː,6
o,œ,6
ʊ,t,28
n,k,5
t,k,15
ɡ,ə,9
f,ð,8
e,ð,8
a,ɔː,3
ʔ,h,9
a,ɐ,29
m,j,3
ʊ,p,4
u,s,2
ŋ,m,9
b,ɪ,5
