reference,predicted,count
m̩,m̩,0
ɡ,ɡ,1681
o,o,1634
ɛ,ɛ,3688
ɹ̩,ɹ̩,0
t,t,5875
f,f,2085
ɑ,ɑ,48
p,p,2398
ã,ã,0
ɪ,ɪ,14082
ʌ,ʌ,4860
d,d,4318
a,a,4113
ɹ,ɹ,3607
h,h,1821
E,E,0
ɾ,ɾ,1907
ẽ,ẽ,0
U,U,0
j,j,2204
ʌ̃,ʌ̃,0
ɾ̃,ɾ̃,0
æ,æ,2227
ĩ,ĩ,0
ɛ̃,ɛ̃,0
ɔ,ɔ,91
z,z,3124
e,e,2410
β,β,0
w,w,3554
θ,θ,994
A,A,0
H,H,0
m,m,4318
v,v,1990
I,I,0
æ̃,æ̃,0
ŋ,ŋ,1292
k,k,5136
n,n,7893
b,b,2714
õ,õ,0
l̩,l̩,0
ɑ̃,ɑ̃,0
ʊ̃,ʊ̃,1
ʃ,ʃ,1497
ũ,ũ,0
O,O,0
ɪ̃,ɪ̃,0
l,l,4707
ʔ,ʔ,0
s,s,6982
ʒ,ʒ,790
ɔ̃,ɔ̃,0
u,u,0
i,i,2386
ʊ,ʊ,2405
n̩,n̩,0
ð,ð,3472
ɔ,oː,500
u,j,27
ʌ,uː,89
ɾ̃,ɛ,10
ʔ,t,1026
i,iː,2391
ɪ,ɛ,429
ɑ,ɔ,78
ʌ,a,561
e,eː,65
n,ə,49
ɾ,d,472
ʊ,ɔ,32
ʌ,ɛ,333
ɪ,ɔ,16
ɾ,v,2
l̩,ʌ,13
b,d,13
ɛ,eː,52
j,iː,157
e,ɛ,99
ɪ,ɡ,18
ʔ,z,7
u,s,4
z,ʌ,6
ɹ̩,d,24
m,ə˞,2
a,h,9
ɪ,iː,201
ʊ,ɛ,37
ɾ,ʌ,1
n̩,z,5
ɪ,b,9
d,ɹ,2
d,ə,69
ɹ̩,s,7
ɪ,r,8
ɹ,ɛ,14
l,ɑ,2
p,s,1
ɑ,a,289
t,ð,64
ʔ,w,5
ɹ̩,ə˞,2270
ɛ,æ,615
b,ɛ,2
ʌ,n,235
t,s,23
ð,ɛ,15
æ,k,3
ʌ,t,119
k,s,5
k,ŋ,4
e,ŋ,1
ɪ,k,23
o,ɔ,234
ɪ,ə,1726
z,s,117
ɔ,ɑː,689
l̩,ɔ,8
n,t,79
u,uː,1503
a,ɑː,303
ɪ,ʌ,344
ʊ,ɪ,202
