original,substitution,total_substitutions
ʌ,ə,2683
i,iː,2391
ɹ̩,ə˞,2270
ɪ,ə,1726
ɾ̃,n,1636
ɑ,ɑː,1624
u,uː,1503
ʔ,t,1026
i,ɪ,900
ʌ,ɐ,808
ʌ,ɪ,806
ɔ,ɑː,689
s,z,675
n̩,ə,670
o,oː,663
ɛ,æ,615
ɛ,ə,606
ʌ,a,561
ɛ,ɪ,509
ɔ,oː,500
ɾ,d,472
ʌ,ə˞,440
ɪ,ɛ,429
n,ð,413
ɪ,ʌ,344
ʌ,ɛ,333
a,ɑː,303
ɑ,a,289
a,æ,281
ʌ,ɑː,273
θ,ð,262
d,t,261
æ,ɛ,255
ʌ,æ,238
ʌ,n,235
o,ɔ,234
l̩,ʊ,232
l̩,ə,224
ɪ,æ,215
ʊ,ə,212
ʊ,ɪ,202
ɪ,iː,201
ɪ,i,199
ʌ,ð,184
ɹ̩,ɹ,181
t,d,179
ʊ,ʌ,177
ɪ,ɐ,171
ɪ,uː,166
t,ɾ,158
j,iː,157
n̩,n,156
ɛ,e,156
ɛ,a,149
ɪ,n,149
d,ɾ,144
ʌ,ɔ,141
ŋ,n,134
ʌ,o,132
ɹ,ɪ,129
n̩,ɪ,129
u,ɪ,120
ʌ,t,119
ʌ,aː,118
ɔ,o,118
z,s,117
o,ʌ,114
i,ə,112
ʌ,ʊ,110
ɪ,ə˞,109
ɪ,ʊ,108
ʔ,n,106
u,iː,104
æ,a,103
n,d,103
i,e,102
ɑ,ʌ,101
o,a,99
j,ɪ,99
e,ɛ,99
u,ə,98
ʌ,oː,95
ɛ,ə˞,95
f,v,93
j,n,92
ɡ,k,91
ʊ,n,91
æ,e,90
ʌ,uː,89
t,ə,89
ʌ,d,88
ɹ,ʊ,84
ɛ,ʌ,83
o,ɑː,80
m̩,ə,80
m,n,80
n,t,79
ɑ,ɔ,78
ʊ,t,78
d,ð,78
o,ɛ,77
j,h,76
ɹ,ə˞,76
ʔ,ə,75
ɛ,n,74
o,æ,74
ʊ,l,73
ɪ,t,72
ʌ,ɹ,71
ɪ,ð,71
s,t,70
d,ə,69
ɹ,t,68
n,ŋ,68
æ,ə,67
ʔ,ɾ,66
e,eː,65
ɛ,ɐ,65
t,ð,64
æ,aː,64
θ,t,64
ɪ̃,ɪ,63
n,ɪ,62
n,m,62
ʃ,s,61
ʌ,iː,61
ʌ,l,60
j,i,60
t,n,59
ɹ̩,ɛ,59
l̩,l,57
ʊ̃,ʊ,56
ɑ,æ,56
ɾ̃,ɪ,55
æ,ɪ,55
ɹ,z,55
v,b,54
e,a,54
ð,θ,54
ɛ,eː,52
u,ʊ,52
ɹ,d,51
ɔ,ə˞,51
ɹ̩,ɪ,51
ɑ,aː,51
ɪ,d,51
n,ə,49
ʊ,ə˞,49
o,n,49
ɛ,h,48
a,ɛ,48
õ,o,48
o,ɪ,47
o,ə,47
k,ɡ,47
b,p,47
ð,d,47
ɾ̃,ə,46
ɛ,ð,46
f,p,46
m̩,ʌ,45
ɔ,a,45
ɾ,n,45
v,f,44
ʌ,s,44
i,j,44
m̩,m,44
æ,ɑː,43
ɹ̩,ə,43
ɾ,ɪ,43
s,ð,42
ʊ,oː,42
ɑ,ə˞,42
o,ə˞,41
ʔ,d,41
d,n,41
a,aː,40
ʌ,h,40
ɹ,ɾ,39
ʌ,m,39
ɪ,l,39
o,aː,38
ɾ̃,ɾ,38
ɹ,v,38
ʊ,ɑː,38
i,eː,37
ʌ,z,37
ʊ,ɛ,37
ɛ,t,37
b,v,37
ʊ,ð,36
ʔ,ɪ,35
w,v,35
i,n,35
ʊ,d,35
i,h,35
ð,ə,35
ʊ,ɾ,34
ʊ,uː,34
ɹ,ə,34
ɑ,n,34
ɪ,eː,34
n̩,d,33
s,ə,33
l̩,ə˞,33
ʊ,w,33
ɾ̃,d,33
æ,eː,33
ʊ,ɔ,32
