original,substitution,total_substitutions
ɪ,j,6187
ʊ,w,3685
ʌ,ə,3286
ʔ,t,1739
ɾ,t,1708
ɾ̃,n,1648
ɪ,ə,1640
ɛ,æ,1221
s,z,850
ɾ,d,689
ʌ,ɪ,689
d,d͡ʒ,675
ɪ,æ,634
ʌ,ɑ,597
i,ɪ,581
ɪ,u,576
l̩,ə,568
t,t͡ʃ,475
ʌ,o,428
ɪ,i,414
ʌ,a,407
ʌ,u,407
d,t,404
ɹ̩,ɔ,399
n̩,æ,369
ʌ,æ,359
n,ð,348
ʌ,t,343
ʌ,ɹ̩,319
θ,ð,311
n,ŋ,306
ɪ,ɛ,306
ɛ,ə,303
n̩,ə,285
ɛ,ɪ,283
ʌ,ɛ,276
ʌ,ɔ,263
ʌ,ð,237
i,ə,224
o,ɑ,224
ð,θ,216
ʒ,ʌ,215
m̩,m,213
n,d,202
ɹ,ɹ̩,190
u,ə,190
i,ɛ,188
ɛ,e,181
ɹ̩,ɹ,177
ɑ,a,173
ɪ,t,161
s,t,157
n̩,ɪ,154
n̩,n,144
z,s,140
ɹ̩,ɛ,132
ʌ,d,131
ɔ,ɑ,127
o,ɔ,127
ʌ,w,124
ɛ,a,120
ʔ,n,116
ɹ,j,113
ʌ,n,110
ʒ,ə,108
ʊ,ə,108
ɪ,ʌ,108
ɔ,o,106
f,v,106
ʃ,t͡ʃ,104
ɪ,ð,100
t,d,98
ʒ,d͡ʒ,90
ʌ,j,88
ɪ,a,87
ʌ,l,86
ɛ,h,86
ʊ,ɑ,84
d,ð,82
ɹ̩,ɑ,78
ʌ,ɹ,78
ʊ,n,72
ɪ,n,72
ʃ,s,70
ɛ,d,70
ɪ,d,69
ɪ,ɑ,68
ɛ,t,68
ɾ,j,67
ɾ̃,ŋ,66
ʃ,ə,65
ɪ,ɹ,65
m,n,65
ɡ,k,63
ʊ̃,w,63
o,d,63
e,ə,62
ɛ,ð,61
ʊ,ɪ,60
ʌ,h,56
æ̃,æ,55
æ,a,54
ɪ,w,52
e,i,52
ɹ̩,ʊ,51
ʔ,d,51
t,ð,51
n̩,d,50
ɹ,w,50
ɑ,æ,48
s,ð,48
ɑ,ə,47
õ,o,47
n,t,46
ɾ̃,t,46
ɾ̃,j,46
n,w,46
ɑ,ɔ,45
ɾ̃,w,45
ɪ,ɹ̩,44
ɪ,e,43
m̩,ə,43
n,ɪ,42
ʊ,t,42
ɛ,n,41
z,t,39
s,ə,39
s,æ,39
i,u,39
ɪ,ɔ,38
ʊ,ʌ,38
e,ɛ,38
l̩,l,37
m̩,ʌ,37
ʊ̃,n,37
ɹ̩,ə,36
ʌ,i,36
ʊ,j,36
z,ð,34
ɪ̃,ɪ,34
ɾ,w,34
õ,ɑ,33
n̩,t,33
ɪ,ʊ,33
ɪ,d͡ʒ,32
ɛ,i,32
t,d͡ʒ,32
v,b,32
s,θ,31
ʊ,d,31
ʌ,θ,31
ɪ,z,31
i,j,30
ʒ,z,30
ʌ̃,ə,30
ɛ,j,30
o,j,29
ã,a,29
ʃ,j,28
m,j,28
ɪ,h,28
ɾ̃,d,28
ŋ,n,28
ʃ,æ,28
d,ə,28
ɛ,θ,28
s,w,27
t,θ,27
ʊ,ɔ,27
j,æ,27
ɛ,ɹ̩,26
t,j,26
ʌ,s,26
t,n,26
ɪ,l,26
ʊ,æ,26
m̩,ð,26
ɾ,ð,26
n,θ,26
a,æ,25
o,a,25
d,n,25
ɑ̃,ɑ,25
o,ə,25
l̩,t,25
ɛ,ʌ,24
ɪ̃,j,24
ʃ,t,24
s,d,24
e,æ,24
a,d,24
ɾ,ə,24
ʌ,b,24
ʔ,ə,23
o,t,23
a,ə,23
ʊ,o,23
k,b,23
ʊ,u,23
d,j,23
n,ə,23
ɛ,ɹ,23
s,n,22
k,ɡ,22
ɪ,s,22
ɑ,ɪ,22
ʌ,z,22
n,j,22
ŋ,w,22
ʌ,ŋ,22
ʔ,æ,22
l̩,ɪ,21
i,d,21
i,ð,21
n,m,21
ʊ,l,21
s,ɪ,21
ð,t,20
ɛ̃,ɛ,20
ɹ̩,ɪ,19
n,æ,19
ɹ̩,t,19
a,ɑ,19
ɔ,j,19
u,t,19
ʃ,z,19
ʊ,ð,19
s,j,19
ʔ,w,19
l,ə,19
b,p,18
ʃ,d͡ʒ,18
i,h,18
i,æ,18
ʌ,m,18
ɪ,b,18
ɪ,v,18
ʊ,ɛ,18
ʃ,ɹ,18
b,t,18
m̩,l,17
ɹ,e,17
ʌ,ʊ,17
d,l,17
ʃ,ɪ,17
ð,w,17
k,t,17
ʃ,ʌ,17
ʊ,s,17
ɑ,d,17
æ,e,17
n̩,ɛ,17
ɪ,o,17
t,ə,16
ɾ,l,16
d,s,16
ɹ,t,16
ɾ,æ,16
a,n,16
u,w,16
ɑ,o,16
ʒ,j,16
m,t,16
ʌ,ʔ,16
ɛ,o,16
ʌ̃,ʌ,16
a,w,15
l,t,15
j,ð,15
j,t,15
ɾ,n,15
d,v,15
v,w,15
ʌ,e,15
s,ɑ,14
æ,ɛ,14
æ,ə,14
ɛ,w,14
ʃ,ɹ̩,14
m̩,ɪ,14
d,ɪ,14
ɾ̃,æ,14
ɛ̃,æ,14
β,p,14
e,d,14
ʒ,d,14
ɛ,l,14
n,ɛ,13
ɹ,ə,13
m̩,b,13
j,ɪ,13
ɑ,t,13
ɹ,ð,13
m̩,θ,13
w,l,13
ɹ,æ,13
ɛ,u,13
ɪ,k,13
ʌ,v,13
ĩ,i,13
ʒ,t,13
a,ɛ,12
ɛ,ɔ,12
ɑ,n,12
θ,t,12
õ,d,12
ɛ,z,12
j,ə,12
ɡ,t,12
m̩,ɹ,12
m,æ,12
k,n,12
ð,v,12
m̩,æ,12
o,n,12
j,d,12
d,w,12
w,t,12
p,t,12
j,n,12
ɾ,a,12
æ,d,12
ʃ,o,12
ɑ,ʌ,12
ð,l,12
j,ɹ,12
t,w,12
n̩,l,12
b,d,11
o,æ,11
m,w,11
ɪ̃,ə,11
ɑ,ɹ̩,11
m,ð,11
ð,ɹ,11
i,t,11
n̩,θ,11
ɹ,d,11
ʒ,æ,11
ð,d,11
ɾ̃,u,11
ɛ̃,ə,11
s,ɹ,11
v,t,11
ʊ,ɹ,11
ʃ,d,11
ʊ̃,ɑ,11
m,ŋ,11
ʃ,ɑ,10
ɑ,j,10
ɾ,ɑ,10
ʃ,a,10
æ,ɪ,10
a,ʌ,10
n̩,ð,10
s,l,10
i,ɹ,10
ʌ,k,10
v,f,10
ɹ,a,10
ɪ̃,n,10
a,ð,10
ɑ,l,10
ð,n,10
ɹ,v,10
z,w,10
ɾ,ɹ,10
t,æ,10
u,ʊ,10
ʒ,ɛ,10
d,ʌ,10
ð,j,10
ɾ̃,m,10
ɪ,m,10
j,ʔ,10
a,i,10
s,ɛ,10
n,ɹ,10
u,i,10
j,w,10
ð,z,10
ʌ,ɡ,10
ʔ,ð,10
l,ð,10
n̩,ŋ,10
ɾ,e,9
i,n,9
l,d,9
ɑ,w,9
n,h,9
ɑ,ɛ,9
ð,ə,9
m,ə,9
f,æ,9
l,n,9
m,v,9
i,ɹ̩,9
æ,j,9
ʔ,m,9
w,ə,9
ɛ,ɑ,9
ʔ,ɪ,9
o,ʌ,9
a,t,9
ɾ̃,ə,9
s,o,9
a,o,9
ʒ,o,9
m̩,h,9
t,ɹ,9
i,w,9
a,j,9
d,ɹ,9
o,u,9
z,d,9
ɾ̃,ɪ,9
ð,ɑ,9
f,ð,9
z,ə,9
ɪ,ɡ,9
h,j,9
l̩,w,8
ʊ,i,8
ʔ,k,8
f,p,8
b,æ,8
z,ɪ,8
ʊ,a,8
s,ɔ,8
ɔ,ʌ,8
ʔ,ŋ,8
ʃ,i,8
ʃ,u,8
d,ɑ,8
ʌ,d͡ʒ,8
ĩ,ɪ,8
l̩,ɛ,8
ɹ̩,n,8
ɪ,θ,8
ð,æ,8
e,a,8
i,k,8
ʌ,p,8
n̩,s,8
e,n,8
i,a,8
ʌ,f,8
m̩,v,8
t,v,8
n,a,8
ɹ,n,8
w,b,8
ʃ,ð,8
m,l,8
i,e,8
d,z,8
p,b,8
w,a,8
ɾ̃,ɑ,8
ɾ̃,ɹ,8
l,j,8
i,l,8
o,ɪ,8
b,w,8
l,w,8
t,a,7
t,ɔ,7
ɔ̃,o,7
l̩,n,7
d,θ,7
t,k,7
m̩,ɛ,7
s,d͡ʒ,7
t,l,7
z,θ,7
h,ð,7
s,m,7
u,ɹ,7
j,i,7
ʔ,ɹ,7
v,ɹ,7
u,ɪ,7
ŋ,t,7
ɹ̩,θ,7
m,ɛ,7
d,a,7
w,m,7
w,d,7
ɾ̃,ɛ,7
ɛ,k,7
d,u,7
ɹ̩,l,7
h,ɪ,7
t,z,7
k,d,7
i,ɑ,7
ɔ,æ,7
ɹ̩,d,7
n̩,ɹ,7
u,o,7
t,s,7
ɹ,ɪ,7
t,o,7
ð,a,7
ʊ,v,7
æ,n,7
f,t,7
o,l,7
ð,k,7
æ,ɑ,7
a,θ,7
n̩,o,7
ɪ,t͡ʃ,7
i,θ,6
õ,n,6
n,l,6
ɹ̩,ð,6
j,l,6
ð,m,6
m,d,6
z,n,6
ʊ,f,6
f,ə,6
n̩,w,6
ʃ,ɛ,6
ɔ,l,6
ɾ̃,v,6
l,θ,6
n,k,6
e,k,6
v,j,6
ʊ,ɹ̩,6
ʒ,ɑ,6
ɾ̃,ð,6
ɪ,f,6
ʃ,l,6
ʒ,ɪ,6
ɹ̩,æ,6
ɾ,ɪ,6
ð,ɪ,6
ʃ,k,6
e,w,6
ɛ,d͡ʒ,6
m,a,6
d,h,6
ʒ,u,6
j,d͡ʒ,6
ʃ,θ,6
ɾ,ɛ,6
e,ð,6
ʌ̃,n,6
t,ɪ,6
v,ə,6
ɡ,ŋ,6
b,j,6
s,ʌ,6
ɹ̩,ŋ,6
d,æ,6
o,ɛ,6
m,ɪ,6
o,m,6
v,n,6
h,a,6
i,b,6
ɹ̩,i,6
ɔ,ɹ̩,6
æ,t,6
ɹ,z,6
ʒ,ɹ̩,6
æ,u,6
ɑ,ð,6
l,s,5
ɛ̃,n,5
ʌ̃,t,5
m,s,5
j,h,5
ɛ,m,5
n,s,5
w,j,5
ɾ̃,o,5
ɹ̩,u,5
u,æ,5
h,w,5
i,z,5
a,ɹ,5
j,s,5
f,n,5
ʊ̃,o,5
ʊ,ŋ,5
b,n,5
ɔ,ə,5
a,ɔ,5
f,d,5
ʃ,n,5
w,h,5
v,ɪ,5
v,m,5
ɹ,l,5
ð,ʔ,5
i,ʌ,5
ã,w,5
o,w,5
e,ɹ,5
ð,ɛ,5
ʊ,z,5
n,v,5
ʒ,ɔ,5
j,m,5
θ,z,5
ɛ,s,5
j,θ,5
i,ŋ,5
s,h,5
ʒ,a,5
d,m,5
j,p,5
d,ɡ,5
l,æ,5
ʊ,d͡ʒ,5
ʒ,i,5
ɾ,i,5
ʊ,m,5
ʊ,e,5
ɹ,d͡ʒ,5
z,ɹ,5
e,l,5
ɾ,s,5
h,ə,5
ɹ,i,5
d,ɹ̩,5
o,ɹ,5
t,h,5
ɛ̃,ɪ,5
ɔ,a,5
s,v,5
ɡ,d,5
i,v,5
ɔ,ʊ,5
ɛ,ŋ,5
ʔ,θ,5
ʒ,ʊ,5
ɔ,t,5
s,k,5
f,ʌ,4
ɑ,u,4
l̩,d,4
k,l,4
ʔ,l,4
l,a,4
u,d,4
e,ɑ,4
b,ð,4
ɹ̩,w,4
ʌ̃,u,4
k,ɹ,4
ɡ,w,4
e,ɹ̩,4
v,s,4
ɹ̩,ʌ,4
θ,w,4
t,ŋ,4
w,ɹ,4
ŋ,o,4
ɹ,θ,4
ʒ,s,4
ɪ,p,4
ɹ,ɑ,4
l,e,4
ʔ,a,4
w,ɪ,4
θ,j,4
n,e,4
v,p,4
z,j,4
f,b,4
e,j,4
u,j,4
p,f,4
d,ŋ,4
i,ʊ,4
ʔ,s,4
b,ə,4
ɡ,j,4
ɹ̩,v,4
h,æ,4
ɹ̩,f,4
ð,o,4
ʃ,w,4
ʔ,ɑ,4
v,ð,4
m,b,4
æ,ʌ,4
ʔ,p,4
w,f,4
u,n,4
p,m,4
θ,d,4
l̩,æ,4
n,t͡ʃ,4
õ,j,4
ʒ,w,4
ʊ̃,d,4
θ,æ,4
ɪ̃,ɹ,4
ŋ,d,4
u,a,4
ʒ,ð,4
o,ð,4
f,j,4
θ,ɪ,4
n,i,4
l,o,4
ɹ̩,j,4
m̩,a,4
j,o,4
z,æ,4
ẽ,e,4
s,b,4
ʌ̃,ɑ,4
e,t,4
b,u,4
e,h,4
ɔ,ɪ,4
e,ʌ,4
ʔ,i,4
ð,ɔ,4
ɾ,v,4
m̩,t,4
t,f,4
ʔ,u,4
v,θ,4
ð,ɹ̩,4
k,z,4
ɾ,ŋ,4
e,s,4
a,ɪ,4
l,m,4
w,n,4
ʌ̃,æ,4
ɛ,p,3
m,e,3
m̩,j,3
æ,t͡ʃ,3
ʃ,ʊ,3
ʔ,j,3
u,h,3
ɡ,f,3
f,ɹ,3
b,ɪ,3
k,ɹ̩,3
ɡ,n,3
e,m,3
l,k,3
j,b,3
m̩,w,3
θ,s,3
ɾ̃,a,3
ɑ,ɹ,3
ʌ̃,ɛ,3
j,ɡ,3
z,ʌ,3
ʔ,ɛ,3
ʃ,b,3
d,k,3
ɛ,ʔ,3
s,ʔ,3
e,θ,3
æ,h,3
f,h,3
ɹ,h,3
ɹ̩,e,3
ɾ̃,ɹ̩,3
z,d͡ʒ,3
v,i,3
m,ɑ,3
z,ɹ̩,3
ɾ̃,l,3
o,i,3
ɡ,æ,3
u,ɹ̩,3
w,æ,3
i,o,3
l,b,3
d,i,3
z,k,3
n,z,3
m,p,3
t,ɹ̩,3
l,h,3
t,p,3
ɹ̩,o,3
n,ɹ̩,3
æ,ɔ,3
ɔ,z,3
b,v,3
ʔ,z,3
d,ʔ,3
ɛ,v,3
k,o,3
ẽ,t,3
