reference,predicted,count
a,a,4451
ʊ̃,ʊ̃,0
ɹ,ɹ,5209
ɛ,ɛ,3561
l,l,4961
ĩ,ĩ,0
O,O,0
ʃ,ʃ,818
æ,æ,2969
U,U,0
f,f,1998
õ,õ,0
n,n,7364
E,E,0
ẽ,ẽ,0
A,A,0
i,i,4842
e,e,2547
ð,ð,3321
m,m,4188
ɾ,ɾ,0
ɛ̃,ɛ̃,0
ʒ,ʒ,41
ʊ,ʊ,592
n̩,n̩,0
ʌ̃,ʌ̃,0
l̩,l̩,0
b,b,2759
ɾ̃,ɾ̃,0
k,k,4965
w,w,3660
ɑ,ɑ,2095
ũ,ũ,0
ɹ̩,ɹ̩,1947
æ̃,æ̃,0
ɪ,ɪ,7174
ɡ,ɡ,1701
ŋ,ŋ,1466
j,j,2791
t,t,6081
H,H,0
s,s,6531
θ,θ,1036
z,z,3039
β,β,0
ʔ,ʔ,21
p,p,2423
ã,ã,0
ɪ̃,ɪ̃,0
d,d,3683
ɔ,ɔ,1423
v,v,2065
h,h,1863
m̩,m̩,0
ɑ̃,ɑ̃,0
o,o,2732
ɔ̃,ɔ̃,0
ʌ,ʌ,3983
I,I,0
u,u,1861
u,æ,4
ʌ,n,117
ɾ̃,d,27
ɪ,j,6109
ʔ,t,1737
i,ɪ,590
n,ŋ,303
ʌ,o,424
ʌ,a,401
n,t,43
ʃ,ə,67
ɾ,t,1702
ʊ,ə,113
ɪ,ə,1651
d,d͡ʒ,660
s,t,143
ʌ,ə,3279
l̩,ə,565
ʌ,u,381
e,i,49
ɪ,t,164
u,o,8
a,i,12
ɪ,t͡ʃ,7
d,t,402
ʌ,w,115
ð,θ,210
ɛ,æ,1201
b,θ,2
s,o,10
ʊ,w,3634
ɪ,æ,618
ɪ,ʌ,108
z,s,145
ʌ,l,84
o,ɑ,218
k,b,26
ŋ,w,22
s,d͡ʒ,6
ɾ̃,n,1642
ɪ,i,402
ɪ,u,575
ɾ̃,w,39
θ,ð,310
ʌ,ɛ,278
ʌ,ɪ,665
ɔ,o,93
m̩,m,184
ɑ,æ,50
ʌ,ɔ,256
ɡ,k,64
ʌ,ð,230
ʃ,t͡ʃ,104
ɛ,ð,59
ɾ,æ,16
a,t,10
f,v,104
l,ə,17
i,b,6
t,l,7
n̩,æ,347
ɔ̃,ɑ,3
ʔ,n,117
n,ð,344
ɛ,ə,297
ɛ,t,66
ɹ̩,ɹ,173
s,z,847
s,ɪ,23
n̩,ə,285
n,d,197
e,ɛ,46
ɹ̩,ʊ,53
ɛ,ɹ,20
ʌ,æ,359
ɹ̩,ɔ,393
ɛ,d,67
ɾ̃,ə,6
ʌ,ɹ,75
ʒ,ə,104
u,ə,193
ɾ,d,683
n̩,n,142
ʌ,t,337
ʌ,ɑ,606
h,æ,6
d,ə,26
ʊ,t,41
ɹ̩,ɑ,79
t,d,99
ɑ,a,167
ɑ,ɔ,42
ɑ,w,7
m,a,6
ʌ,j,85
ɛ,a,124
o,j,27
ʊ,d,25
ʔ,ɑ,4
ɪ,ɹ̩,47
d,v,13
u,t,20
t,t͡ʃ,472
o,ə,27
ʊ,l,26
ɛ,θ,29
n,h,9
ʊ,ɔ,26
i,ɛ,177
ɪ,a,90
s,ə,38
ʊ,n,71
ɹ,ɹ̩,192
æ,ʌ,3
ʔ,p,5
n̩,d,49
n,ɪ,36
ʌ,ŋ,24
ɪ,ð,96
ɹ̩,t,19
l̩,t,22
d,ð,82
ɾ̃,ŋ,68
i,ə,229
ɪ,d,69
ʌ,θ,31
ɔ,ɛ,3
ɪ,ɑ,71
n,θ,28
θ,z,4
i,n,11
n̩,t,37
ɛ,e,184
ɹ,j,113
ɪ,ɔ,37
ʌ,ɹ̩,310
ʒ,ɛ,12
u,d͡ʒ,1
ɾ̃,t,47
ɾ̃,æ,15
ɛ,ɪ,295
w,s,2
ʔ,ɪ,9
d,l,17
a,d,23
ʊ,o,19
f,l,4
ʌ,d,135
ɛ,s,7
s,θ,24
h,z,2
o,ʌ,8
n,j,25
o,ɔ,127
ɪ,ɛ,305
n,ə,24
ʌ,b,26
ʒ,ʌ,201
m̩,ɪ,13
o,s,2
ʊ,ʌ,37
w,ɪ,7
æ,a,54
ɑ,ɹ̩,11
ɔ,ɑ,137
ð,t,19
ɹ,e,16
i,d,18
æ,o,4
v,ə,3
ɪ,ʊ,33
ɾ,ə,27
a,æ,26
ɪ,n,73
ɑ,ɛ,8
h,d͡ʒ,1
ʃ,t,23
ɪ,l,25
a,θ,8
t,θ,26
e,ə,60
n,æ,16
a,n,13
e,d,15
ɾ,w,36
l̩,u,2
o,d,65
l̩,ɪ,22
ɑ,d,17
ɾ,a,13
ʃ,j,30
ʌ,f,7
n̩,ɪ,159
ʌ,h,52
æ,d,11
æ,w,5
ʔ,d,48
s,h,7
æ,ɛ,14
ʌ,ʔ,12
s,ɑ,14
ʒ,d͡ʒ,88
t,w,14
ɪ,o,15
ɛ,l,15
d,ɪ,15
v,f,11
ɛ,h,82
ʌ,k,11
j,ɹ,10
m,j,23
ʌ̃,ə,30
ʃ,a,11
ɑ,j,12
ɾ,j,67
ʊ,ɑ,85
j,p,6
ɪ,ɹ,65
ɾ̃,ɑ,8
o,b,5
a,b,3
m,i,3
a,j,9
d,n,24
d,b,2
ɑ,i,1
e,ɑ,4
ɪ,b,18
ɔ,i,2
n,w,32
e,ŋ,3
a,ə,18
ɪ,s,20
a,e,2
p,b,8
s,d,28
ð,w,19
k,ɡ,20
o,a,31
ð,l,11
ɹ,t,17
ʔ,ə,26
ɑ,ʌ,13
j,i,8
a,ɑ,20
d,θ,7
ʃ,o,12
ɔ,j,19
ɾ,i,5
v,s,2
e,ð,6
ɑ,ə,52
s,ɛ,13
ʌ,z,32
ð,d͡ʒ,2
p,v,2
j,n,11
æ,ə,21
θ,w,3
ɹ̩,ɪ,16
ɾ,ð,25
i,a,6
ɾ,l,17
ʒ,æ,9
ɹ,w,49
t,m,2
m,ə,9
ɹ,ə,13
s,ð,47
ʊ,j,31
ɪ,w,53
t,ɑ,2
ɔ,a,7
ʃ,d,10
ɾ̃,j,41
f,æ,7
f,d,4
t,a,6
i,j,38
ʃ,æ,28
ɹ,θ,4
ð,æ,12
ʊ,u,20
ʃ,ð,11
i,æ,19
z,t,36
ʔ,ɡ,1
l̩,ɛ,7
n̩,l,12
j,t,16
j,æ,23
w,a,9
v,n,4
æ,ɪ,12
o,n,8
ʒ,ɹ̩,5
u,w,16
ʊ,a,10
ʌ,d͡ʒ,11
h,d,3
ʃ,ɪ,14
n̩,ŋ,10
ʔ,k,11
z,ɹ,1
ʌ,i,38
ʌ,ɡ,9
ʔ,w,19
õ,o,47
ʊ̃,w,63
ɪ,θ,9
ɾ̃,u,11
ɾ,ɛ,5
æ̃,æ,55
t,n,27
ʃ,z,17
l̩,l,39
æ,e,15
m,n,61
ʃ,s,67
j,d,18
õ,ɑ,34
ʊ̃,n,39
m,l,6
ɹ̩,ɛ,130
a,w,10
n,ɹ,8
a,ɛ,12
j,h,5
u,i,10
ŋ,n,28
l̩,i,3
ʌ,s,27
n,m,22
ɾ̃,ð,5
ɛ,ʌ,29
t,ʃ,1
ʒ,z,29
t,ə,16
ɾ,s,2
ʌ,ʊ,17
h,ʃ,1
i,e,14
ɾ̃,ɪ,9
ʊ,ɡ,2
o,ɛ,9
ʊ,ɛ,18
ɛ,w,13
n,i,6
ɹ̩,u,7
l,w,12
h,ɪ,5
ɪ,e,37
ɛ,j,29
ŋ,d,5
ɑ,o,14
h,w,3
m̩,ɹ,12
u,ɛ,2
ɪ,h,24
ɹ̩,ɡ,1
h,a,5
m,ð,8
i,u,47
ɹ,æ,12
ʌ,m,26
