reference,predicted,count
ɔ,ɔ,3251
m̩,m̩,0
ɦ,ɦ,0
b,b,3246
s,s,9523
ɡ,ɡ,3090
ð,ð,3584
n,n,9309
ɾ̃,ɾ̃,0
ŋ,ŋ,1440
ɪ,ɪ,4939
l̩,l̩,0
ʉ,ʉ,0
l,l,7856
n̩,n̩,0
æ,æ,4892
H,H,0
ʔ,ʔ,0
ɑ,ɑ,3368
d,d,6290
u,u,576
ʊ,ʊ,456
ŋ̍,ŋ̍,0
o,o,2206
ʌ,ʌ,2088
ʃ,ʃ,2708
i,i,8211
a,a,3985
v,v,2503
f,f,2935
ɛ,ɛ,3541
ə̥,ə̥,0
θ,θ,672
t,t,8462
j,j,2214
ə˞,ə˞,0
z,z,4636
ɨ,ɨ,0
w,w,4249
h,h,1137
ɜ˞,ɜ˞,0
k,k,8118
m,m,5238
p,p,3875
ɾ,ɾ,0
ə,ə,3258
ʒ,ʒ,114
ɹ,ɹ,8463
e,e,2738
ɨ,ɪ,3115
d,ð,55
t,t͡ʃ,816
ʃ,æ,17
ɨ,ʌ,151
ɨ,ə,4517
ʉ,u,1938
ʒ,z,43
l̩,ə,990
o,ɑ,521
ʊ,n,248
ɾ,t,2457
ɪ,æ,274
ɛ,ɪ,105
ɾ̃,n,917
ɔ,o,543
æ,ɛ,254
ʌ,ɛ,60
ə˞,ɹ̩,2368
ʌ,ɹ̩,47
d,d͡ʒ,1068
ʊ,w,2980
ə,ɑ,180
ð,z,7
ɪ,i,294
ə,æ,114
i,j,63
m,n,90
ə˞,ɔ,649
ɔ,ɑ,553
ɑ,ɔ,226
ʔ,ʌ,51
ɑ,a,190
ʔ,j,57
ɑ,t,5
ɾ̃,ɹ̩,7
ɑ,ʌ,63
b,d,13
ɨ,ð,65
ɪ,ə,719
p,b,36
k,ɡ,23
ʒ,d͡ʒ,110
ə̥,ə,287
ə˞,ɹ,1029
t,ɑ,2
ɪ,j,6188
ɨ,æ,752
ʌ,ɑ,173
l̩,ɛ,4
ɜ˞,ʊ,74
ɑ,ɹ,6
ɑ,æ,98
i,e,183
n,j,3
ʃ,ə,126
ɜ˞,ɹ̩,1768
n̩,ʌ,1
ɦ,d,26
ɔ,h,1
ɡ,a,1
ɨ,z,28
ɾ,d,809
ʔ,t,751
a,æ,42
ʊ,t,10
n̩,ə,588
ə,ʌ,393
ɾ,n,37
ʌ,ə,417
ʊ,ɪ,47
ɜ˞,ɹ,302
ʒ,ə,207
ɾ̃,t,246
ɛ,æ,1026
ɨ,t,126
ɦ,h,1348
ʒ,j,281
ə,ɔ,24
ŋ,n,204
ɨ,i,725
ɪ,ɛ,235
ʉ,ə,220
ɹ,ɹ̩,198
ʌ,æ,42
ɨ,d,56
n̩,æ,75
ɦ,n,3
a,h,2
ɪ,e,36
ʌ,a,30
ʔ,w,35
θ,ð,214
ʊ,ə,53
ɜ˞,ɛ,93
ʔ,ɪ,322
ɨ,ɹ,76
i,ə,343
ə,ɪ,328
ɪ,ɹ,72
ə̥,j,5
ɨ,ɹ̩,89
ɨ,l,53
ʔ,n,52
m̩,ə,77
ʔ,æ,299
ʌ,d,6
ŋ̍,ɪ,26
ʔ,d,49
n̩,n,113
d,t,254
n̩,ɪ,150
t,n,40
ʃ,t͡ʃ,163
ə̥,ɛ,2
ʔ,ə,202
b,m,6
ʒ,ɪ,113
z,s,266
ʒ,ʌ,40
i,ɪ,638
ɡ,k,87
o,ɔ,28
ʔ,ɹ,47
ɔ,j,231
æ,j,67
ɔ,ɹ̩,27
ʃ,s,155
ʃ,l,4
ə˞,ɑ,79
d,l,10
ɪ,w,58
ɜ˞,h,19
ɾ,h,2
t,l,11
t,d,78
ə˞,ə,133
ʊ,ɑ,74
ɛ,n,31
ɾ̃,o,8
ə,w,17
ɜ˞,ɔ,249
o,ə,27
ʌ,ɪ,19
o,ɹ̩,8
ʔ,ɑ,74
i,u,17
ɹ,w,63
ʌ,h,6
ɦ,o,1
ɑ,w,32
ʒ,i,5
ɛ,ə,168
o,w,32
ɾ,ə,77
l̩,l,76
e,a,37
u,w,13
ʒ,l,1
d,z,15
ɜ˞,ɑ,39
h,a,3
ɜ˞,w,7
s,z,339
ɨ,ʊ,54
æ,a,49
e,ə,96
ɔ,a,29
ð,w,2
ʔ,o,237
ɔ,w,98
ʊ,l,21
H,ð,90
p,f,13
w,b,2
ʃ,ɹ̩,112
ə˞,z,12
ʉ,j,87
z,u,2
d,s,15
l,t,5
ʊ,ɹ,17
ə,ɛ,51
ʃ,h,20
f,p,25
f,v,41
ʔ,ɹ̩,48
ə˞,ʌ,14
a,ə,8
ɪ,n,32
n,ŋ,105
l̩,ɪ,78
ə̥,ɹ̩,9
ʔ,l,70
ɨ,u,81
ə,ɹ̩,95
l,w,51
ɾ̃,d,21
u,ɹ̩,8
ɨ,ɛ,146
ʒ,o,29
a,ɑ,18
ð,ə,16
ʊ,u,27
ɜ˞,æ,29
ʌ,ɹ,12
m̩,ɛ,2
ə,i,15
t,d͡ʒ,16
ɨ,d͡ʒ,9
d,ə,26
ʒ,n,5
ʊ,v,3
ð,d,29
ɨ,ɑ,77
θ,z,4
e,i,28
ɑ,ə,16
ʔ,h,6
f,s,48
w,l,17
ɨ,h,83
ʌ,ɔ,41
ʒ,u,28
ʔ,ɛ,52
ɛ,e,47
ɾ,j,28
ɜ˞,t,11
ɹ,ə,15
ɨ,n,125
ɾ̃,ə,17
k,t,40
z,j,5
ə˞,t,38
ʔ,ɔ,80
t,θ,14
ɑ,j,43
ɪ,l,11
ʃ,t,12
ʊ,ɹ̩,31
ɪ,ɹ̩,28
ɜ˞,o,5
z,ɹ̩,2
m̩,ɹ,18
ʉ,o,9
ʉ,ɪ,24
ɪ,t͡ʃ,1
ɛ,ʌ,28
ʌ,o,50
ɛ,ɹ̩,16
t,ə,33
ɹ,a,9
e,ɛ,14
ɜ˞,a,2
ɔ,l,7
ɜ˞,l,4
ʃ,i,8
ə,o,79
ʉ,l,5
k,f,1
i,ɹ,6
ɾ̃,ɪ,15
ɔ,n,13
ɪ,o,25
b,p,25
ə̥,ɑ,2
ɜ˞,i,2
u,ə,72
ʔ,i,19
ʃ,u,24
ʉ,w,12
ɛ,j,23
θ,s,29
ə̥,ʌ,10
ð,u,1
ʒ,h,5
ɡ,b,3
n,d,8
ɜ˞,t͡ʃ,7
θ,n,1
ɜ˞,j,19
ə˞,ʊ,8
ɾ,ɹ,27
ə˞,ɛ,47
d,t͡ʃ,18
ʒ,ɹ̩,86
ʃ,ɪ,20
ɔ,ʌ,39
l̩,o,15
æ,e,37
i,h,5
e,o,4
j,ɹ,5
ə˞,u,7
