original,substitution,total_substitutions
ɪ,j,6188
ɨ,ə,4517
ɨ,ɪ,3115
ʊ,w,2980
ɾ,t,2457
ə˞,ɹ̩,2368
ʉ,u,1938
ɜ˞,ɹ̩,1768
ɦ,h,1348
d,d͡ʒ,1068
ə˞,ɹ,1029
ɛ,æ,1026
l̩,ə,990
ɾ̃,n,917
t,t͡ʃ,816
ɾ,d,809
ɨ,æ,752
ʔ,t,751
ɨ,i,725
ɪ,ə,719
ə˞,ɔ,649
i,ɪ,638
n̩,ə,588
ɔ,ɑ,553
ɔ,o,543
o,ɑ,521
ʌ,ə,417
ə,ʌ,393
i,ə,343
s,z,339
ə,ɪ,328
ʔ,ɪ,322
ɜ˞,ɹ,302
ʔ,æ,299
ɪ,i,294
ə̥,ə,287
ʒ,j,281
ɪ,æ,274
z,s,266
æ,ɛ,254
d,t,254
ɜ˞,ɔ,249
ʊ,n,248
ɾ̃,t,246
ʔ,o,237
ɪ,ɛ,235
ɔ,j,231
ɑ,ɔ,226
ʉ,ə,220
θ,ð,214
ʒ,ə,207
ŋ,n,204
ʔ,ə,202
ɹ,ɹ̩,198
ɑ,a,190
i,e,183
ə,ɑ,180
ʌ,ɑ,173
ɛ,ə,168
ʃ,t͡ʃ,163
ʃ,s,155
ɨ,ʌ,151
n̩,ɪ,150
ɨ,ɛ,146
ə˞,ə,133
ʃ,ə,126
ɨ,t,126
ɨ,n,125
ə,æ,114
n̩,n,113
ʒ,ɪ,113
ʃ,ɹ̩,112
ʒ,d͡ʒ,110
n,ŋ,105
ɛ,ɪ,105
ɔ,w,98
ɑ,æ,98
e,ə,96
ə,ɹ̩,95
ɜ˞,ɛ,93
H,ð,90
m,n,90
ɨ,ɹ̩,89
ɡ,k,87
ʉ,j,87
ʒ,ɹ̩,86
ɨ,h,83
ɨ,u,81
ʔ,ɔ,80
ə,o,79
ə˞,ɑ,79
l̩,ɪ,78
t,d,78
ɨ,ɑ,77
ɾ,ə,77
m̩,ə,77
ɨ,ɹ,76
l̩,l,76
