reference,predicted,count
ə˞,ə˞,0
o,o,719
h,h,939
ə̥,ə̥,0
e,e,602
θ,θ,413
u,u,347
k,k,7270
̩,̩,0
m̩,m̩,0
m,m,5113
ɜ˞,ɜ˞,0
s,s,8681
z,z,3285
p,p,3447
H,H,0
˞,˞,0
v,v,2387
ɾ,ɾ,664
ɜ,ɜ,0
l̩,l̩,0
ʉ,ʉ,0
ɨ,ɨ,2576
j,j,1816
d,d,4595
ʒ,ʒ,24
w,w,3368
ɪ,ɪ,0
ŋ̍,ŋ̍,0
n̩,n̩,0
ð,ð,691
f,f,2891
i,i,7141
ə,ə,0
ʌ,ʌ,0
b,b,2890
ŋ,ŋ,482
ɑ,ɑ,157
l,l,4437
̃,̃,0
ʔ,ʔ,45
ɦ,ɦ,0
ɾ̃,ɾ̃,0
n,n,8848
æ,æ,341
ɛ,ɛ,3457
ɔ,ɔ,1076
ɹ,ɹ,0
ɡ,ɡ,2158
a,a,1596
t,t,4675
ʃ,ʃ,900
ʊ,ʊ,0
d,t,383
ʌ,a,1125
t,t͡ɕ,427
ʃ,i,117
æ,a,828
v,r,7
j,i,204
ʉ,z,3
ʒ,o̞,6
i,ɨ,151
ʉ,u,280
l̩,o,185
d,n,84
ʊ,o,227
ɾ̃,n,704
æ,eː,86
ɾ,r,1432
ɨ,u,166
ɪ,e,777
ɹ,ɻ,382
ɛ,e,367
ɔ,ɒ,166
i,u,85
ɹ,j,298
æ,ɻ,27
ʌ,ɛ,289
ə˞,ø,374
ɑ,aː,1260
t,t͡ʃ,316
ʌ,ɒ,291
d,j,49
ʒ,d͡ʑ,111
ɡ,k,250
o,ɛ,219
ʊ,u,360
w,v,85
l,o,133
w,t,6
ə,n,67
ɾ̃,eː,20
ɪ,aː,90
ɹ,r,1989
i,e,163
m,j,17
ʃ,ɕ,935
d,r,213
ə˞,y,111
ɑ,ɑː,79
ʉ,ɯ,197
ɾ,y,37
ɨ,r,163
ɡ,g,458
ɔ,ɑ,190
ə˞,ɑ,40
ɔ,o,964
ɪ,iː,296
ʔ,ɛ,348
ɑ,a,990
ʔ,n,101
ɹ,ø,59
ɪ,ɛ,961
s,z,140
ɪ,ɨ,1394
k,ɡ,200
ɨ,i,1574
t,t͡s,325
ɔ,oː,208
ɹ,ɾ,776
ʒ,d͡ʒ,33
ə̥,ɨ,85
ə˞,ɨ͡ɨ,1
e,ɛ,886
ɪ,i,2786
ɨ,ɔ,293
w,u,296
l̩,l,53
ɔ,aː,332
o,ɒ,156
ə˞,i,83
ɨ,d,84
ɜ˞,ø,351
ɑ,r,63
l,r,44
d,ɾ,117
ɨ,e̞,304
ɨ,ɯ,300
ŋ,n,592
ɑ,ɔ,178
ð,t,617
ɜ˞,ɛ,282
n̩,ɨ,76
z,n,31
ð,g,3
ɡ,ɻ,5
ɹ,æː,6
ɦ,h,1205
ɔ,ɑː,91
l,i,55
ɪ,ɻ,27
e,ä,38
ɾ,ɾː,1
a,r,27
ʊ,n,250
ɾ,j,34
o,ɑ,81
ə,a,411
z,ɕ,22
ʃ,ɛ,92
e,ɲ,3
ɪ,ɕ,107
n,ɛ,27
d,i,67
n,o̞,2
ʔ,j,193
d,d͡ʑ,860
f,ʂ,5
ɪ,j,1766
ʊ,w,703
ɑ,ɒ,285
ɜ˞,o,240
k,r,7
æ,ɛ,881
ə,ɒ,296
ʉ,yː,304
ɛ,ɛː,25
e,ɒ,30
ɪ,ʃ,5
ʉ,ø,66
ʊ,ø,120
a,aː,1377
ɪ,ɡ,183
ɜ˞,ɡ,4
ɪ,ø,91
l̩,ɔ,391
ʊ,a,49
ð,ɛ,138
ɪ,tː,10
t,ɛ,98
ʉ,ɯː,260
n̩,t͡s,10
ɛ,ɨ,41
ɪ,ɔ,120
ɹ,ɔ,116
e,a,494
n̩,n,333
ə,u,171
n̩,ø,15
ɾ̃,aː,78
ɾ,n,78
æ,aː,1093
d,d͡ʒ,155
ʒ,y,64
ɹ,ɡ,51
ʉ,øː,54
ɾ,d,410
ɨ,e,627
ɹ,w,1313
ʃ,ʂ,731
ɪ,eː,170
t,d,437
ə,o,192
ɑ,s,2
k,aː,15
ə˞,o,249
ə˞,r,463
ɪ,e̞,334
l,w,760
ɪ,ɒ,48
ʊ,y,29
i,iː,616
ð,d,952
ɪ,t͡s,26
t,aː,51
ɪ,d,143
ɾ,ɒ,30
ɹ,aː,79
e,i,176
o,o̞,171
ʊ,r,112
æ,æː,137
t,n,168
n̩,h,2
ɦ,ä,3
ʌ,æ,18
ɑ,äː,231
l,d,31
ɾ,e,25
æ,n,45
l̩,o̞ː,22
z,s,816
ə,ɛ,502
ə˞,ɨ,270
ʊ,ɛ,53
ɨ,j,326
t,d͡ʑ,52
ə˞,u,266
ɹ,ɛ,113
ɜ˞,r,189
ə˞,ʂ,30
ɜ˞,yː,10
i,ɔ,44
ɹ,ɯ,83
ə,ɔ,806
o,j,50
ʊ,ɔ,217
ə,w,50
ɡ,ɛ,19
ɜ˞,y,55
ʔ,i,139
ɪ,n,156
ɾ̃,a,57
ɑ,ɾ,42
ə̥,i,41
ɨ,a,203
ʔ,e,353
æ,l,32
ɛ,j,97
ʔ,oː,36
o,n,21
l,j,90
i,w,22
ɹ,ä,26
a,ɑ,105
k,t,80
ʔ,ɔ,121
o,m,7
ʊ,i,34
l,k,4
ŋ,m,9
t,e,42
ɜ˞,ɔ,216
d,d͡z,17
ʌ,ɨ,24
e,j,130
o,a,205
t,f,7
p,a,14
o,w,47
ʒ,u,38
ʔ,h,23
a,ä,222
o,ɔ,600
t,r,258
t,z,10
d,s,17
z,ɛ,37
ɔ,ɒː,29
ʊ,ɯ,58
ɪ,t,47
θ,j,8
i,ɛ,159
ʃ,t͡ɕ,60
ɛ,a,410
ʔ,ɒ,155
i,ɒ,30
æ,j,177
ə,j,46
ə˞,ɒ,200
t,h,24
ɦ,ɛ,28
ɪ,ä,52
ə,d͡ʑ,8
d,ɛ,79
ʒ,ʂ,14
z,ʒ,2
ɹ,v,687
ɪ,r,250
i,o̞ː,1
o,aː,9
ʊ,ɡ,8
p,b,170
s,ʃ,35
ɨ,ɨː,4
m̩,o,5
z,m,7
æ,v,51
k,θ,15
ð,æː,3
ʔ,o,212
e,ɑ,28
ʒ,i,134
ʌ,ɔ,327
ʒ,j,84
ɔ,äː,95
w,ɑ,6
ɔ,r,60
ɜ˞,ɒ,105
ɔ,jː,7
l,iː,11
p,f,39
ŋ,j,18
d,e,14
ʒ,ɲ,3
ɛ,d͡ʑ,1
s,ä,4
ð,ɨ,58
ʌ,aː,85
ð,l,30
ɪ,a,133
ɨ,ø,294
ʊ,ɾ,15
i,e̞,67
ʉ,j,70
ð,uː,1
ɨ,t,47
z,j,19
ɹ,a,199
ɨ,z,13
l,v,54
ɾ,eː,6
ɨ,o̞,23
ə˞,s,26
ɪ,v,43
ɹ,ɒ,85
ə,oː,7
w,aː,6
ʔ,r,93
ə,ɨ,394
o,oː,120
e,eː,145
ɪ,ɖ,15
ə˞,ɾ,169
ɾ̃,e,18
ɨ,eː,44
ɪ,o,76
ɑ,ɻ,17
m,n,103
ɨ,ɛ,1408
ɑ,o,28
ʉ,y,286
t,y,50
n̩,i,82
ɔ,a,289
ɨ,tː,3
a,ɒ,72
ɾ,o,28
f,t,3
θ,t,231
d,eː,6
ɪ,uː,2
w,j,21
l,h,21
b,bː,14
a,i,83
ɜ˞,i,67
æ,r,61
ə,ø,91
ɨ,æ,40
ɜ˞,øː,32
ʃ,t͡ʃ,43
ɨ,l,22
ɨ,o,90
ɡ,ɡː,14
o,ø,24
ʔ,eː,47
l̩,u,127
ɹ,y,37
ʉ,ɻ,9
ð,i,27
ə,d,50
d,ɡ,6
ɨ,n,210
ʒ,ɛ,154
t,t͡ʂ,240
ʊ,v,18
f,i,3
e,ɨ,15
ɪ,w,109
z,t͡s,142
ɦ,x,11
ə,r,59
l̩,t͡ɕ,2
t,o,16
ʃ,ɾ,12
ɔ,d,8
ʔ,aː,138
i,n,19
ɜ˞,u,111
ɑ,ɔː,19
ŋ,ɡ,44
ʊ,s,20
æ,ɛ̃,9
