original,substitution,total_substitutions
ɪ,i,2786
ɹ,r,1989
ɪ,j,1766
ɨ,i,1574
ɾ,r,1432
ɨ,ɛ,1408
ɪ,ɨ,1394
a,aː,1377
ɹ,w,1313
ɑ,aː,1260
ɦ,h,1205
ʌ,a,1125
æ,aː,1093
ɑ,a,990
ɔ,o,964
ɪ,ɛ,961
ð,d,952
ʃ,ɕ,935
e,ɛ,886
æ,ɛ,881
d,d͡ʑ,860
æ,a,828
z,s,816
ə,ɔ,806
ɪ,e,777
ɹ,ɾ,776
l,w,760
ʃ,ʂ,731
ɾ̃,n,704
ʊ,w,703
ɹ,v,687
ɨ,e,627
ð,t,617
i,iː,616
o,ɔ,600
ŋ,n,592
ə,ɛ,502
e,a,494
i,j,487
ə˞,r,463
ɡ,g,458
t,d,437
t,t͡ɕ,427
ə,a,411
ɛ,a,410
ɾ,d,410
ə,ɨ,394
l̩,ɔ,391
d,t,383
ɹ,ɻ,382
ə˞,ø,374
ɛ,e,367
ʊ,u,360
l,ɔ,354
ʔ,e,353
ɜ˞,ø,351
ʔ,a,349
ʔ,ɛ,348
ɪ,e̞,334
n̩,n,333
ɔ,aː,332
ʌ,ɔ,327
ɨ,j,326
t,t͡s,325
t,t͡ʃ,316
ʉ,yː,304
ɨ,e̞,304
ɨ,ɯ,300
ɹ,j,298
ə,ɒ,296
ɪ,iː,296
w,u,296
ɨ,ø,294
ɨ,ɔ,293
ʌ,ɒ,291
ə˞,ɔ,290
ɔ,a,289
ʌ,ɛ,289
ʉ,y,286
ɑ,ɒ,285
ɜ˞,ɛ,282
ʉ,u,280
ə˞,ɨ,270
ə˞,u,266
ʉ,ɯː,260
t,r,258
ɪ,r,250
ʊ,n,250
ɡ,k,250
ə˞,o,249
b,p,248
ɜ˞,o,240
t,t͡ʂ,240
ə˞,ɛ,238
θ,t,231
ɑ,äː,231
ʊ,o,227
a,ä,222
o,ɛ,219
ʊ,ɔ,217
s,t͡s,216
ɜ˞,ɔ,216
d,r,213
ɑ,ä,212
ʔ,o,212
ɨ,n,210
ɔ,oː,208
o,a,205
j,i,204
ɨ,a,203
k,ɡ,200
ə˞,ɒ,200
ɹ,a,199
ʉ,ɯ,197
ʔ,j,193
ə,o,192
ɔ,ɑ,190
ɜ˞,r,189
l̩,o,185
ɪ,ɡ,183
ɔ,ä,179
ɑ,ɔ,178
æ,j,177
e,i,176
ŋ,ɲ,173
o,o̞,171
ə,u,171
p,b,170
ɪ,eː,170
ə˞,ɾ,169
t,n,168
ɨ,u,166
ɔ,ɒ,166
i,e,163
ɨ,r,163
ʉ,i,161
i,ɛ,159
o,ɒ,156
ɪ,n,156
d,d͡ʒ,155
ʔ,ɒ,155
ʒ,ɛ,154
i,ɨ,151
æ,ä,150
ɔ,j,147
e,eː,145
s,ʂ,145
ə˞,ɯ,144
ɪ,d,143
z,t͡s,142
s,z,140
ʔ,e̞,140
ʔ,i,139
æ,e,139
ʊ,o̞,139
ð,ɛ,138
t,ɾ,138
ʔ,aː,138
æ,æː,137
a,ɛ,134
ʒ,i,134
l,o,133
ɹ,u,133
ɪ,a,133
e,j,130
w,o,129
l̩,u,127
ʉ,ɨ,126
ɹ,o,126
t,j,125
ʌ,ä,121
ʔ,ɔ,121
l,u,120
ʊ,ø,120
ɪ,ɔ,120
o,oː,120
i,a,119
d,ɾ,117
ʃ,i,117
ɹ,ɔ,116
ɔ,o̞,115
ɛ,æ,114
ɹ,i,114
ə˞,j,114
f,v,113
ɹ,ɛ,113
ʊ,r,112
ə˞,y,111
ɜ˞,u,111
ɹ,ʂ,111
ʒ,d͡ʑ,111
ɪ,w,109
ɹ,l,109
l,o̞,108
l̩,o̞,108
ɪ,ɕ,107
ɨ,ɒ,106
s,ɕ,106
ʉ,uː,106
l,a,106
a,ɑ,105
ɜ˞,ɒ,105
ʌ,ɑ,104
ə˞,a,103
m,n,103
ʔ,n,101
t,tː,101
a,äː,100
t,ɛ,98
t,i,97
ɛ,j,97
ɔ,äː,95
ɜ˞,a,95
ɜ˞,ɨ,95
ʔ,r,93
ʃ,ɛ,92
ɔ,ɑː,91
ə,ø,91
ɪ,ø,91
l,j,90
ʔ,ä,90
ɨ,o,90
ɪ,aː,90
ɜ˞,j,89
e,e̞,87
æ,eː,86
t,a,86
i,eː,86
ə̥,ɨ,85
ɹ,ɒ,85
w,v,85
i,u,85
ʌ,aː,85
ʒ,j,84
d,n,84
ɨ,d,84
ə˞,i,83
a,i,83
ɹ,ɯ,83
ð,θ,82
n̩,i,82
o,ɑ,81
ɔ,u,81
ɛ,e̞,80
θ,s,80
k,t,80
ɾ,i,80
d,ɛ,79
ɔ,ɔː,79
ɑ,ɑː,79
ɹ,aː,79
n,j,79
ʊ,ɒ,78
ɾ,n,78
ɨ,y,78
ɾ̃,aː,78
s,sː,77
ð,a,76
ɪ,o,76
n̩,ɨ,76
l̩,oː,76
d,ɖ,74
ð,n,73
ð,ɔ,73
ʊ,ɨ,73
æ,ɛː,72
a,ɒ,72
ɹ,ɨ,71
ɛ,eː,71
d,ɟ,70
n,ɲ,70
ʉ,j,70
ʔ,o̞,70
u,uː,69
ɜ˞,ɯ,68
ʔ,u,68
ɾ,ɛ,68
ɜ˞,i,67
o,ä,67
n̩,ɛ,67
i,e̞,67
d,i,67
ə,n,67
ʉ,ø,66
ɔ,i,66
ɜ˞,ɾ,66
ə,o̞,65
ə˞,w,65
l,ɒ,64
ʒ,y,64
ɪ,ɲ,64
ʔ,w,64
ə,ɑ,63
ɾ,l,63
ɑ,r,63
ɑ,ɒː,62
æ,r,61
ɪ,ɾ,61
h,ç,61
ʃ,t͡ɕ,60
ɔ,r,60
ʃ,ɔ,59
ə,r,59
æ,äː,59
d,t͡ɕ,59
ɹ,ø,59
ð,ɨ,58
ʊ,ɯ,58
ɨ,w,58
æ,e̞,58
n,m,58
ɹ,n,58
ɔ,ɾ,57
m̩,m,57
ð,v,57
ɪ,s,57
ɾ̃,a,57
ɪ,ɯ,57
ɹ,ʋ,56
ʃ,a,56
ʊ,l,56
ɪ,l,56
ʔ,d,56
ʃ,aː,56
e,æ,55
ɜ˞,y,55
v,f,55
l,i,55
l,v,54
ɪ,u,54
ʉ,øː,54
ʌ,o,54
ʊ,ɛ,53
ʒ,ʑ,53
ʔ,ɾ,53
l̩,l,53
t,d͡ʑ,52
ɾ,ɖ,52
ɪ,ä,52
z,ʐ,51
ɹ,ɡ,51
æ,v,51
t,aː,51
a,j,51
ɨ,iː,51
ə,d,50
v,b,50
t,y,50
ə,w,50
o,j,50
d,a,49
o,u,49
ʊ,a,49
ɛ,ɒ,49
d,j,49
æ,w,48
ʔ,ɔː,48
ɹ,d,48
ɛ,ɔ,48
ə,ɯ,48
ɪ,ɒ,48
ɪ,t,47
ʔ,eː,47
o,w,47
ɨ,t,47
ʒ,aː,46
ə,j,46
ɨ,ɛ̃,46
ɾ,a,45
ʒ,ʐ,45
ʒ,a,45
æ,n,45
ð,aː,45
ʃ,o,45
ɨ,s,44
l,r,44
ʒ,ɯ,44
ŋ,ɡ,44
ɜ˞,ɻ,44
i,ɔ,44
ɨ,eː,44
ʃ,t͡ʃ,43
d,t͡s,43
ɪ,v,43
i,ɯ,43
ɑ,ɾ,42
ɔ,o̞ː,42
ə˞,ɻ,42
t,ɨ,42
n,nː,42
t,e,42
ə̥,i,41
e,ɔ,41
t,w,41
ɔ,w,41
ɛ,ɨ,41
ʊ,j,40
ɪ,h,40
a,ɑː,40
ð,ɒ,40
b,v,40
ɨ,æ,40
ɑ,h,40
ə˞,ɑ,40
ɾ,ø,39
p,f,39
ɾ̃,ɛ,39
ʉ,ɨː,39
z,d͡z,39
l,lː,38
d,aː,38
e,ä,38
ʒ,u,38
æ,h,38
ə˞,o̞,38
t,ʂ,38
ə,ä,38
ɹ,y,37
z,ɛ,37
ʒ,ø,37
j,y,37
ɾ,y,37
u,ɯ,37
ɑ,w,37
l,n,37
ʃ,ɨ,36
u,w,36
ʉ,w,36
s,ɛ,36
ʔ,oː,36
s,ʃ,35
ɔ,n,35
t,d͡ʒ,35
ɡ,w,35
ʃ,s,35
ʃ,j,35
ɪ,o̞,35
ɾ,ɨ,35
ə˞,v,34
ʉ,r,34
ɨ,ɲ,34
ʌ,r,34
t,ɔ,34
ɾ,j,34
ɪ,d͡ʑ,34
ɑ,j,34
ʊ,i,34
w,m,34
t,t͡r,33
ʒ,d͡ʒ,33
ʊ,d,33
h,x,33
ɪ,ʂ,33
a,æ,33
w,ɔ,32
ɨ,ɾ,32
æ,l,32
ʒ,o,32
ʌ,n,32
t,p,32
ɜ˞,øː,32
ɹ,d͡ʑ,31
l̩,a,31
z,n,31
n,d,31
ð,e,31
d,dː,31
s,j,31
ʌ,w,31
ə˞,ɔː,31
l,d,31
ð,l,30
ɛ,r,30
t,u,30
ə˞,ʂ,30
ə,æ,30
ɾ,ɒ,30
i,ɒ,30
ŋ,i,30
ʌ,j,30
ə˞,d,30
ʃ,ɛ̃,30
l,ɛ,30
o,ɔː,30
t,e̞,30
n̩,ɔ,30
u,y,30
ə̥,ɛ,30
e,ɒ,30
w,h,30
n̩,ɯ,30
ʃ,r,30
e,r,30
l,ɨ,30
ŋ,ɴ,30
z,r,30
ɹ,e,29
k,kʲ,29
ʊ,y,29
ə,e,29
ɡ,j,29
s,ɔ,29
ɔ,ɒː,29
d,t͡ʃ,29
ə,i,29
h,ɛ,28
ð,j,28
ʔ,äː,28
ɦ,ɛ,28
j,u,28
e,ɑ,28
u,ɨ,28
ɾ,o,28
ɑ,o,28
ɛ,aː,28
ʃ,w,28
ɨ,ɑ,27
ɨ,d͡ʑ,27
ʃ,n,27
ɛ,ɑ,27
ɪ,ɻ,27
l,s,27
a,r,27
n,ɛ,27
æ,i,27
ə˞,ä,27
ð,i,27
ɾ,u,27
ɨ,v,27
ə,t,27
t,ɯ,27
p,pː,27
ɾ̃,o,27
æ,ɻ,27
o,o̞ː,27
ʔ,ɑ,26
ɹ,ä,26
ɛ,ä,26
ə˞,s,26
ɾ̃,ɒ,26
d,w,26
ɾ̃,j,26
a,h,26
ɪ,t͡s,26
ɨ,ä,26
ɜ˞,w,25
ɛ,ɛː,25
ɾ,t,25
ɾ̃,r,25
