reference,predicted,count
ɔ,ɔ,4831
m̩,m̩,67
ɦ,ɦ,1438
b,b,3390
s,s,9836
ɡ,ɡ,3248
ð,ð,3707
n,n,9196
ɾ̃,ɾ̃,1073
ŋ,ŋ,1685
ɪ,ɪ,12454
l̩,l̩,1186
ʉ,ʉ,2293
l,l,8041
n̩,n̩,737
æ,æ,5242
H,H,115
ʔ,ʔ,4344
ɑ,ɑ,3727
d,d,7806
u,u,538
ʊ,ʊ,4342
ŋ̍,ŋ̍,0
o,o,2852
ʌ,ʌ,2701
ʃ,ʃ,4059
i,i,9335
a,a,4133
v,v,2667
f,f,3108
ɛ,ɛ,4805
ə̥,ə̥,288
θ,θ,958
t,t,9615
j,j,2269
ə˞,ə˞,0
z,z,4952
ɨ,ɨ,8556
w,w,4350
h,h,1104
ɜ˞,ɜ˞,0
k,k,8241
m,m,5408
p,p,4003
ɾ,ɾ,3527
ə,ə,3443
ʒ,ʒ,1753
ɹ,ɹ,8832
e,e,3029
ɨ,ʊ,31
ʒ,z,13
ɪ,ɛ,216
ɛ,ɨ,120
ɔ,o,22
ʌ,a,15
ə˞,ɚ,3823
ə,ɨ,737
ɾ̃,n,244
n,ŋ,99
ɑ,ɔ,346
ɹ,ɚ,115
ɨ,ɪ,1058
ɪ,ɨ,759
ɨ,ə,620
l̩,ʊ,14
ɜ˞,ɝ,2001
ə̥,ɨ,92
ɑ,æ,18
n̩,ə,30
ʔ,t,218
ə,ʌ,246
ʌ,ə,237
ʊ,ɨ,28
ɜ˞,ɹ,54
ɪ,ə,27
n̩,n,57
ə,l̩,119
ə,ɚ,74
ʌ,ɨ,36
ɪ,i,342
ʊ,ʌ,35
ɨ,i,689
ɨ,ʔ,23
ə˞,ɹ,171
ɾ,d,88
ŋ̍,n̩,12
ɜ˞,ʔ,6
ʊ,ʉ,12
æ,ɛ,109
ɨ,ʉ,67
ɛ,æ,149
ɜ˞,ɚ,651
ɛ,ʌ,23
s,z,225
o,ɔ,38
ʔ,æ,3
n,ɾ̃,164
ɨ,ɛ,158
d,ɾ,85
ɨ,d,4
d,t,31
ə,ə̥,24
i,ɪ,119
ə,ɪ,32
ʌ,ɛ,35
i,ʉ,2
ɪ,l̩,3
ɑ,ʌ,20
n̩,ɨ,129
ɛ,ɪ,97
ə,m̩,5
ɜ˞,ɛ,46
ɑ,a,71
t,ʔ,106
ð,θ,18
a,æ,7
ʊ,l,7
ʉ,ɨ,36
ɜ˞,ɔ,3
ə,ɛ,36
f,v,10
ʔ,ɚ,8
ə˞,ɝ,566
ə,ɑ,5
h,ɦ,127
ə˞,ɔ,9
ɹ,ɝ,11
ɨ,n̩,29
ə˞,ɨ,46
ʔ,e,1
ŋ̍,ɨ,17
ʌ,ɑ,42
m̩,ɚ,16
ʔ,ɨ,12
ɔ,ɚ,2
z,s,55
ɜ˞,ɪ,17
ɜ˞,w,3
ɾ,t,28
ʌ,ɔ,37
ɪ,ʌ,20
ɛ,e,27
ʔ,h,2
ɹ,ɨ,5
ə˞,ə,38
u,ʉ,167
a,ɑ,34
ɪ,ɚ,14
ʊ,ɚ,15
ʌ,o,16
ɾ̃,ɾ,3
j,ʒ,13
m̩,m,28
ŋ,n,52
ɪ,o,3
l,ʊ,3
ɛ,ɝ,22
l̩,ə,54
ɜ˞,l,1
ʊ,ə,31
ɔ,ɑ,161
ə,o,23
f,p,3
j,ɝ,7
ʊ,ɹ,7
t,d,24
t,ɾ,23
i,ɨ,188
ə˞,t,6
ʊ,u,20
ɑ,ɪ,1
ə,ʔ,19
ɨ,ə̥,41
ɛ,ɚ,5
ɜ˞,j,8
ə˞,ɪ,13
ʉ,u,115
ʊ,l̩,19
ɨ,ʌ,34
ɔ,ɛ,1
θ,t,5
ə˞,ð,2
ɔ,ə,3
ɜ˞,ʌ,2
j,ɚ,5
ə̥,ə,45
o,a,2
ɛ,ð,1
n,t,1
z,ʒ,13
t,ð,2
ɾ̃,ŋ,1
ʉ,j,8
ŋ̍,ŋ,12
p,t,6
m̩,ə,28
l,ɨ,5
ɪ,ʊ,15
u,ɚ,2
l̩,l,23
n,n̩,28
ə,ɔ,12
t,ʒ,4
ʊ,ɪ,24
w,m,1
ə˞,ʒ,6
t,θ,7
ʔ,n,6
ə,n̩,6
ə̥,t,1
ə̥,ð,1
i,ɹ,3
e,i,8
ə,u,6
ə,h,2
ɦ,h,65
ɪ,t,3
n,m,17
ə˞,ʊ,6
d,ð,17
ʃ,s,22
u,o,1
h,ʔ,15
ɡ,ɨ,1
ŋ,ɡ,2
ə,ʊ,12
ə˞,h,3
v,b,18
ɹ,i,3
ə,ð,7
n,d,2
ð,H,2
ʒ,j,26
ʊ,ɔ,17
ʊ,ɛ,2
ə˞,w,3
s,ʃ,19
ɨ,o,2
n̩,ə̥,1
l,ə,2
ɜ˞,u,1
θ,ð,29
æ,ɪ,7
ɨ,ɚ,78
ə̥,ɚ,12
ɪ,ð,3
ʌ,ʊ,5
b,d,1
ʌ,æ,4
ɛ,ɑ,3
ə˞,m̩,1
ə˞,j,11
ʉ,ɝ,3
ə,ɹ,5
i,e,5
ɡ,k,6
ð,d,10
j,ɪ,1
ɪ,ʔ,22
z,ʌ,1
ɨ,ɹ,7
l,l̩,9
ɡ,d,1
w,l̩,1
ə˞,d,8
ɔ,l̩,1
ɨ,ð,11
ʌ,ɚ,6
j,d,4
æ,ʔ,7
ɔ,ʔ,3
e,æ,15
b,v,5
θ,d,2
ð,z,1
ə̥,n̩,3
ʌ,ɝ,6
ð,ɨ,2
ʉ,i,10
o,ʌ,4
ʃ,ʒ,12
ə˞,ɑ,8
ə̥,i,2
ɪ,j,8
i,æ,1
ɛ,o,1
æ,ʌ,1
ɦ,ɪ,1
ɔ,ɪ,1
ɜ˞,n,2
ɨ,l,3
ɑ,ʔ,4
H,ɪ,1
ɛ,ʔ,13
ʃ,ʊ,1
ɨ,H,1
ʔ,ɑ,4
