reference,predicted,count
ɔ,ɔ,4818
m̩,m̩,0
ɦ,ɦ,0
b,b,3386
s,s,9856
ɡ,ɡ,3249
ð,ð,3702
n,n,9413
ɾ̃,ɾ̃,0
ŋ,ŋ,1696
ɪ,ɪ,13479
l̩,l̩,1200
ʉ,ʉ,0
l,l,8055
n̩,n̩,0
æ,æ,5284
H,H,114
ʔ,ʔ,4426
ɑ,ɑ,3731
d,d,7827
u,u,708
ʊ,ʊ,4342
ŋ̍,ŋ̍,0
o,o,2852
ʌ,ʌ,2709
ʃ,ʃ,4072
i,i,9343
a,a,4159
v,v,2664
f,f,3106
ɛ,ɛ,4720
ə̥,ə̥,0
θ,θ,961
t,t,9580
j,j,2267
ə˞,ə˞,0
z,z,4951
ɨ,ɨ,0
w,w,4354
h,h,1244
ɜ˞,ɜ˞,0
k,k,8235
m,m,5420
p,p,4005
ɾ,ɾ,3522
ə,ə,3381
ʒ,ʒ,1567
ɹ,ɹ,8768
e,e,3036
ɨ,ʊ,25
ɨ,ɪ,9539
ʉ,u,2304
ʒ,ʃ,184
ɾ̃,n,1272
ɪ,ɛ,160
ɛ,ɪ,246
ɔ,o,20
ʌ,a,12
ə˞,ɝ,4432
ə,ɪ,919
n,ŋ,115
ɑ,ɔ,322
ɹ,ɝ,199
ə̥,ə,319
ɨ,ʌ,29
ɜ˞,ɝ,2669
ə̥,ɪ,107
ɑ,æ,20
ɔ,ɑ,177
n̩,ə,37
ɦ,h,1464
ə,ʔ,25
ɨ,ə,488
ʌ,ə,232
ʊ,ɪ,69
ɜ˞,ɹ,39
d,ɾ,79
n̩,n,728
ɪ,ə,25
ə,l̩,108
n̩,ɪ,188
i,ɪ,296
ə,ɝ,73
ə,ʌ,220
ʊ,ʌ,31
ə˞,ɹ,125
ɨ,i,666
ɨ,ʔ,129
ɪ,i,247
m̩,ə,46
ɔ,w,1
ɾ,d,92
ʔ,t,187
ŋ̍,ŋ,16
ɜ˞,ʔ,6
ʊ,u,27
æ,ɛ,72
ɨ,u,56
z,m,1
ɛ,æ,189
ɛ,ʌ,23
ɪ,ɝ,12
s,z,203
o,ɔ,37
ɨ,ɛ,114
j,ɪ,4
ɨ,ɝ,87
ɛ,ɝ,20
ɨ,h,16
d,t,35
ʌ,ɛ,31
ɪ,l̩,2
ɑ,ʌ,19
m̩,m,94
ʒ,z,11
t,n,8
ɜ˞,ɛ,46
ɑ,a,91
t,ʔ,137
a,æ,8
ʊ,l,7
ʉ,ɪ,55
ʉ,j,70
ɜ˞,ɔ,4
ə,ɛ,26
f,v,12
ʔ,ɝ,5
ə,ɑ,3
ə˞,ɪ,61
ɨ,ɾ,6
ɨ,e,13
u,ʊ,2
ŋ̍,ɪ,17
ɨ,ð,31
ʌ,ɑ,40
m̩,ɪ,13
ʔ,ɪ,47
t,d,29
ʃ,ʒ,8
ɔ,ɝ,2
z,s,52
ɜ˞,ɪ,25
ɾ,t,22
ʌ,ɔ,34
ɪ,ʌ,19
ɛ,e,31
ʔ,h,2
ə˞,ə,34
ə˞,ʊ,9
a,ɑ,13
ʊ,ɝ,21
ʌ,o,17
ɾ̃,ɾ,3
j,ʒ,12
ɦ,ɾ,1
ŋ,n,40
ð,θ,19
ɪ,o,1
æ,e,2
n,ɪ,9
l̩,ə,42
ɜ˞,l,1
ɾ̃,ɝ,2
ɨ,n,28
ə,o,18
ʉ,l,3
t,u,1
ɾ̃,ɪ,16
b,k,1
f,p,3
j,ɝ,14
ə˞,ɔ,10
ʊ,ɹ,3
t,ɾ,18
ʌ,ɪ,67
ə˞,t,6
ɑ,ɪ,2
ʉ,ʔ,1
ɛ,ə,12
ɜ˞,j,8
ʊ,ə,29
u,ə,3
ə,ʊ,19
ʊ,l̩,20
ɔ,ɛ,1
θ,t,5
ə˞,ð,2
ɔ,ə,2
ɨ,X,14
ɜ˞,ʌ,2
s,ɪ,5
o,a,2
z,ʃ,11
t,ð,2
ɨ,j,18
t,h,2
m̩,ɝ,10
d,ɪ,11
t,θ,9
p,t,4
ɜ˞,ɑ,6
u,ɝ,2
l̩,l,23
t,ɪ,8
ə,ɔ,11
w,ɪ,2
t,ʒ,5
ə,n,8
ə̥,t,2
ɾ,z,1
ə̥,ð,2
e,i,7
ɪ,ʊ,8
ɛ,n,5
ə˞,j,14
ə,u,16
ə˞,w,4
ʌ,ð,4
ɨ,H,3
n,m,13
z,ɝ,1
d,ð,14
ʃ,s,13
u,o,1
h,ʔ,16
ɡ,ɪ,1
v,b,22
ə,ð,7
n,d,2
ð,H,3
ʒ,j,24
ɨ,t,13
ʊ,ɔ,11
ʊ,ɛ,2
s,ʃ,16
ɨ,o,2
ʉ,n,3
b,v,9
ɜ˞,u,1
o,l̩,2
ʊ,w,4
ɨ,l,12
θ,ð,27
n,ʔ,3
ɨ,ŋ,2
ə̥,ɝ,8
h,ɪ,12
b,d,1
ʌ,æ,5
ɛ,ɑ,4
ʉ,ɝ,9
i,e,8
ɡ,k,7
w,ɝ,3
ə˞,ʌ,1
ð,d,13
ɹ,l̩,2
ə,s,1
z,ʌ,1
ɨ,ɹ,21
l,l̩,14
ɡ,d,2
w,l̩,1
ɔ,l̩,1
ə˞,ɛ,5
æ,ɪ,11
ʔ,n,3
j,d,10
ə˞,ʒ,8
ɦ,l,2
ɔ,ʔ,3
e,æ,15
u,ɪ,5
ɔ,ʊ,6
ð,z,2
ə̥,n,3
ʌ,ɝ,8
ð,ɪ,8
ʉ,i,11
ɹ,i,3
o,ʌ,4
ʃ,ɪ,2
ə,i,2
ə˞,ɑ,6
ə̥,i,2
i,æ,1
ɛ,o,1
ɦ,ɪ,9
ɜ˞,n,3
ʊ,n,3
H,ɪ,5
ʃ,ʊ,1
ð,t,1
o,ɝ,1
ʔ,ɛ,3
æ,a,16
ɦ,ɝ,4
ɛ,h,1
n̩,ʔ,6
ɪ,ɹ,3
ə˞,i,1
e,ɛ,11
b,p,5
ɜ˞,ʊ,5
o,ə,7
ɦ,ʌ,2
ɨ,d,15
ʒ,d,2
ɾ̃,ɛ,1
ɾ,ɪ,1
ʔ,d,5
s,d,3
ə˞,d,6
ɹ,ɪ,11
ɦ,æ,1
ʌ,H,1
ɾ̃,ɹ,2
d,ɝ,4
ɛ,ɾ,2
k,æ,1
ŋ̍,n,7
ɛ,i,3
ɛ,ʔ,10
l,ʊ,3
p,b,3
z,ɪ,5
ʔ,ə,4
n̩,X,1
ʌ,l̩,9
n̩,d,2
ɹ,h,3
ɦ,ə,5
n,ð,6
