original,substitution,total_substitutions
ɨ,ɪ,9539
ə˞,ɝ,4432
ɜ˞,ɝ,2669
ʉ,u,2304
ɦ,h,1464
ɾ̃,n,1272
ə,ɪ,919
n̩,n,728
ɨ,i,666
ɨ,ə,488
ɑ,ɔ,322
ə̥,ə,319
i,ɪ,296
ɪ,i,247
ɛ,ɪ,246
ʌ,ə,232
ə,ʌ,220
s,z,203
ɹ,ɝ,199
ɛ,æ,189
n̩,ɪ,188
ʔ,t,187
ʒ,ʃ,184
ɔ,ɑ,177
ɪ,ɛ,160
t,ʔ,137
ɨ,ʔ,129
ə˞,ɹ,125
n,ŋ,115
ɨ,ɛ,114
ə,l̩,108
ə̥,ɪ,107
m̩,m,94
ɾ,d,92
ɑ,a,91
ɨ,ɝ,87
d,ɾ,79
ə,ɝ,73
æ,ɛ,72
ʉ,j,70
ʊ,ɪ,69
ʌ,ɪ,67
ə˞,ɪ,61
ɨ,u,56
ʉ,ɪ,55
z,s,52
ʔ,ɪ,47
ɜ˞,ɛ,46
m̩,ə,46
l̩,ə,42
ʌ,ɑ,40
ŋ,n,40
ɜ˞,ɹ,39
o,ɔ,37
n̩,ə,37
d,t,35
ə˞,ə,34
ʌ,ɔ,34
ɨ,ð,31
ʌ,ɛ,31
ʊ,ʌ,31
ɛ,e,31
t,d,29
ɨ,ʌ,29
ʊ,ə,29
ɨ,n,28
θ,ð,27
ʊ,u,27
ə,ɛ,26
ɜ˞,ɪ,25
ɨ,ʊ,25
ɪ,ə,25
ə,ʔ,25
ʒ,j,24
l̩,l,23
ɛ,ʌ,23
ɾ,t,22
v,b,22
ʊ,ɝ,21
ɨ,ɹ,21
ʊ,l̩,20
ɑ,æ,20
ɔ,o,20
ɛ,ɝ,20
ɑ,ʌ,19
ð,θ,19
ɪ,ʌ,19
ə,ʊ,19
ɨ,j,18
t,ɾ,18
ə,o,18
ŋ̍,ɪ,17
ʌ,o,17
h,ʔ,16
s,ʃ,16
ə,u,16
ɾ̃,ɪ,16
æ,a,16
ɨ,h,16
ŋ̍,ŋ,16
ɨ,d,15
e,æ,15
ɨ,X,14
j,ɝ,14
ə˞,j,14
l,l̩,14
d,ð,14
n,m,13
ð,d,13
ɨ,e,13
a,ɑ,13
m̩,ɪ,13
ʃ,s,13
ɨ,t,13
h,ɪ,12
f,v,12
ʌ,a,12
ɪ,ɝ,12
ɨ,l,12
ɛ,ə,12
j,ʒ,12
z,ʃ,11
ʒ,z,11
æ,ɪ,11
e,ɛ,11
d,ɪ,11
ə,ɔ,11
ʊ,ɔ,11
ɹ,ɪ,11
ʉ,i,11
m̩,ɝ,10
ɛ,ʔ,10
j,d,10
ə˞,ɔ,10
l̩,ɪ,9
n,ɪ,9
ɦ,ɪ,9
ə˞,ʊ,9
ʌ,l̩,9
b,v,9
t,θ,9
ʉ,ɝ,9
ə̥,ɝ,8
t,z,8
d,ʃ,8
ʃ,ʒ,8
i,e,8
ə,n,8
æ,ɑ,8
ɜ˞,j,8
ə˞,ʒ,8
ʌ,ɝ,8
ð,ɪ,8
a,æ,8
t,n,8
ɪ,ʊ,8
j,u,8
t,ɪ,8
ɔ,ʌ,7
o,ə,7
ɡ,k,7
e,i,7
ɾ̃,ʊ,7
ŋ̍,n,7
ə,ð,7
ʊ,l,7
ə˞,t,6
t,k,6
ɨ,ɾ,6
ɜ˞,ɑ,6
n,ð,6
ʉ,ʊ,6
ɨ,w,6
ɔ,ʊ,6
n̩,ʔ,6
ə˞,ɑ,6
ə˞,d,6
ɜ˞,ʔ,6
ʔ,ɝ,5
ʌ,æ,5
ʔ,d,5
i,j,5
ɜ˞,h,5
H,ɪ,5
m,n,5
u,ɪ,5
θ,t,5
ə˞,X,5
ə˞,ɛ,5
s,ɪ,5
z,ɪ,5
ɦ,ə,5
ə,ɹ,5
ə̥,ʔ,5
t,ʒ,5
ɜ˞,ʊ,5
æ,ʔ,5
ɛ,n,5
b,p,5
ʌ,ʊ,5
l̩,ʊ,5
ɨ,l̩,5
ʔ,ɾ,5
ɜ˞,ɔ,4
ʒ,ɪ,4
ʌ,ʔ,4
ʉ,ɹ,4
ə,d,4
ɜ˞,w,4
d,ɝ,4
ɾ,ʔ,4
o,ʌ,4
ʌ,ð,4
ə,h,4
ɪ,j,4
ʔ,ə,4
j,ɪ,4
ʃ,ɝ,4
ʃ,t,4
ə˞,h,4
ɦ,ɝ,4
s,ɝ,4
p,t,4
ʊ,w,4
ɪ,ʔ,4
ɛ,ɑ,4
ɑ,ʔ,4
n̩,ɝ,4
ə˞,w,4
s,d,3
ɛ,i,3
ʉ,ʃ,3
ə̥,u,3
l,ʊ,3
l̩,o,3
p,b,3
ŋ,m,3
ɦ,ɹ,3
ɨ,æ,3
d,n,3
ɹ,h,3
l,ɪ,3
ʉ,d,3
ɦ,t,3
z,d,3
ŋ,ɪ,3
a,ʌ,3
ʔ,p,3
f,θ,3
ʒ,ɝ,3
ɾ,l,3
u,ə,3
ʊ,ɹ,3
ʊ,n,3
f,p,3
ə,ɑ,3
ð,H,3
w,ɝ,3
ʔ,n,3
ɔ,ʔ,3
n,ʔ,3
ə̥,n,3
ɹ,i,3
ʉ,l,3
ɨ,H,3
ɜ˞,n,3
ʉ,n,3
ɪ,ɹ,3
ʔ,ɛ,3
ɾ̃,ɾ,3
t,ɝ,2
æ,e,2
w,ɪ,2
ə̥,t,2
w,ʊ,2
ɑ,ə,2
ə̥,ð,2
j,t,2
f,m,2
e,a,2
ɪ,ð,2
j,i,2
ɑ,ɝ,2
d,z,2
ʒ,u,2
ɨ,ʃ,2
ɦ,ʔ,2
ʃ,d,2
ɦ,d,2
ɛ,ɹ,2
ɨ,ʒ,2
ɾ̃,ɝ,2
ɹ,ə,2
ə˞,n,2
ɛ,a,2
ɪ,l̩,2
H,ð,2
ɪ,u,2
i,ɹ,2
ə˞,ð,2
ɔ,ə,2
ʉ,h,2
ʔ,ʌ,2
s,t,2
ɹ,m,2
w,b,2
ɹ,v,2
a,e,2
s,m,2
ð,ə,2
ɡ,ŋ,2
ɜ˞,ʌ,2
z,ð,2
ɜ˞,ʒ,2
o,a,2
ɑ,ɪ,2
ɾ,n,2
n̩,ŋ,2
ɹ,ʃ,2
t,ð,2
ə˞,ʔ,2
