original,substitution,total_substitutions
ə˞,ɚ,3823
ɜ˞,ɝ,2001
ɨ,ɪ,1058
ɪ,ɨ,759
ə,ɨ,737
ɨ,i,689
ɜ˞,ɚ,651
ɨ,ə,620
ə˞,ɝ,566
ɑ,ɔ,346
ɪ,i,342
ə,ʌ,246
ɾ̃,n,244
ʌ,ə,237
s,z,225
ʔ,t,218
ɪ,ɛ,216
i,ɨ,188
ə˞,ɹ,171
u,ʉ,167
n,ɾ̃,164
ɔ,ɑ,161
ɨ,ɛ,158
ɛ,æ,149
n̩,ɨ,129
h,ɦ,127
ɛ,ɨ,120
ə,l̩,119
i,ɪ,119
ɹ,ɚ,115
ʉ,u,115
æ,ɛ,109
t,ʔ,106
n,ŋ,99
ɛ,ɪ,97
ə̥,ɨ,92
ɾ,d,88
d,ɾ,85
ɨ,ɚ,78
ə,ɚ,74
ɑ,a,71
ɨ,ʉ,67
ɦ,h,65
n̩,n,57
z,s,55
l̩,ə,54
ɜ˞,ɹ,54
ŋ,n,52
ə˞,ɨ,46
ɜ˞,ɛ,46
ə̥,ə,45
ʌ,ɑ,42
ɨ,ə̥,41
o,ɔ,38
ə˞,ə,38
ʌ,ɔ,37
ʌ,ɨ,36
ə,ɛ,36
ʉ,ɨ,36
ʌ,ɛ,35
ʊ,ʌ,35
a,ɑ,34
ɨ,ʌ,34
ə,ɪ,32
d,t,31
ʊ,ə,31
ɨ,ʊ,31
n̩,ə,30
ɨ,n̩,29
θ,ð,29
m̩,m,28
ɾ,t,28
m̩,ə,28
ʊ,ɨ,28
n,n̩,28
ɛ,e,27
ɪ,ə,27
ʒ,j,26
t,d,24
ʊ,ɪ,24
ə,ə̥,24
l̩,l,23
ə,o,23
t,ɾ,23
ɨ,ʔ,23
ɛ,ʌ,23
ɛ,ɝ,22
ʃ,s,22
ɔ,o,22
ɪ,ʔ,22
ʊ,u,20
ɑ,ʌ,20
ɪ,ʌ,20
ʊ,l̩,19
s,ʃ,19
ə,ʔ,19
v,b,18
e,ɛ,18
ɑ,æ,18
ð,θ,18
ʊ,ɔ,17
d,ð,17
n,m,17
ɜ˞,ɪ,17
ŋ̍,ɨ,17
m̩,ɚ,16
ʌ,o,16
e,æ,15
m̩,ɨ,15
ʌ,ɪ,15
ɪ,ʊ,15
ʌ,a,15
h,ʔ,15
ʊ,ɚ,15
æ,a,14
l̩,ʊ,14
ɪ,ɚ,14
ə˞,ɪ,13
j,ʒ,13
ɨ,e,13
ʒ,z,13
z,ʒ,13
ɛ,ʔ,13
ə,ʊ,12
ŋ̍,n̩,12
ə,ɔ,12
ə̥,ɚ,12
ŋ̍,ŋ,12
ʊ,ʉ,12
ʔ,ɨ,12
ʃ,ʒ,12
ə˞,j,11
æ,ɑ,11
ɹ,ɝ,11
ɨ,l̩,11
ɨ,ð,11
f,v,10
ʉ,i,10
ð,d,10
ə,ʉ,9
ʌ,l̩,9
ə˞,ɔ,9
n,ð,9
l,l̩,9
t,n,9
ɜ˞,ɑ,9
ʉ,ʊ,9
ʔ,ɚ,8
m̩,n̩,8
e,i,8
ə˞,ɑ,8
ʉ,j,8
t,z,8
ə˞,d,8
m,n,8
ɪ,j,8
ɜ˞,j,8
e,ɨ,8
j,ɝ,7
æ,ɪ,7
ə,ð,7
ʊ,l,7
ʔ,ɪ,7
ɨ,ɹ,7
æ,ʔ,7
ʊ,ɹ,7
a,æ,7
t,θ,7
ʌ,ʔ,7
ə˞,ʊ,6
ɔ,ʌ,6
ʌ,ɝ,6
p,t,6
ə̥,u,6
t,k,6
ɡ,k,6
ʉ,ɚ,6
ɨ,u,6
ə,u,6
ʔ,d,6
ə˞,t,6
ʔ,n,6
ɛ,ə,6
