reference,predicted,count
i,i,4062
u,u,0
k,k,8080
m̩,m̩,0
e,e,2818
m,m,5380
a,a,4095
n,n,9267
æ,æ,5304
h,h,1186
ð,ð,3714
ʉ,ʉ,0
l̩,l̩,0
ʌ,ʌ,2407
ʃ,ʃ,3950
ɜ˞,ɜ˞,0
ɔ,ɔ,195
ʒ,ʒ,1639
j,j,2079
d,d,7754
ə,ə,2248
ʊ,ʊ,4154
ə˞,ə˞,2992
ŋ,ŋ,1495
ɾ,ɾ,2479
n̩,n̩,0
l,l,8021
ɡ,ɡ,3229
b,b,3371
ɾ̃,ɾ̃,0
ɛ,ɛ,3574
v,v,2641
ɹ,ɹ,8781
ɪ,ɪ,11615
ʔ,ʔ,0
ɨ,ɨ,0
s,s,9632
ə̥,ə̥,0
p,p,3974
f,f,3086
H,H,0
ɑ,ɑ,0
w,w,4280
t,t,9419
θ,θ,743
ŋ̍,ŋ̍,0
z,z,4983
o,o,2779
ɦ,ɦ,0
i,iː,4076
ɦ,h,1381
ɜ˞,ə˞,1020
ɑ,ɑː,3447
u,uː,609
ŋ,n,174
ʔ,ɹ,267
ɔ,ɑː,1482
ɨ,ə,3105
ɛ,æ,1012
ɨ,ɐ,910
ɔ,o,473
ə,ʌ,578
s,z,353
ɦ,d,19
ɨ,æ,410
ʉ,uː,2019
ʉ,ɪ,5
l̩,ə,997
ə˞,ɜː,188
ɔ,ɔː,1264
ɨ,ɪ,3503
ə˞,ɹ,803
ə,ᵻ,152
ə,ɛ,39
ɨ,ɛ,218
n̩,ə,700
t,n,32
ɜ˞,ɜː,1024
ɨ,ɹ,266
ɑ,æ,96
ɑ,ɹ,87
ʃ,ɑː,1
ə,ɪ,428
ɨ,uː,125
ə,t,13
ə,æ,63
ɨ,ᵻ,768
ʔ,z,4
ɜ˞,l,4
ɨ,iː,163
ɪ,ə˞,14
ʔ,t,702
n̩,æ,102
ɨ,i,512
ɔ,ɹ,364
ɔ,l,22
ʔ,iː,118
ɪ,ə,365
ʔ,ɪ,270
ɪ,ɛ,193
o,ɔː,17
ɨ,ə˞,92
ɨ,ʊ,52
ʔ,ɔː,278
ə,ɹ,81
m̩,ʌ,33
ɪ,i,196
m̩,ɹ,21
ʌ,o,23
ʔ,æ,264
ɛ,n,28
ŋ,d,17
ʌ,ɜː,2
ə̥,ɐ,26
l,b,1
v,ɔː,1
o,t,2
ə,ɐ,665
ð,θ,4
ə̥,ə,210
ɑ,ʌ,28
i,ɪ,929
ɾ,d,824
ɾ̃,n,1120
ɛ,ə,112
ɑ,t,8
ɨ,w,2
ʔ,p,7
i,t,12
t,d,51
ʊ,ɔː,31
æ,ɑː,7
ɑ,ɔː,35
ʌ,ə˞,35
ɔ,oː,368
ɪ,ɹ,255
θ,ð,225
ɑ,h,4
ɦ,æ,4
ʔ,ɐ,298
ʔ,l,78
ʔ,d,29
ʔ,ɛ,46
ə˞,ɑː,81
ʊ,ə,72
ɾ̃,ɹ,7
i,n,14
ʔ,ɑː,483
ɪ,ᵻ,176
ʊ,ə˞,28
o,ɔ,23
ɪ,iː,206
ʔ,oː,90
ɛ,ɐ,102
ɛ,ɪ,77
ɪ,ɐ,109
ʃ,ɹ,2
ʉ,j,75
ʉ,ə,130
o,a,17
ə,ə˞,135
ʃ,s,68
i,ᵻ,55
e,a,26
ɨ,h,62
e,ɐ,109
l̩,ɪ,73
ɑ,a,127
i,e,72
ɛ,e,76
ɨ,n,103
ɪ,ʊ,66
ə̥,ᵻ,30
ʔ,o,155
ɨ,ɾ,20
æ,e,9
m̩,ə˞,1
ʔ,ɾ,3
ʔ,ɔ,9
ɑ,n,14
ʌ,æ,17
u,ɡ,1
t,ɾ,130
j,ᵻ,3
ʌ,ɔ,34
k,ɡ,27
l̩,n,24
ɛ,h,33
ə˞,ɪ,36
ʒ,z,31
n,m,12
l̩,l,35
ə˞,ə,64
ʃ,j,8
ə˞,ɔː,151
j,ə,21
ɨ,l,59
l̩,ɹ,32
s,ə,4
ɨ,j,34
ə,ɔ,16
ɨ,ɜː,9
n̩,ɪ,71
ʔ,n,57
ɜ˞,ɔː,78
ə̥,ʊ,4
ɹ,h,3
ɦ,iː,4
ɨ,t,108
ʃ,ʒ,19
ɨ,ʌ,236
ʔ,ɜː,39
ɦ,ɹ,10
w,ɪ,5
u,ʊ,38
ɨ,d,69
w,ə,6
l̩,ᵻ,13
w,ɑː,2
ɪ,ɾ,7
j,uː,98
ʉ,ɾ,3
ə,d,22
ɪ,ɜː,14
ə,o,63
w,ʊ,19
ɡ,ɐ,1
ɦ,t,5
d,ɾ,50
ɪ,æ,202
ʊ,ɪ,37
a,ɛ,1
ʊ,l,19
ʌ,ə,206
ʔ,a,21
ɑ,ɪ,6
d,ð,32
ɔ,k,2
o,ə,17
ʊ,uː,39
ʊ,ʌ,75
j,ɐ,4
ə,ɑː,23
ʌ,ɑː,74
ɔ,e,3
ɦ,ɾ,5
ɜ˞,h,13
ʔ,ə˞,6
ɨ,o,12
ɾ,ʊ,5
ʉ,n,8
H,ð,108
ʔ,ᵻ,5
n,ɪ,6
ŋ̍,æ,4
n,t,92
ɾ,t,230
ʌ,ɔː,19
d,t,101
ə,ɔː,18
ɑ,ɔ,38
ɨ,ð,48
ə̥,t,20
s,ᵻ,4
ɨ,z,10
m,ɪ,3
o,ɑː,5
j,i,1
i,ə,58
ə˞,ɾ,1
e,ɛ,23
ʌ,ɪ,36
t,k,8
ə˞,h,3
n̩,d,7
ɜ˞,j,11
ʌ,ɐ,137
æ,ɛ,31
ɜ˞,ɪ,37
s,n,10
j,h,4
ɔ,iː,1
ɨ,e,15
ɑ,l,20
s,l,30
l̩,w,10
v,b,32
ʃ,t,5
j,ɪ,5
ʊ,n,10
ɪ,l,4
n,ɲ,10
j,ə˞,18
n̩,ɹ,16
ɔ,d,20
z,d,4
ʒ,ᵻ,1
ʉ,s,2
ə̥,æ,2
h,ɪ,12
h,iː,4
ə̥,ɪ,114
m,n,37
ð,ə,2
s,f,2
n̩,n,29
ɔ,a,42
ʉ,ə˞,7
ɾ̃,t,106
ɾ,n,12
ɪ,d,17
n̩,ɐ,8
ɪ,n,19
ɦ,i,1
ʊ,ɹ,20
ʌ,a,21
i,h,19
ʌ,ɛ,32
ə̥,uː,10
n,ŋ,116
o,ɹ,6
ʊ,ɛ,4
e,p,1
b,ɡ,1
θ,t,13
j,l,3
l̩,ʊ,11
ɦ,l,16
ŋ,æ,2
ə̥,ə˞,14
j,iː,10
m̩,ɪ,14
ə̥,ɹ,7
i,m,4
z,s,32
i,ɹ,38
l̩,t,11
ə̥,iː,3
ɜ˞,ɹ,219
h,ɑː,10
ə˞,ᵻ,35
d,ɟ,7
ɪ,t,17
e,l,2
ɪ,h,8
ɜ˞,ɛ,60
ɛ,a,4
ɜ˞,æ,39
ə̥,ð,9
a,ɑː,32
ɡ,k,14
ə,ɜː,5
ɨ,v,1
ʒ,ʃ,6
m̩,ə,83
s,m,4
ð,d,10
ɜ˞,s,6
ʔ,ə,20
ʃ,ə˞,5
ɜ˞,z,3
b,p,13
ɛ,ʌ,22
ə̥,w,2
ʉ,ɐ,1
j,d,14
n,ð,11
θ,l,2
s,i,5
e,ɹ,12
u,t,8
ʔ,uː,8
j,ɲ,8
d,n,6
ʔ,ð,2
l̩,o,7
ð,ɛ,1
ʊ,ɑː,2
ʒ,ɹ,2
ə˞,ɛ,20
ð,n,2
ʃ,uː,15
ə˞,t,3
ɹ,ə˞,10
H,θ,5
l,ʊ,6
d,l,5
ʉ,ʊ,49
m̩,a,1
v,i,1
ɨ,b,2
æ,a,16
s,t,2
i,d,24
ɨ,ɑː,5
d,ɔː,1
l̩,ɡ,1
ɾ̃,d,15
ʉ,ᵻ,2
t,c,1
ʔ,ʌ,49
i,j,24
l,ɔː,2
ɔ,s,21
u,ə,17
ɔ,t,13
ʉ,t,35
ə˞,ɐ,32
w,f,2
ɾ,ɹ,13
ə˞,d,7
i,ɐ,3
ɾ,ð,9
v,ə,1
ɛ,t,9
ə˞,a,2
ɾ,ɪ,14
ʉ,d,12
p,b,10
ɛ,ɜː,43
ʉ,ʌ,1
ʌ,ɹ,27
ɜ˞,ɑː,36
ə,ʊ,26
ɛ,ə˞,12
ə̥,j,4
ɹ,ʊ,37
ʉ,i,3
ʉ,h,7
ɛ,ɹ,4
t,ʃ,1
w,ɹ,4
t,iː,2
t,l,4
ʊ,t,6
ɜ˞,oː,4
a,æ,33
ɜ˞,ɐ,3
ɹ,ɪ,14
ɜ˞,uː,25
t,ə,10
f,ɪ,2
ə,l,18
ɔ,h,7
ɪ,ɑː,2
ə̥,d,1
l,v,2
i,ð,28
ɔ,ʌ,12
d,ɪ,6
ɾ̃,i,1
ɦ,a,1
æ,iː,1
ŋ̍,ə,10
ɹ,d,5
ɾ,ə,13
ʃ,z,2
ʉ,l,6
ɾ,ɐ,4
ɛ,d,6
ɑ,i,2
ɪ,ʌ,36
ɪ,j,14
ʒ,j,66
ɹ,v,3
ɛ,l,4
ɾ̃,ɪ,8
h,e,1
m̩,h,1
w,l,1
i,b,2
p,ɜː,1
ɜ˞,t,12
d,ʃ,3
ʒ,uː,8
ʉ,ɑː,2
ŋ̍,ŋ,6
f,h,1
ɾ̃,æ,5
ɦ,ə˞,11
i,l,15
ɛ,ᵻ,11
m̩,k,1
f,θ,4
u,ɜː,1
ɾ,ᵻ,10
ɦ,ə,11
ɜ˞,yː,6
t,θ,6
ʊ,ʃ,2
i,ʃ,2
i,p,1
t,uː,3
ɔ,uː,4
t,ɪ,11
ə˞,ʊ,9
l,i,2
ə,s,4
ɔ,n,17
ɨ,m,5
l̩,ɾ,2
ə̥,ʌ,9
ɔ,p,7
ɪ,oː,7
t,z,8
ʉ,iː,22
ə˞,w,2
ʌ,oː,1
ɹ,ᵻ,1
ɾ̃,ŋ,4
ɨ,f,2
