original,substitution,total_substitutions
i,iː,4076
ɨ,ɪ,3503
ɑ,ɑː,3447
ɨ,ə,3105
ʉ,uː,2019
ɔ,ɑː,1482
ɦ,h,1381
ɔ,ɔː,1264
ɾ̃,n,1120
ɜ˞,ɜː,1024
ɜ˞,ə˞,1020
ɛ,æ,1012
l̩,ə,997
i,ɪ,929
ɨ,ɐ,910
ɾ,d,824
ə˞,ɹ,803
ɨ,ᵻ,768
ʔ,t,702
n̩,ə,700
ə,ɐ,665
u,uː,609
ə,ʌ,578
ɨ,i,512
ʔ,ɑː,483
ɔ,o,473
ə,ɪ,428
ɨ,æ,410
ɔ,oː,368
ɪ,ə,365
ɔ,ɹ,364
s,z,353
ʔ,ɐ,298
ʔ,ɔː,278
ʔ,ɪ,270
ʔ,ɹ,267
ɨ,ɹ,266
ʔ,æ,264
ɪ,ɹ,255
ɨ,ʌ,236
ɾ,t,230
θ,ð,225
ɜ˞,ɹ,219
ɨ,ɛ,218
ə̥,ə,210
ɪ,iː,206
ʌ,ə,206
ɪ,æ,202
ɪ,i,196
ɪ,ɛ,193
ə˞,ɜː,188
ɪ,ᵻ,176
ŋ,n,174
ɨ,iː,163
ʔ,o,155
ə,ᵻ,152
ə˞,ɔː,151
ʌ,ɐ,137
ə,ə˞,135
ʉ,ə,130
t,ɾ,130
ɑ,a,127
ɨ,uː,125
ʔ,iː,118
n,ŋ,116
ə̥,ɪ,114
ɛ,ə,112
e,ɐ,109
ɪ,ɐ,109
H,ð,108
ɨ,t,108
ɾ̃,t,106
ɨ,n,103
n̩,æ,102
ɛ,ɐ,102
d,t,101
j,uː,98
ɑ,æ,96
ɨ,ə˞,92
n,t,92
ʔ,oː,90
ɑ,ɹ,87
m̩,ə,83
ə˞,ɑː,81
ə,ɹ,81
ʔ,l,78
ɜ˞,ɔː,78
ɛ,ɪ,77
ɛ,e,76
ʉ,j,75
ʊ,ʌ,75
ʌ,ɑː,74
l̩,ɪ,73
i,e,72
ʊ,ə,72
n̩,ɪ,71
ɨ,d,69
ʃ,s,68
ɪ,ʊ,66
ʒ,j,66
ə˞,ə,64
ə,æ,63
ə,o,63
ɨ,h,62
ɜ˞,ɛ,60
ɨ,l,59
i,ə,58
ʔ,n,57
i,ᵻ,55
ɨ,ʊ,52
t,d,51
d,ɾ,50
ʉ,ʊ,49
ʔ,ʌ,49
ɨ,ð,48
ʔ,ɛ,46
ɛ,ɜː,43
ɔ,a,42
ʔ,ɜː,39
ʊ,uː,39
ə,ɛ,39
ɜ˞,æ,39
ɑ,ɔ,38
i,ɹ,38
u,ʊ,38
m,n,37
ɹ,ʊ,37
ɜ˞,ɪ,37
ʊ,ɪ,37
ɪ,ʌ,36
ʌ,ɪ,36
ə˞,ɪ,36
ɜ˞,ɑː,36
ʌ,ə˞,35
ɑ,ɔː,35
ə˞,ᵻ,35
l̩,l,35
ʉ,t,35
ɨ,j,34
ʌ,ɔ,34
m̩,ʌ,33
a,æ,33
ɛ,h,33
v,b,32
a,ɑː,32
l̩,ɹ,32
t,n,32
d,ð,32
ʌ,ɛ,32
z,s,32
ə˞,ɐ,32
ʊ,ɔː,31
ʒ,z,31
æ,ɛ,31
s,l,30
ə̥,ᵻ,30
ʔ,d,29
n̩,n,29
i,ð,28
ɑ,ʌ,28
ʊ,ə˞,28
ɛ,n,28
k,ɡ,27
ʌ,ɹ,27
e,a,26
ə̥,ɐ,26
ə,ʊ,26
ɜ˞,uː,25
i,j,24
i,d,24
l̩,n,24
e,ɛ,23
o,ɔ,23
ʌ,o,23
ə,ɑː,23
ə,d,22
ʉ,iː,22
ɔ,l,22
ɛ,ʌ,22
m̩,ɹ,21
f,v,21
