reference,predicted,count
i,i,4123
u,u,0
k,k,8155
m̩,m̩,0
e,e,2839
m,m,5372
a,a,3782
n,n,9073
æ,æ,5214
h,h,1192
ð,ð,3718
ʉ,ʉ,0
l̩,l̩,0
ʌ,ʌ,2366
ʃ,ʃ,3924
ɜ˞,ɜ˞,0
ɔ,ɔ,125
ʒ,ʒ,1442
j,j,2187
d,d,7683
ə,ə,2317
ʊ,ʊ,3287
ə˞,ə˞,3452
ŋ,ŋ,1469
ɾ,ɾ,2682
n̩,n̩,0
l,l,7962
ɡ,ɡ,3226
b,b,3363
ɾ̃,ɾ̃,0
ɛ,ɛ,3849
v,v,2630
ɹ,ɹ,6674
ɪ,ɪ,11513
ʔ,ʔ,0
ɨ,ɨ,3
s,s,9591
ə̥,ə̥,0
p,p,3949
f,f,3078
H,H,0
ɑ,ɑ,3
w,w,4294
t,t,9390
θ,θ,743
ŋ̍,ŋ̍,0
z,z,4951
o,o,2184
ɦ,ɦ,0
i,iː,4090
ɦ,h,1374
ɜ˞,ə˞,2085
ɑ,ɑː,3432
u,uː,621
ɾ,t,210
ŋ,n,202
ʔ,ɑː,693
i,ɪ,924
ɨ,ə,3777
ɛ,æ,741
ɔ,o,787
ɪ,ʊ,422
ə,ʌ,600
s,z,364
ɨ,æ,183
ʉ,uː,2034
ʉ,ɪ,16
l̩,ə,576
ɔ,oː,943
ɪ,ə,466
ɨ,ɪ,4323
ʊ,ɪ,107
ə˞,ɹ,312
ɔ,ɑː,1788
ə,ɛ,41
ɨ,ɛ,166
n̩,ə,726
t,n,37
ə˞,ə,75
ɨ,ɹ,177
ɑ,ɹ,29
ʃ,ɑː,1
ɹ,ʊ,231
ə,ɪ,438
ɨ,uː,60
ə,s,14
ə,æ,51
ʔ,z,5
ɜ˞,l,4
ɑ,l,21
ɨ,i,507
ɦ,iː,12
ɛ,h,29
ʔ,ɪ,344
n̩,n,44
ɨ,iː,173
ʊ,oː,44
k,t,33
ə,i,2
ɔ,l,25
ʔ,iː,129
ɪ,ɛ,209
o,ɔ,35
ɨ,ə˞,106
ɨ,ʊ,120
ʔ,oː,111
ə,oː,7
m̩,ʌ,33
ɪ,i,210
m̩,ɹ,17
w,m,3
ʔ,æ,198
ɛ,n,26
o,oː,510
ʊ,h,8
ɦ,oː,4
θ,s,6
ə̥,a,1
l,s,1
v,eː,1
o,ɐ,3
ʊ,b,1
ʔ,ɔ,5
ə,ɐ,689
ð,θ,4
ʔ,ə,84
ɨ,ŋ,3
ə̥,ə,236
ɑ,ʌ,35
ɨ,ɐ,522
ɾ,d,631
ɜ˞,ɹ,126
ɾ̃,n,933
ɛ,ə,180
ɛ,eː,7
d,t,111
z,s,52
a,ɑː,171
ʊ,ɐ,7
l̩,ʊ,269
ə,l,22
i,t,12
e,ɛ,23
l,ɾ,2
ʊ,ə˞,45
ʌ,ə˞,34
n,t,189
θ,ð,218
ɑ,h,10
ɦ,a,1
ʔ,t,586
l̩,o,25
ʔ,ʊ,28
