original,substitution,total_substitutions
ɨ,ɪ,4323
i,iː,4090
ɨ,ə,3777
ɑ,ɑː,3432
ɜ˞,ə˞,2085
ʉ,uː,2034
ɔ,ɑː,1788
ɦ,h,1374
ɔ,oː,943
ɾ̃,n,933
i,ɪ,924
ɔ,o,787
ɛ,æ,741
n̩,ə,726
ʔ,ɑː,693
ə,ɐ,689
ɾ,d,631
u,uː,621
ə,ʌ,600
ʔ,t,586
l̩,ə,576
ɨ,ɐ,522
o,oː,510
ɨ,i,507
ɪ,ə,466
ə,ɪ,438
ɪ,ʊ,422
s,z,364
ʔ,ɪ,344
ə˞,ɹ,312
ɔ,ʊ,305
ʔ,o,270
l̩,ʊ,269
ʒ,j,253
ə̥,ə,236
ɨ,ʌ,235
ɹ,ʊ,231
ʔ,ɐ,220
θ,ð,218
ɪ,i,210
ɾ,t,210
ɪ,ɛ,209
ŋ,n,202
ʌ,ə,199
ʔ,æ,198
ɑ,a,191
n,t,189
ɪ,iː,188
ɨ,æ,183
ɛ,ə,180
ɨ,ɹ,177
ɨ,iː,173
a,ɑː,171
ɾ̃,t,170
ə,ə˞,170
ɨ,ɛ,166
l̩,ə˞,166
ʌ,ɐ,159
a,æ,157
ɔ,ɹ,140
n̩,ɪ,140
ʔ,iː,129
ə̥,ɪ,126
ɜ˞,ɹ,126
ɨ,ʊ,120
d,t,111
ʔ,oː,111
ɪ,æ,111
ɨ,n,110
ʊ,ɪ,107
ɨ,ə˞,106
ɛ,e,97
ʌ,ɑː,95
ʔ,a,93
ɛ,ɪ,92
ʉ,j,92
ɨ,t,90
H,ð,89
ʊ,t,86
l̩,ɪ,85
ʔ,ə,84
t,ɾ,83
ɜ˞,ɛ,80
ʉ,ə,80
m̩,ə,80
e,a,80
i,e,78
ɪ,ɐ,75
ə˞,ə,75
ʉ,ʊ,71
n,ŋ,69
i,ə,69
ɑ,æ,68
ʔ,n,68
ə˞,ɪ,62
ɹ,d,61
ɨ,uː,60
ə,ʊ,60
æ,ɛ,59
ɹ,ɪ,58
ʊ,n,58
ɨ,d,58
t,d,57
ə˞,ɐ,57
