reference,predicted,count
d,d,7343
ɨ,ɨ,0
n,n,8777
ð,ð,3444
l̩,l̩,946
ɾ,ɾ,3308
ɪ,ɪ,11068
i,i,9005
ɾ̃,ɾ̃,941
ʊ,ʊ,4174
ɦ,ɦ,0
æ,æ,4901
b,b,3314
H,H,0
ʃ,ʃ,4019
w,w,4269
j,j,2211
ə˞,ə˞,0
m,m,5362
t,t,7911
ɡ,ɡ,3146
f,f,3079
s,s,9903
ɑ,ɑ,3346
h,h,1161
θ,θ,920
o,o,2705
ɔ,ɔ,4071
ɛ,ɛ,4619
k,k,8120
ə,ə,0
e,e,2871
n̩,n̩,461
z,z,4179
ʒ,ʒ,1552
l,l,7862
ŋ,ŋ,1588
m̩,m̩,0
ɹ,ɹ,8757
ə̥,ə̥,0
a,a,3944
ʉ,ʉ,0
ɜ˞,ɜ˞,0
ʔ,ʔ,776
u,u,687
p,p,3912
ŋ̍,ŋ̍,0
ʌ,ʌ,2847
v,v,2527
ɨ,ɪ,6179
d,ð,65
ʉ,u,2136
ɪ,ɛ,573
ɔ,o,428
ʌ,ɛ,74
t,ʔ,1153
ə˞,ɹ̩,3200
ə,ɪ,369
ə,ʌ,3514
ɾ̃,n,303
ə,æ,2
i,ɪ,407
m,ŋ,4
n,ŋ,119
ɔ,ʌ,65
ɑ,ɔ,580
ɪ,i,841
ʔ,ʌ,212
ə̥,ʊ,9
t,d,93
ə,n,61
ɨ,ʌ,1889
l̩,ɪ,13
ɜ˞,ɹ̩,2070
ə̥,ɪ,181
ɨ,h,18
ɑ,æ,32
a,ɑ,114
n̩,ʌ,241
z,n,9
ɦ,h,1398
ɔ,a,28
ɡ,ʊ,2
ɨ,z,11
n̩,ʔ,1
i,e,144
z,s,677
ʃ,ʒ,11
ɪ,ʊ,281
ʊ,ɪ,38
ɜ˞,ɹ,296
d,ɾ,102
ɪ,ʌ,211
n̩,n,89
ə,l̩,89
ə̥,u,27
n̩,ɪ,129
ə,ɹ̩,47
ɨ,i,827
ə˞,ɹ,916
ə̥,t,18
ʉ,ɪ,79
ɾ,d,208
n,ʔ,64
ɑ,a,77
ʊ,ʌ,88
ɜ˞,ɛ,125
ʔ,ɪ,312
d,t,227
j,ɪ,34
ɨ,ɛ,1118
j,ɹ,7
ə̥,j,4
m̩,ʌ,107
m,n,19
ŋ̍,n̩,9
ɨ,n,93
t,s,5
d,s,12
ʊ,u,37
ʔ,ɹ̩,55
æ,ɛ,324
ə,j,3
t,ɾ,52
o,l̩,11
ɨ,u,124
o,ʌ,66
ʊ,l,29
z,m,5
ð,n,162
ʒ,j,76
ɛ,ʌ,119
o,ɔ,37
t,n,30
e,a,69
ə,ʊ,77
ə,o,54
ʔ,ʊ,10
ɔ,w,11
ʔ,æ,36
ɨ,t,39
f,θ,12
ə˞,ʌ,177
ɨ,ɾ,12
d,ʌ,7
ʔ,ɛ,232
ɛ,æ,269
ɔ,s,7
ɜ˞,h,8
i,ʊ,2
ə˞,ɪ,78
ɜ˞,j,35
ɨ,e,46
o,ɛ,6
ʔ,ɑ,62
b,f,2
i,u,9
ɑ,o,1
n,ɾ̃,205
ɪ,æ,20
l̩,l,62
ʒ,z,35
i,a,3
ɪ,ɹ,106
ɜ˞,ɑ,44
ʉ,l,6
t,u,4
ɨ,ʒ,5
ɨ,ʊ,109
ʉ,j,117
ə,u,34
æ,a,51
ɛ,ɪ,122
ə,t,13
ð,θ,43
ʔ,t,54
a,æ,55
H,ð,91
w,b,5
ɜ˞,ɪ,48
ə̥,ʌ,156
ɜ˞,ɔ,9
ə,ɛ,118
f,v,12
ə˞,ɛ,39
ə˞,ɔ,17
l̩,ʊ,61
ʌ,ɑ,96
ɨ,m,21
l̩,ʌ,172
ɪ,ʔ,8
a,ʌ,17
ɨ,æ,15
ʔ,a,22
u,o,10
n̩,ɛ,31
d,ɪ,14
ʔ,ɾ,15
ŋ̍,ɪ,22
ɔ,ɑ,197
ʌ,ɹ,1
l,θ,1
ʌ,ʊ,8
ɔ,ɹ̩,12
p,b,19
a,ɹ̩,2
e,i,12
k,ɡ,21
ɑ,ʌ,45
ʉ,ʃ,9
z,u,4
ʔ,d,11
v,ɪ,3
w,f,2
ɜ˞,w,1
ʌ,ɔ,33
s,z,115
ʒ,ʃ,72
ɛ,e,30
ɹ,ʌ,19
ɪ,ɹ̩,44
ə˞,j,70
ɪ,o,29
ʊ,ɹ̩,20
ɨ,d,38
ʔ,o,96
ɔ,ʊ,98
ɦ,d,3
ŋ,n,105
ɨ,θ,4
ɜ˞,ʌ,46
l,ʊ,13
n,m,66
e,ɛ,48
p,ɡ,1
ɜ˞,l,5
ə˞,ʃ,16
H,ɪ,7
b,v,18
b,ɡ,3
f,p,6
ʊ,ɹ,9
ɨ,j,44
z,d,27
ʔ,s,9
ɨ,ð,48
ʔ,i,9
ɪ,l,11
ɨ,ɹ̩,54
θ,s,18
ə̥,ð,5
v,b,43
k,p,1
s,ʃ,30
n,ɾ,4
ɾ,ʔ,6
ɑ,ɪ,3
z,l,17
ə˞,t,12
ɪ,j,15
ə˞,i,13
n,d,7
z,ʌ,10
ɛ,ɹ̩,9
ɦ,ɡ,1
ʒ,ɹ̩,5
ɾ,t,52
ə˞,u,10
ɨ,l,18
ʊ,l̩,15
ʌ,o,34
θ,ð,42
s,ɪ,7
ɦ,ɪ,17
e,æ,35
w,u,8
ð,ʌ,50
ɛ,a,15
ʃ,s,40
ʃ,ɪ,3
ʉ,n,14
ɾ̃,ɾ,24
æ,h,4
o,a,9
m̩,m,28
ʔ,n,16
l,ð,11
ɛ,ð,3
t,æ,2
ɨ,n̩,13
t,ð,6
ʉ,i,13
ð,s,4
ɜ˞,d,4
h,ɪ,19
ɨ,s,28
o,ɹ,2
ʒ,t,7
ə,ɔ,11
d,z,9
ɾ,ɾ̃,20
d,n,10
w,l̩,4
ʔ,p,7
ə,a,5
ŋ,ɪ,4
b,m,4
ə,s,9
ɡ,d,9
m̩,ɹ,4
ɨ,ɹ,73
ɹ,ɹ̩,65
ɜ˞,u,16
l,ɾ,11
t,ɪ,27
ʌ,a,16
ɪ,s,11
l,e,3
o,n,3
ʊ,ɔ,15
ɜ˞,n,3
d,l,1
d,ʔ,8
p,ʔ,7
ʊ,ŋ,2
ə˞,ɑ,28
l,ɛ,3
l,o,3
u,ɹ̩,3
i,ŋ,2
ɪ,ŋ,3
n,h,1
ɦ,ɹ̩,9
o,ɪ,8
v,f,55
ə,d,12
ɾ,ɪ,13
ʊ,ɑ,1
t,f,1
w,ʊ,12
t,ʒ,4
ə˞,d,24
t,θ,13
ə,n̩,2
ɾ,ð,13
θ,t,5
ɪ,ð,9
m,w,2
w,ʌ,9
ɾ̃,ɛ,7
k,n,1
n,ð,6
ɡ,k,65
æ,ɹ,3
ɹ,ɪ,6
ə̥,n,2
d,b,3
ʌ,ɪ,17
s,n,3
ʊ,m,2
j,d,7
ɨ,ʔ,5
ə,h,8
ɦ,u,4
e,ʌ,3
ɑ,l,2
ɪ,ɾ̃,3
ɪ,m,7
a,ɛ,14
u,ʊ,9
l,ʌ,30
ɦ,ɾ,3
l,ɹ̩,2
z,t,15
l,w,13
i,ɛ,8
t,k,7
ʔ,ɔ,78
k,ʔ,11
ɑ,ʊ,2
ʃ,ɹ̩,2
ʊ,b,3
æ,ɾ,1
ə̥,i,10
i,j,30
ɡ,ɪ,14
ŋ,ɡ,2
ə,ɹ,23
o,l,13
ɪ,l̩,1
a,s,1
ð,t,10
ð,m,3
j,u,16
ʊ,ɛ,6
ɦ,k,1
ə˞,f,3
ɾ,n,8
ɨ,o,3
ə̥,p,2
b,l̩,1
j,i,11
ɨ,ŋ,9
ɑ,ɛ,5
ʔ,w,4
ɹ,ɛ,3
ŋ̍,ŋ,6
ɦ,j,5
ɾ̃,ɪ,3
b,d,2
ʌ,æ,8
ɛ,ɑ,4
t,p,8
t,ɛ,4
ə,l,19
d,v,2
ɜ˞,æ,1
ɹ,l,5
ɛ,i,1
n,t,10
k,ɪ,2
ð,ʔ,1
ə,b,2
p,ɪ,2
o,f,1
ʔ,ɹ,13
m,v,4
l,ɹ,5
w,ɛ,2
ɾ̃,v,1
ɪ,u,9
ɾ̃,d,3
ə̥,ɹ̩,13
ɔ,l̩,4
ə̥,ɹ,4
ɹ,w,16
l̩,ɾ,1
n,a,1
æ,ɪ,11
ɦ,l,6
ɾ̃,ʌ,8
b,s,2
p,f,8
ɜ˞,o,9
v,ʊ,6
b,w,3
j,ɹ̩,8
f,b,1
t,h,3
ɹ,e,1
o,w,2
v,d,1
ɹ,d,1
s,θ,5
v,s,4
z,ɪ,17
a,ɹ,1
ð,d,5
ɛ,o,3
ʃ,z,3
ɪ,ɾ,3
ɜ˞,ʊ,5
h,ɛ,2
j,ɡ,4
æ,ɹ̩,1
z,ɹ,1
ə,i,5
a,e,5
ɨ,a,7
æ,ʌ,9
a,l,3
ɪ,ɑ,2
m,b,6
t,n̩,1
l,b,3
i,æ,4
ə,ɑ,15
w,m,1
n,ɪ,20
ʃ,u,3
l,l̩,9
ʊ,n,4
ʉ,t,19
l,ɪ,11
ɨ,ɾ̃,13
n,ʌ,14
d,ʊ,3
ʒ,ʌ,4
H,θ,6
l,æ,1
i,ɹ,9
ɔ,ɹ,7
ʃ,ʌ,2
o,ɹ̩,3
ɹ,ʊ,11
s,ʒ,2
a,n,1
ə˞,θ,1
ɨ,ʃ,3
ə,ʔ,3
æ,e,12
ð,ɪ,10
n,ɛ,8
æ,v,1
v,ʌ,3
w,ɑ,2
ɜ˞,m,3
l̩,ɹ̩,2
ʉ,ɡ,4
k,t,1
ə˞,o,2
h,k,1
H,t,1
ə˞,ʊ,16
ʒ,d,17
h,i,1
ŋ,ɛ,2
w,o,5
æ,ɑ,11
i,ɹ̩,4
n,z,3
ə˞,ɡ,5
h,ɔ,3
ɛ,ʊ,2
ə,ð,22
v,ð,3
ɹ,t,2
ɪ,ʃ,3
ɔ,l,5
ɨ,w,8
ʊ,j,5
ɪ,w,8
b,p,24
ə,ɾ̃,4
ɔ,ɾ̃,2
i,ʌ,7
ɪ,a,1
s,t,2
ʉ,ɹ̩,6
ɦ,æ,3
ɔ,ɛ,3
ʊ,w,7
ŋ̍,ʌ,2
ɪ,d,10
p,k,2
ɪ,ɔ,3
ɾ̃,ɹ̩,8
ʔ,n̩,5
ð,ɛ,5
l̩,v,1
ʔ,l,14
t,ʌ,10
m̩,ɪ,14
l̩,ɑ,4
a,u,1
ʉ,ɹ,7
ɑ,w,1
s,l,2
ŋ,k,2
ɨ,v,5
ɪ,n,18
v,θ,1
ʉ,ʊ,12
ɔ,p,7
ɾ,ʌ,1
ɡ,ɹ̩,1
w,l,6
ɛ,n,7
ɜ˞,a,1
ə˞,h,6
t,ʊ,3
ɹ,u,6
b,ɹ̩,1
ʒ,s,4
f,w,1
k,ʌ,2
h,ʌ,7
u,ɪ,6
ɪ,h,3
ɜ˞,i,3
p,t,3
j,ʌ,3
ɪ,ɡ,4
ʉ,h,2
w,ɹ̩,4
ʒ,ɹ,1
ʃ,f,3
m,ʌ,2
p,n,1
ə˞,w,4
w,ɪ,5
ə˞,ʒ,3
ʊ,æ,1
ɔ,u,2
θ,f,3
b,ð,2
ʔ,h,3
ɦ,ʌ,16
ð,l,2
ʔ,u,11
ʉ,ɛ,2
ɾ,ɹ,2
ɜ˞,ɾ,1
ə,e,3
t,ɹ̩,7
z,ɡ,1
n̩,s,1
ɔ,m,7
ɑ,n,2
d,θ,5
ʉ,z,1
ɔ,n,8
ɡ,ɑ,1
l̩,k,1
ə˞,ð,1
ʉ,d,11
ɑ,u,1
ɾ,ʊ,1
v,z,2
j,e,1
ʔ,e,6
d,ʃ,10
m̩,n̩,3
ɜ˞,s,5
l̩,d,1
t,l,1
i,ð,2
o,u,10
ə,m,8
h,ɹ̩,4
ɡ,ɹ,2
ɦ,ʔ,2
z,ʃ,1
n,ɹ̩,1
ɑ,ɹ̩,3
