original,substitution,total_substitutions
ɨ,ɪ,6179
ə,ʌ,3514
ə˞,ɹ̩,3200
ʉ,u,2136
ɜ˞,ɹ̩,2070
ɨ,ʌ,1889
ɦ,h,1398
t,ʔ,1153
ɨ,ɛ,1118
ə˞,ɹ,916
ɪ,i,841
ɨ,i,827
z,s,677
ɑ,ɔ,580
ɪ,ɛ,573
ɔ,o,428
i,ɪ,407
ə,ɪ,369
æ,ɛ,324
ʔ,ɪ,312
ɾ̃,n,303
ɜ˞,ɹ,296
ɪ,ʊ,281
ɛ,æ,269
n̩,ʌ,241
ʔ,ɛ,232
d,t,227
ʔ,ʌ,212
ɪ,ʌ,211
ɾ,d,208
n,ɾ̃,205
ɔ,ɑ,197
ə̥,ɪ,181
ə˞,ʌ,177
l̩,ʌ,172
ð,n,162
ə̥,ʌ,156
i,e,144
n̩,ɪ,129
ɜ˞,ɛ,125
ɨ,u,124
ɛ,ɪ,122
ɛ,ʌ,119
n,ŋ,119
ə,ɛ,118
ʉ,j,117
s,z,115
a,ɑ,114
ɨ,ʊ,109
m̩,ʌ,107
ɪ,ɹ,106
ŋ,n,105
d,ɾ,102
ɔ,ʊ,98
ʔ,o,96
ʌ,ɑ,96
t,d,93
ɨ,n,93
H,ð,91
ə,l̩,89
n̩,n,89
ʊ,ʌ,88
ʉ,ɪ,79
ʔ,ɔ,78
ə˞,ɪ,78
ə,ʊ,77
ɑ,a,77
ʒ,j,76
ʌ,ɛ,74
ɨ,ɹ,73
ʒ,ʃ,72
ə˞,j,70
e,a,69
n,m,66
o,ʌ,66
d,ð,65
ɔ,ʌ,65
ɡ,k,65
ɹ,ɹ̩,65
n,ʔ,64
ʔ,ɑ,62
l̩,l,62
ə,n,61
l̩,ʊ,61
v,f,55
a,æ,55
ʔ,ɹ̩,55
ə,o,54
ɨ,ɹ̩,54
ʔ,t,54
ɾ,t,52
t,ɾ,52
æ,a,51
ð,ʌ,50
ɨ,ð,48
e,ɛ,48
ɜ˞,ɪ,48
ə,ɹ̩,47
ɨ,e,46
ɜ˞,ʌ,46
ɑ,ʌ,45
ɨ,j,44
ɪ,ɹ̩,44
ɜ˞,ɑ,44
ð,θ,43
v,b,43
θ,ð,42
ʃ,s,40
ə˞,ɛ,39
ɨ,t,39
ɨ,d,38
ʊ,ɪ,38
ʊ,u,37
o,ɔ,37
ʔ,æ,36
e,æ,35
ɜ˞,j,35
ʒ,z,35
j,ɪ,34
ʌ,o,34
ə,u,34
ʌ,ɔ,33
ɑ,æ,32
n̩,ɛ,31
l,ʌ,30
i,j,30
ɛ,e,30
t,n,30
s,ʃ,30
ʊ,l,29
ɪ,o,29
ɨ,s,28
ə˞,ɑ,28
m̩,m,28
ɔ,a,28
ə̥,u,27
z,d,27
t,ɪ,27
b,p,24
ə˞,d,24
ɾ̃,ɾ,24
ə,ɹ,23
ŋ̍,ɪ,22
ʔ,a,22
ə,ð,22
ɨ,m,21
k,ɡ,21
ɪ,æ,20
n,ɪ,20
ɾ,ɾ̃,20
ʊ,ɹ̩,20
ʉ,t,19
p,b,19
ɹ,ʌ,19
m,n,19
ə,l,19
h,ɪ,19
b,v,18
ɨ,l,18
θ,s,18
ɨ,h,18
ə̥,t,18
ɪ,n,18
a,ʌ,17
z,ɪ,17
ɦ,ɪ,17
ə˞,ɔ,17
ʌ,ɪ,17
ʒ,d,17
z,l,17
ɦ,ʌ,16
j,u,16
ʔ,n,16
ə˞,ʊ,16
ə˞,ʃ,16
ʌ,a,16
ɜ˞,u,16
ɹ,w,16
ɛ,a,15
ʊ,l̩,15
ə,ɑ,15
z,t,15
ɨ,æ,15
ʊ,ɔ,15
ɪ,j,15
ʔ,ɾ,15
n,ʌ,14
m̩,ɪ,14
ɡ,ɪ,14
d,ɪ,14
ʔ,l,14
a,ɛ,14
ʉ,n,14
l,ʊ,13
t,θ,13
l̩,ɪ,13
o,l,13
ɾ,ð,13
ɾ,ɪ,13
ə,t,13
l,w,13
ʔ,ɹ,13
ə̥,ɹ̩,13
ɨ,n̩,13
ɨ,ɾ̃,13
ʉ,i,13
ə˞,i,13
w,ʊ,12
ə,d,12
ʉ,ʊ,12
f,v,12
ə˞,t,12
e,i,12
f,θ,12
ɨ,ɾ,12
d,s,12
æ,e,12
ɔ,ɹ̩,12
ə,ɔ,11
ʔ,u,11
ɪ,s,11
æ,ɪ,11
o,l̩,11
ɹ,ʊ,11
æ,ɑ,11
l,ɾ,11
ʃ,ʒ,11
ɔ,w,11
l,ð,11
k,ʔ,11
ɪ,l,11
ɨ,z,11
ʔ,d,11
j,i,11
ʉ,d,11
l,ɪ,11
d,n,10
ð,t,10
ɪ,d,10
o,u,10
ð,ɪ,10
u,o,10
d,ʃ,10
n,t,10
ə̥,i,10
ʔ,ʊ,10
t,ʌ,10
ə˞,u,10
z,ʌ,10
ʔ,i,9
ɦ,ɹ̩,9
i,u,9
l,l̩,9
ʔ,s,9
n,n̩,9
ʊ,ɹ,9
ɪ,ð,9
ɨ,ŋ,9
w,ʌ,9
ɜ˞,ɔ,9
ʉ,ʃ,9
o,a,9
æ,ʌ,9
ɪ,u,9
i,ɹ,9
u,ʊ,9
ə,s,9
ə̥,ʊ,9
d,z,9
ɛ,ɹ̩,9
ɜ˞,o,9
z,n,9
ɡ,d,9
ŋ̍,n̩,9
ʌ,ʊ,8
ɪ,w,8
ɾ,n,8
ɔ,n,8
ɨ,w,8
ɪ,ʔ,8
n,ɛ,8
ə,m,8
w,u,8
ə,h,8
i,ɛ,8
ʌ,æ,8
t,p,8
ɾ̃,ʌ,8
d,ʔ,8
o,ɪ,8
j,ɹ̩,8
ɾ̃,ɹ̩,8
p,f,8
ɜ˞,h,8
ɔ,p,7
i,ʌ,7
j,d,7
ɔ,s,7
H,ɪ,7
t,k,7
ɛ,n,7
ʉ,ɹ,7
ɪ,m,7
ʔ,p,7
H,d,7
ʒ,t,7
ʌ,ɹ̩,7
d,ʌ,7
n,d,7
j,ɹ,7
ɾ̃,ɛ,7
p,ʔ,7
ɔ,ɹ,7
ɨ,a,7
h,ʌ,7
s,ɪ,7
t,ɹ̩,7
ɔ,m,7
ʊ,w,7
ə˞,h,6
H,θ,6
m,b,6
ʉ,ɹ̩,6
u,ɪ,6
v,ʊ,6
w,l,6
ɹ,u,6
ʔ,e,6
ɦ,l,6
ŋ̍,ŋ,6
ʊ,ɛ,6
n,ð,6
ɹ,ʒ,6
ɹ,ʃ,6
ɹ,ɪ,6
o,ɑ,6
ʒ,u,6
o,ɛ,6
ɾ,ʔ,6
ʉ,l,6
t,ð,6
f,p,6
H,ʌ,6
l,ɹ,5
ə̥,ð,5
ɹ,l,5
t,s,5
w,ɪ,5
ð,ɛ,5
d,ɛ,5
ɜ˞,ʃ,5
ʒ,ɹ̩,5
a,e,5
ə,i,5
ɨ,v,5
l̩,o,5
ə˞,ɡ,5
ɜ˞,ʊ,5
ð,d,5
ə,a,5
s,θ,5
ʔ,n̩,5
ɜ˞,l,5
z,m,5
θ,t,5
ɜ˞,s,5
ɔ,l,5
a,o,5
ɨ,ʒ,5
ɨ,ʔ,5
ɑ,ɛ,5
m̩,ɹ̩,5
w,o,5
ɦ,j,5
d,θ,5
w,b,5
ə˞,b,5
ʊ,j,5
ɜ˞,d,4
ð,s,4
t,u,4
v,s,4
ʉ,ɡ,4
j,ɡ,4
æ,h,4
l̩,ɑ,4
ɾ,l,4
ə̥,j,4
ʒ,ʌ,4
l̩,w,4
ə,ɾ̃,4
z,ʒ,4
z,u,4
i,æ,4
n,ɾ,4
ʒ,ɪ,4
ʃ,j,4
ʊ,n,4
ɨ,θ,4
ɛ,h,4
ʉ,m,4
ʒ,s,4
i,ɹ̩,4
ə̥,ɹ,4
ə˞,m,4
ɜ˞,ɡ,4
t,ʒ,4
ɛ,ɑ,4
t,ɛ,4
ə˞,n,4
ɦ,ɛ,4
j,ɛ,4
ɡ,ŋ,4
m,v,4
ə˞,w,4
ɹ,b,4
w,ɹ̩,4
ɔ,l̩,4
ɦ,u,4
l̩,ɹ,4
h,ɹ̩,4
w,l̩,4
ɹ,v,4
m,ŋ,4
ŋ,ɪ,4
b,m,4
m̩,ɹ,4
ʔ,w,4
ɪ,ɡ,4
ɔ,e,4
ə˞,s,3
v,ð,3
ɔ,ɛ,3
ɦ,æ,3
ɦ,ɹ,3
ɪ,ʃ,3
ɹ,i,3
ɔ,ʃ,3
ə˞,v,3
ɹ,ɾ,3
ɨ,l̩,3
h,ɔ,3
ɑ,ɹ̩,3
z,ɹ̩,3
m̩,n̩,3
n̩,ɾ̃,3
ʉ,o,3
l,n,3
ʉ,ʌ,3
ɪ,h,3
ɜ˞,i,3
ɾ̃,t,3
d,u,3
p,t,3
z,ɛ,3
ə˞,ɾ,3
j,ʌ,3
ɨ,k,3
æ,d,3
ɡ,ʌ,3
ʃ,f,3
ə˞,ʒ,3
θ,f,3
ʔ,h,3
ŋ,m,3
ə,e,3
t,ʊ,3
ŋ,ɾ̃,3
t,ɹ,3
ɪ,ɔ,3
e,l,3
o,ɹ̩,3
n,z,3
ɜ˞,n,3
v,ɪ,3
ɪ,ɾ,3
ʃ,z,3
ɛ,o,3
ʊ,b,3
b,w,3
ɦ,d,3
ɾ̃,d,3
b,ɡ,3
ɑ,ɪ,3
ʃ,ɪ,3
ɛ,ð,3
l,e,3
o,n,3
l,ɛ,3
a,l,3
l,o,3
u,ɹ̩,3
ɪ,ŋ,3
ɾ̃,ɪ,3
ɹ,ɛ,3
æ,ɹ,3
d,b,3
s,n,3
ɨ,o,3
ə˞,f,3
e,ʌ,3
ɪ,ɾ̃,3
ð,m,3
ɦ,ɾ,3
i,a,3
t,h,3
ʃ,u,3
ɨ,ʃ,3
ə,ʔ,3
d,ʊ,3
ɜ˞,m,3
ə,j,3
l,b,3
v,ʌ,3
p,v,2
d,j,2
ʊ,t,2
θ,l,2
l,ɔ,2
ə̥,ɾ,2
ə,n̩,2
e,n,2
a,ɔ,2
ɾ̃,ʔ,2
h,æ,2
ʊ,ŋ,2
ɾ̃,ɹ,2
ʌ,l̩,2
i,ŋ,2
ə̥,θ,2
m,w,2
ə̥,n,2
ɑ,ʊ,2
n,l,2
l,ɹ̩,2
ɑ,ʔ,2
ʌ,n,2
s,i,2
n,w,2
æ,ʊ,2
ɑ,l,2
ʉ,s,2
ə,w,2
w,a,2
ʊ,m,2
ə,θ,2
ɔ,h,2
j,h,2
h,j,2
ɹ,o,2
l,t,2
ɡ,ʔ,2
e,ɹ,2
v,ɹ,2
i,l,2
æ,l,2
i,ʊ,2
b,f,2
d,ɹ,2
w,f,2
s,ʌ,2
ŋ̍,ɛ,2
a,ɹ̩,2
l̩,u,2
ð,z,2
ɹ,s,2
ɜ˞,t,2
æ,k,2
i,n,2
ɜ˞,ð,2
o,ɹ,2
t,æ,2
ə,æ,2
ɡ,ʊ,2
ʉ,w,2
ə,ɾ,2
ʔ,ŋ,2
ə̥,e,2
ŋ,ɛ,2
k,ŋ,2
ʌ,l,2
ɪ,t,2
ɜ˞,b,2
m,n̩,2
ʃ,ɹ̩,2
m̩,u,2
p,ɪ,2
ɛ,ʊ,2
v,z,2
ɔ,u,2
ə,b,2
ŋ̍,ʌ,2
b,ð,2
k,ɪ,2
k,ʌ,2
ð,l,2
l̩,ɹ̩,2
h,ɛ,2
ə̥,p,2
w,ɑ,2
ɔ,ɾ̃,2
ʉ,ɛ,2
ɾ,ɹ,2
o,w,2
ɹ,t,2
s,t,2
d,v,2
ɑ,n,2
b,s,2
b,d,2
ɦ,ʔ,2
ŋ,k,2
m,ʌ,2
w,ɛ,2
s,ʒ,2
p,k,2
ɪ,ɑ,2
ʃ,ʌ,2
s,l,2
ŋ,ɡ,2
ɡ,ɹ,2
ʉ,h,2
ə˞,o,2
i,ð,2
ʊ,h,1
ɾ,e,1
ɦ,n,1
æ,v,1
ʔ,ɡ,1
ɦ,s,1
ð,w,1
m,ð,1
s,d,1
ɜ˞,ʒ,1
ʉ,v,1
ɾ,ɹ̩,1
æ,t,1
w,i,1
s,ɹ̩,1
k,t,1
ʃ,t,1
h,f,1
ɾ̃,l̩,1
ɪ,a,1
u,ɔ,1
d,l̩,1
ʃ,ɛ,1
n̩,ʔ,1
ɨ,ɡ,1
ɛ,ʔ,1
l,æ,1
ə,ʃ,1
a,ð,1
v,ɡ,1
l̩,v,1
l,ɾ̃,1
n,ʊ,1
m,ɹ,1
ʃ,k,1
d,a,1
u,ɛ,1
w,v,1
ə̥,ʔ,1
ʉ,b,1
ʌ,ʃ,1
z,ʊ,1
ə,k,1
ə̥,ɛ,1
ə˞,θ,1
w,ɔ,1
ŋ,n̩,1
a,k,1
s,ð,1
e,u,1
ʃ,ɹ,1
ɛ,ɡ,1
a,n,1
k,m,1
ŋ̍,ɾ,1
m,p,1
h,k,1
θ,u,1
ɦ,θ,1
ɔ,æ,1
ɹ,ɔ,1
w,e,1
z,f,1
ɑ,t,1
k,n̩,1
ɑ,h,1
n̩,ŋ,1
ɔ,v,1
z,ɾ̃,1
ə̥,w,1
ɛ,t,1
w,t,1
ɹ,ɾ̃,1
p,n̩,1
s,ɛ,1
j,a,1
ʔ,ɾ̃,1
b,ɪ,1
v,p,1
ɔ,t,1
m̩,l,1
ɹ,m,1
ɛ,ɾ̃,1
l,h,1
ʊ,ɾ,1
ʌ,u,1
h,u,1
ə,v,1
ɦ,ʊ,1
b,n,1
v,l̩,1
l,u,1
ʉ,ɾ,1
m̩,t,1
f,ʊ,1
ɾ̃,m,1
ð,b,1
ɹ,f,1
p,ɾ̃,1
ɦ,ŋ,1
ɡ,t,1
ʒ,a,1
ʊ,p,1
ʔ,ð,1
H,æ,1
ʌ,h,1
æ,n,1
v,k,1
u,w,1
t,w,1
ɹ,h,1
ð,ɾ,1
ə̥,d,1
d,ɹ̩,1
ɦ,t,1
h,i,1
ə,ʒ,1
H,t,1
ð,n̩,1
n,i,1
b,ʊ,1
ə˞,a,1
ɛ,s,1
ʊ,e,1
u,i,1
θ,ɔ,1
w,m,1
ʌ,ɹ,1
k,i,1
o,ɡ,1
z,ɡ,1
ɨ,f,1
n̩,s,1
ɛ,m,1
ɜ˞,θ,1
ɪ,k,1
n,h,1
ɦ,ɡ,1
k,ɹ,1
ð,i,1
ʃ,d,1
m̩,ɛ,1
l̩,n,1
z,p,1
e,ʊ,1
ɜ˞,æ,1
f,ɹ̩,1
ɜ˞,ɾ,1
j,n,1
h,ʔ,1
ə˞,l,1
ɛ,i,1
d,l,1
ð,ʔ,1
ə˞,k,1
æ,ʔ,1
m,f,1
ʊ,æ,1
n,v,1
m,l,1
k,d,1
ʊ,ɑ,1
ɛ,u,1
ɾ,v,1
p,θ,1
æ,ɾ,1
n,ɹ̩,1
z,ʃ,1
æ,m,1
ɪ,l̩,1
ʉ,ɑ,1
a,s,1
ɛ,w,1
t,l,1
l̩,d,1
j,ʊ,1
ɑ,ɹ,1
d,h,1
ʔ,k,1
f,m,1
n̩,ʃ,1
ɦ,k,1
j,e,1
n,s,1
n̩,t,1
ɾ,ʊ,1
ɑ,u,1
k,n,1
m̩,k,1
b,l̩,1
ə˞,ð,1
l̩,k,1
ɡ,ɑ,1
ʉ,z,1
t,f,1
o,f,1
m,ʊ,1
ŋ,f,1
j,ɾ,1
n̩,k,1
k,e,1
θ,d,1
v,ɹ̩,1
p,s,1
n̩,l̩,1
l,θ,1
p,n,1
æ,ɹ̩,1
v,θ,1
ɾ,ʌ,1
