reference,predicted,count
l̩,l̩,697
l,l,7872
a,a,3646
k,k,8166
h,h,1186
H,H,0
b,b,3287
t,t,8208
θ,θ,898
ɨ,ɨ,0
j,j,2197
ɔ,ɔ,3871
ʒ,ʒ,1615
ŋ̍,ŋ̍,0
s,s,9955
n̩,n̩,528
ɜ˞,ɜ˞,0
n,n,9042
ŋ,ŋ,1596
ʌ,ʌ,2894
ə˞,ə˞,0
ɛ,ɛ,4601
o,o,2623
e,e,2851
u,u,674
ɡ,ɡ,3147
f,f,3093
d,d,7356
w,w,4260
ɪ,ɪ,11269
ə,ə,0
p,p,3884
m̩,m̩,64
m,m,5331
ʃ,ʃ,3997
æ,æ,4990
ʔ,ʔ,686
i,i,8771
ð,ð,3382
ɾ,ɾ,3358
ʊ,ʊ,3969
ɦ,ɦ,0
ə̥,ə̥,0
ɑ,ɑ,3786
ɹ,ɹ,8731
z,z,4130
v,v,2503
ʉ,ʉ,0
ɾ̃,ɾ̃,805
ɨ,ʊ,207
ɨ,ɪ,4706
ɨ,ʌ,2635
ʉ,u,2082
ʒ,z,21
l̩,ʌ,433
ɾ̃,n,446
ɪ,ɛ,944
ɔ,o,284
ʌ,ɛ,65
t,ʔ,1030
ə˞,ɹ̩,3204
ə,ʊ,134
ð,z,16
ə,ʌ,3739
ə,æ,13
m,ŋ,4
n,ŋ,103
i,e,323
ɔ,ɑ,556
ɑ,ɔ,245
ʔ,ʌ,221
p,b,41
k,ɡ,22
ə,d,9
ʌ,ɑ,114
l̩,ʊ,52
ɜ˞,ɹ̩,2085
ə̥,ɪ,122
ɑ,æ,18
d,b,10
a,ɑ,397
n̩,ʌ,201
z,n,11
a,æ,38
ɦ,h,1404
æ,ʃ,1
o,ʌ,170
ʊ,v,1
z,s,781
ɜ˞,ʌ,147
ʊ,ʌ,155
ɜ˞,ɹ,285
ɪ,ʌ,362
n̩,n,138
ə,l̩,65
i,ɪ,412
ɨ,ɛ,1775
ɪ,ʊ,96
ə,ɹ̩,38
ɨ,i,780
ə˞,ɹ,924
ə̥,t,29
ʉ,ɪ,96
ɾ,d,190
n,ʔ,32
ɪ,i,404
ɑ,a,15
ʔ,ɪ,238
v,f,108
d,t,237
j,ɹ̩,33
ɾ,j,1
ɹ,ɹ̩,82
ɜ˞,ɛ,119
ə̥,j,1
m̩,ʌ,66
m,n,41
t,f,2
ŋ̍,n̩,12
ʊ,ɪ,27
n̩,ɪ,42
ʔ,ɹ̩,44
ə,j,3
t,ɾ,84
ʊ,l,61
ɨ,u,85
z,m,4
ɪ,æ,38
ð,n,163
ɛ,æ,349
ʒ,j,54
ɛ,ʌ,148
p,f,33
ɡ,k,83
o,ɔ,39
e,a,80
ɑ,ʌ,46
ʔ,e,21
æ,ɛ,265
ɔ,ʌ,87
ʔ,æ,71
ɨ,t,54
b,p,29
ə̥,ʌ,150
d,l,2
ʔ,ɛ,266
o,ɛ,13
ɔ,s,15
ɜ˞,h,9
d,ɾ,143
ə,ɪ,126
ə˞,t,16
ɨ,e,72
ʔ,ɑ,123
b,f,9
i,u,9
ɑ,o,1
n,ɾ̃,94
ʒ,l,1
ɪ,ɹ,72
ɜ˞,ɑ,32
h,ʌ,7
æ,ɑ,26
ŋ,n,103
ɛ,ɪ,45
n̩,ɛ,43
t,n,26
ð,θ,39
ʔ,t,76
H,ð,100
ə˞,ʌ,223
ə,ɛ,115
ʉ,i,22
ʉ,j,91
ɜ˞,j,10
ɨ,ɹ̩,71
ə̥,ɹ̩,12
ɜ˞,ɔ,5
ɪ,ɹ̩,58
f,v,11
l,ɾ,15
æ,a,38
ɛ,n,7
ɨ,m,10
l,l̩,8
ɨ,ɾ,8
ɨ,d,35
ɪ,ʔ,8
n,ɛ,7
ə̥,ɛ,6
s,ʃ,25
a,ʌ,24
ɨ,æ,44
ʔ,a,11
u,ʊ,15
ɨ,ɪ̃,8
d,ɪ,11
ʔ,ɾ,20
ŋ̍,ɪ,16
ʊ,ŋ,3
ɨ,n,91
i,ɹ,13
ʌ,ɹ,2
t,d,100
ʃ,ʒ,19
ɨ,s,22
ɔ,ɹ̩,12
ʔ,n,12
ɹ,u,7
ʔ,ʊ,4
ʉ,ʃ,13
z,u,1
ɪ,ɑ,12
ʔ,d,14
a,e,6
v,ɪ,2
w,f,5
ʌ,ɔ,27
j,i,13
s,z,93
ʔ,l,34
ɛ,e,26
l̩,o,9
ɹ,ɛ,10
ɜ˞,b,2
ə˞,ʒ,23
ʊ,ɹ̩,22
j,d,28
ɹ,ɡ,12
ɦ,ɾ,6
e,ɛ,67
p,d,1
ɜ˞,l,4
ə˞,ʃ,16
ə,o,34
ʉ,l,4
t,u,1
ɾ̃,ɪ,3
f,p,4
ə˞,l,2
ə˞,ɔ,13
ʊ,ɹ,9
ɛ,a,6
ʔ,i,6
θ,s,19
ɪ,l,12
ð,ɾ,4
k,ʔ,10
ʉ,ʒ,2
ʉ,ʊ,38
n,ɾ,6
ə,t,16
ɑ,ɪ,2
ʉ,h,1
z,l,17
ɦ,ɪ,8
m,b,5
z,t,22
ə˞,ʊ,20
ʒ,t,6
ɜ˞,ʃ,7
ɾ,t,32
a,ɛ,17
ɾ,v,1
l̩,l,67
ə˞,ɛ,50
ɹ,ʌ,22
ʔ,p,12
d,ɹ,3
ʒ,ɹ̩,20
ɪ,ɾ,9
ð,l,10
w,e,2
ʊ,u,25
θ,ð,40
j,ʒ,6
ɦ,n̩,1
ʔ,o,68
ɔ,ʊ,73
ɪ,u,8
ɪ,ɛ̃,1
w,ɔ,4
ɛ,ɡ,1
l,æ,1
w,ʌ,11
ʃ,s,53
i,ɛ,12
u,o,8
θ,t,16
ə˞,ð,1
d,s,16
b,v,32
ʉ,n,14
ɨ,ʒ,5
æ,h,4
o,a,7
ɨ,j,38
l,d,4
ɛ,l,1
ɜ˞,ɪ,18
ɨ,n̩,27
æ,ʌ,8
ð,s,13
ɨ,ɹ,52
ʒ,s,8
ə,ɔ,10
z,ʒ,12
d,z,3
ʔ,ʃ,1
t,ð,6
ɾ,ɾ̃,29
d,n,9
ŋ,ʌ,1
ʒ,ɪ,5
m̩,m,21
l,ʊ,12
ɜ˞,u,5
ʌ,a,9
d,v,1
t,θ,13
m,ɑ,1
o,ʃ,1
ʊ,ɑ,4
l,e,6
ð,ʌ,52
ʔ,ɔ,68
d,ð,31
d,ʔ,6
p,ʔ,8
ə,n,46
ə˞,ɑ,21
s,ɪ,6
ə˞,s,12
u,ɹ̩,4
e,æ,30
ɨ,ð,30
n,n̩,15
t,m,1
ɾ,ɪ,8
w,ɪ,4
t,ʒ,3
ʔ,ɾ̃,1
ə˞,d,19
ə,n̩,9
ə̥,u,17
ɾ,ð,6
ɪ,ð,8
w,ʊ,17
ɾ̃,ɛ,9
l̩,ɹ,8
i,m,1
æ,ɹ,1
ə̥,n,2
k,t,7
ʌ,t,1
o,ɑ,13
ɦ,ɹ,3
æ,æ̃,2
w,o,4
ʊ,l̩,7
ə,h,7
ɦ,e,2
ɪ,n,23
e,ʌ,6
ə˞,ɾ,6
h,ɹ̩,2
ɨ,h,19
u,ʌ,9
w,b,5
l,ʌ,31
ɜ˞,ʒ,10
l,ɹ̩,3
ɪ,w,6
l,ɛ,7
i,ð,6
t,k,12
ɔ,l,4
ɔ,æ,1
n,m,47
ɨ,l,15
t,s,5
ʃ,ɹ̩,6
æ,ɾ,1
ə̥,i,12
ɡ,ɪ,9
ə˞,j,23
v,b,32
ɪ,l̩,1
l,t,1
ð,m,2
ɡ,s,3
ð,ɑ,1
ʊ,ɔ,16
ʊ,ɛ,5
ɦ,k,2
ɔ,w,9
ə˞,w,5
n̩,l̩,3
ʒ,ʃ,46
ə̥,p,2
b,l̩,1
ɨ,z,13
ɾ,z,3
b,ɹ,4
b,ð,1
ɜ˞,v,1
ɨ,ŋ,12
ɡ,t,2
ɑ,ɛ,6
t,z,2
l,i,2
ŋ̍,ŋ,6
θ,f,13
n,d,9
h,ɪ,10
b,d,5
ɾ̃,ɾ,15
ɛ,ɑ,9
k,s,1
t,ɛ,6
ə˞,u,7
t,l,3
ə˞,m̩,2
ŋ̍,i,5
ə,l,17
v,l,3
u,s,1
ð,ɪ,5
ɪ,d,9
ʊ,ɡ,1
ə,ð,22
j,ɑ,2
a,l,8
ɜ˞,æ,1
ə,u,31
ð,b,3
e,ɔ,2
l,ɑ,5
i,ʌ,6
a,ɹ,4
ɪ,s,12
ɡ,d,4
l,ɹ,3
w,l̩,1
ɾ̃,ʌ,11
ɨ,v,2
ɪ,j,12
ɾ̃,u,1
ʉ,d,12
ɔ,l̩,2
ə,ɹ,18
ʌ,o,21
æ,ɪ,8
ʔ,ɹ,16
ɜ˞,i,3
ɔ,n,9
ɦ,l,4
b,w,2
f,b,1
θ,d,2
ə,w,6
j,ɪ,12
z,ɹ,3
k,θ,1
z,ɪ,10
ð,d,20
s,θ,1
ɹ,ɪ,6
i,ŋ,2
ʃ,f,4
u,ɪ,4
ʉ,ʌ,15
ð,t,24
ə,ɑ,21
a,n,2
ɪ,ɾ̃,3
d,ʒ,1
p,s,3
ə˞,f,5
ɛ,ɹ̩,8
ə̥,ʃ,2
ɦ,ɹ̩,10
ə,i,3
ɨ,a,7
ɪ,m,3
t,n̩,2
n,e,2
i,æ,8
i,s,1
ɛ,o,1
w,m,1
n,t,4
m,ɪ,2
ɜ˞,n,2
ʉ,t,31
ə˞,æ,1
d,ʊ,2
ʒ,ʌ,3
H,θ,5
ʉ,s,5
ʔ,u,8
p,t,7
o,ɹ̩,2
o,u,12
ɹ,ʊ,7
ʌ,ʊ,6
ɦ,s,1
ɛ,h,3
e,i,8
ʊ,w,5
æ,e,11
t,ɪ,5
ə˞,ɪ,41
ð,ɛ,9
ɛ,ɛ̃,4
ə,s,14
v,ʌ,6
ɜ˞,m,2
l̩,ɑ,2
a,ð,2
ʊ,æ,2
t,ɹ̩,3
ʉ,ɡ,6
ʌ,ɪ,8
ɹ,l,3
n,l,2
ɪ,ɪ̃,3
H,t,2
i,z,1
ʒ,ɛ,2
h,i,1
ŋ,ɛ,2
m,v,1
ɔ,õ,1
ɪ,ʊ̃,1
n,z,3
m,l,5
ə˞,ɡ,3
ʊ,n,7
l,w,10
s,t,2
ʊ,s,5
o,õ,6
ʊ,ʊ̃,6
ŋ,ɡ,2
k,f,1
ə,ɾ̃,4
ɪ,ŋ,3
ʉ,k,1
ɪ,a,1
ʉ,ɹ̩,6
ɦ,æ,2
ɨ,ʃ,7
ɪ,t,7
ɨ,θ,5
ɔ,ɹ,7
ŋ̍,ʌ,2
d,ɡ,3
p,k,2
ʔ,w,1
ɾ̃,ɹ̩,7
a,ɔ,3
l̩,w,2
t,ʌ,9
i,j,37
ʒ,ɾ,1
ɔ,a,7
ʔ,s,8
z,ɹ̩,5
a,u,1
ʉ,ɹ,5
ŋ,ɑ,1
ɑ,w,1
ɪ,h,5
ɹ,ʃ,6
ɨ,ɾ̃,7
w,v,1
ə,ʔ,2
n̩,m̩,4
ɜ˞,ʊ,6
j,u,4
ɨ,b,1
v,ɡ,2
b,m,3
i,o,2
ɹ,ð,1
ʉ,o,3
z,ʌ,9
ə,f,3
p,ɹ,1
ɹ,w,13
w,ɡ,1
ʔ,n̩,4
ŋ,ɪ,2
ʃ,t,4
ɾ̃,d,2
ɜ˞,ɾ,2
d,ʌ,3
o,l̩,2
k,ɪ,1
f,w,1
ɑ,h,2
l,a,1
θ,z,1
ɔ,ɛ,2
j,ʌ,5
l,ɔ,1
w,ɹ̩,3
p,n,1
ʉ,e,3
ɨ,f,3
ʔ,h,4
ŋ,k,2
ɦ,ʌ,13
ɪ,ɡ,3
ɦ,v,1
ə˞,h,5
ə̥,ð,1
ɔ,u,5
ə,e,1
m̩,ɹ̩,2
ə,b,6
l,b,1
ɦ,ɑ,3
n,ɪ,9
z,ɡ,1
ʊ,d,3
d,θ,4
s,ʒ,1
n,ʌ,4
s,ʌ,2
ʉ,z,1
ə˞,n,5
ɑ,u,1
ɜ˞,s,5
ə̥,n̩,1
ɾ̃,ɹ,5
d,ʃ,8
ɪ,æ̃,1
m̩,ɪ,4
ɡ,ɹ,1
