original,substitution,total_substitutions
ɨ,ɪ,4706
ə,ʌ,3739
ə˞,ɹ̩,3204
ɨ,ʌ,2635
ɜ˞,ɹ̩,2085
ʉ,u,2082
ɨ,ɛ,1775
ɦ,h,1404
t,ʔ,1030
ɪ,ɛ,944
ə˞,ɹ,924
z,s,781
ɨ,i,780
ɔ,ɑ,556
ɾ̃,n,446
l̩,ʌ,433
i,ɪ,412
ɪ,i,404
a,ɑ,397
ɪ,ʌ,362
ɛ,æ,349
i,e,323
ɜ˞,ɹ,285
ɔ,o,284
ʔ,ɛ,266
æ,ɛ,265
ɑ,ɔ,245
ʔ,ɪ,238
d,t,237
ə˞,ʌ,223
ʔ,ʌ,221
ɨ,ʊ,207
n̩,ʌ,201
ɾ,d,190
o,ʌ,170
ð,n,163
ʊ,ʌ,155
ə̥,ʌ,150
ɛ,ʌ,148
ɜ˞,ʌ,147
d,ɾ,143
n̩,n,138
ə,ʊ,134
ə,ɪ,126
ʔ,ɑ,123
ə̥,ɪ,122
ɜ˞,ɛ,119
ə,ɛ,115
ʌ,ɑ,114
v,f,108
n,ŋ,103
ŋ,n,103
t,d,100
H,ð,100
ʉ,ɪ,96
ɪ,ʊ,96
n,ɾ̃,94
s,z,93
ʉ,j,91
ɨ,n,91
ɔ,ʌ,87
ɨ,u,85
t,ɾ,84
ɡ,k,83
ɹ,ɹ̩,82
e,a,80
ʔ,t,76
ɔ,ʊ,73
ɨ,e,72
ɪ,ɹ,72
ʔ,æ,71
ɨ,ɹ̩,71
ʔ,ɔ,68
ʔ,o,68
e,ɛ,67
l̩,l,67
m̩,ʌ,66
ə,l̩,65
ʌ,ɛ,65
ʊ,l,61
ɪ,ɹ̩,58
ʒ,j,54
ɨ,t,54
ʃ,s,53
l̩,ʊ,52
ð,ʌ,52
ɨ,ɹ,52
ə˞,ɛ,50
n,m,47
ʒ,ʃ,46
ə,n,46
ɑ,ʌ,46
ɛ,ɪ,45
ʔ,ɹ̩,44
ɨ,æ,44
n̩,ɛ,43
n̩,ɪ,42
m,n,41
ə˞,ɪ,41
p,b,41
θ,ð,40
o,ɔ,39
ð,θ,39
æ,a,38
ʉ,ʊ,38
ɨ,j,38
ɪ,æ,38
ə,ɹ̩,38
a,æ,38
i,j,37
ɨ,d,35
ʔ,l,34
ə,o,34
p,f,33
j,ɹ̩,33
v,b,32
n,ʔ,32
ɾ,t,32
ɜ˞,ɑ,32
b,v,32
l,ʌ,31
d,ð,31
ə,u,31
ʉ,t,31
ɨ,ð,30
e,æ,30
b,p,29
ə̥,t,29
ɾ,ɾ̃,29
j,d,28
ʊ,ɪ,27
ʌ,ɔ,27
ɨ,n̩,27
t,n,26
ɛ,e,26
æ,ɑ,26
ʊ,u,25
s,ʃ,25
ð,t,24
a,ʌ,24
ə˞,ʒ,23
ə˞,j,23
ɪ,n,23
z,t,22
ɹ,ʌ,22
ʉ,i,22
ʊ,ɹ̩,22
k,ɡ,22
ə,ð,22
ɨ,s,22
ə,ɑ,21
ʌ,o,21
m̩,m,21
ə˞,ɑ,21
ʔ,e,21
ʒ,z,21
ʒ,ɹ̩,20
ʔ,ɾ,20
ə˞,ʊ,20
ð,d,20
ə˞,d,19
ɨ,h,19
ʃ,ʒ,19
θ,s,19
ɜ˞,ɪ,18
ə,ɹ,18
ɑ,æ,18
ə̥,u,17
a,ɛ,17
z,l,17
ə,l,17
w,ʊ,17
ŋ̍,ɪ,16
d,s,16
ʔ,ɹ,16
ʊ,ɔ,16
ð,z,16
ə,t,16
θ,t,16
ə˞,t,16
ə˞,ʃ,16
n,n̩,15
ɾ̃,ɾ,15
ʉ,ʌ,15
ɑ,a,15
l,ɾ,15
ɨ,l,15
u,ʊ,15
ɔ,s,15
ə,s,14
ʉ,n,14
ʔ,d,14
o,ɑ,13
ɦ,ʌ,13
t,θ,13
ə,æ,13
θ,f,13
o,ɛ,13
ɨ,z,13
ð,s,13
ʉ,ʃ,13
ɹ,w,13
ə˞,ɔ,13
j,i,13
i,ɹ,13
ə̥,ɹ̩,12
l,ʊ,12
i,ɛ,12
o,u,12
ɨ,ŋ,12
ʔ,n,12
ə̥,i,12
t,k,12
ʔ,p,12
z,ʒ,12
ŋ̍,n̩,12
ɪ,ɑ,12
ɪ,l,12
ɪ,j,12
ɹ,ɡ,12
j,ɪ,12
ɪ,s,12
ə˞,s,12
ɔ,ɹ̩,12
ʉ,d,12
w,ʌ,11
ʔ,a,11
ɾ̃,ʌ,11
z,n,11
æ,e,11
d,ɪ,11
f,v,11
d,b,10
ə,ɔ,10
