reference,predicted,count
d,d,14460
ɨ,ɨ,0
n,n,17446
ð,ð,6504
l̩,l̩,1668
ɾ,ɾ,6534
ɪ,ɪ,24012
i,i,17876
ɾ̃,ɾ̃,1838
ʊ,ʊ,8190
ɦ,ɦ,0
æ,æ,9978
b,b,6566
H,H,0
ʃ,ʃ,8052
w,w,8484
j,j,4368
ə˞,ə˞,0
m,m,10630
t,t,16012
ɡ,ɡ,6328
f,f,6104
s,s,19786
ɑ,ɑ,7000
h,h,2370
θ,θ,1842
o,o,5348
ɔ,ɔ,8148
ɛ,ɛ,8802
k,k,16300
ə,ə,0
e,e,5778
n̩,n̩,1080
z,z,8476
ʒ,ʒ,3310
l,l,15380
ŋ,ŋ,3202
m̩,m̩,76
ɹ,ɹ,17242
ə̥,ə̥,0
a,a,7786
ʉ,ʉ,0
ɜ˞,ɜ˞,0
ʔ,ʔ,1646
u,u,1388
p,p,7882
ŋ̍,ŋ̍,0
ʌ,ʌ,5774
v,v,4948
ɨ,ʊ,262
ɨ,ɪ,13430
ʉ,u,4234
ɪ,ɛ,730
ɛ,æ,594
ɔ,o,698
ʌ,ɛ,98
t,ʔ,2176
ə˞,ɹ̩,6554
ə,ʊ,316
ə,ʌ,6908
ɾ̃,n,614
ə,æ,16
æ,ɛ,496
n,ŋ,228
i,e,550
ɑ,ɔ,950
l,ʌ,106
ɪ,i,1668
ʔ,ʌ,420
ɹ,ʃ,22
ɨ,i,1628
ə,n,110
ɨ,ʌ,3592
ɑ,a,94
ʌ,ɑ,182
l̩,ʊ,96
ɜ˞,ɹ̩,4300
ə̥,ɪ,350
ɑ,æ,52
d,b,14
a,ɑ,370
n̩,ʌ,372
z,n,18
a,æ,76
ɦ,h,2820
ɔ,ɑ,592
ɨ,e,120
o,õ,54
ʊ,ʊ̃,54
z,s,1324
ʉ,ɪ,214
ɜ˞,ɹ,568
d,ɾ,230
ɪ,ʌ,438
n̩,n,188
ə,l̩,148
n̩,ɪ,238
i,ɪ,724
ə,ɹ̩,130
ə˞,ɹ,1756
j,ɪ,36
ɾ,d,492
n,ʔ,92
ʊ,ʌ,210
ɹ,ɹ̩,170
ʔ,ɪ,608
d,t,490
ɨ,ɛ,1446
ɜ˞,ɛ,168
ə̥,j,4
ɾ,ɪ,54
m̩,ʌ,168
m,n,70
d,s,44
ɪ,ʊ,148
ŋ̍,n̩,22
ʊ,ɪ,72
n̩,ɛ,28
ʔ,ɹ̩,104
æ,ɛ̃,2
ə,j,6
t,ɾ,122
ɨ,u,196
ɛ,ɛ̃,42
ɪ,æ,46
ð,n,360
ə˞,j,80
ɛ,ʌ,312
f,θ,62
o,ɔ,88
e,a,150
ə,ɪ,824
ɔ,ʌ,86
ʔ,æ,148
ɨ,t,82
b,p,80
ə̥,ʌ,292
l,ɹ̩,6
ʔ,ɛ,302
o,ɛ,18
ʊ,l,72
ɔ,s,14
ɜ˞,h,20
ɨ,h,38
l̩,ʌ,670
ə˞,d,36
ɜ˞,j,38
ð,θ,284
ʔ,ɑ,250
b,f,8
ɑ,o,2
n,ɾ̃,344
ʒ,z,30
ɪ,ɹ,104
ɜ˞,ɑ,68
h,ɹ̩,4
ɜ˞,ʌ,120
z,ɪ,42
æ,a,78
ɛ,ɪ,430
t,n,64
ʒ,j,44
ʔ,h,20
H,ɪ,26
p,b,42
ʉ,i,50
ʉ,j,194
ɨ,ɹ̩,148
ə̥,ɹ̩,30
ɜ˞,f,2
ə,ɛ,146
ɪ,ɹ̩,76
f,v,20
l,s,6
ɡ,k,124
ə˞,ʊ,46
ɛ,n,18
ɨ,m,16
ɨ,d,44
k,ʔ,10
ə˞,ʌ,306
æ,æ̃,36
n,ʌ,36
w,u,24
a,ʌ,36
ɨ,ɾ,8
ʔ,a,36
u,ʊ,16
ɨ,ɪ̃,28
d,ɪ,36
ʔ,ɾ,32
ŋ̍,ɪ,36
ɨ,n,158
ʊ,u,72
i,ɹ,14
ʌ,ɹ,2
v,f,254
ɨ,s,40
ɪ,ẽ,2
ɔ,ɹ̩,32
ə,s,20
n,m,78
ɔ,a,30
o,ʌ,158
ɹ,u,16
ʊ,ɹ,14
e,i,20
k,ɡ,40
ɑ,ʌ,112
ʉ,ʃ,18
ʔ,d,16
ɛ,ɾ̃,2
v,ɪ,8
w,f,8
ɪ,ʔ,10
ɜ˞,ɪ,90
s,z,252
ʌ,ɔ,68
ʒ,t,16
ɛ,e,96
ɹ,ɛ,4
k,p,6
ɔ,j,4
ʊ,ɹ̩,38
j,d,34
ə˞,ʒ,64
ɹ,ɡ,22
ɦ,ɾ,12
ŋ,n,184
t,d,154
e,ɛ,70
p,d,2
ɜ˞,l,6
ɾ̃,ʌ,26
ɨ,ɹ,92
ə˞,ʃ,76
ə,o,94
ʉ,l,8
t,u,2
ɹ,w,22
æ,ɹ̩,4
l,a,12
f,ʊ,4
d,ð,94
H,ʌ,14
f,p,12
ə˞,ɪ,156
ə˞,ɔ,24
ɛ,a,20
ɨ,θ,28
ʔ,i,16
æ,e,42
m,p,6
θ,s,46
z,ʒ,44
ɨ,ɾ̃,18
s,ʃ,54
ʉ,ʒ,10
n,ɾ,14
ɑ,ɪ,6
z,l,18
ə˞,t,22
ʔ,t,98
ɛ,ɹ̩,36
ʒ,ɹ̩,10
ɾ,t,98
n,l,6
ɹ,ʌ,62
d,ɹ,8
ð,l,24
H,ð,164
ʊ,l̩,22
θ,ð,58
s,ɪ,16
t,ɪ,42
j,ʒ,82
ɦ,ɪ,16
w,d,2
ɾ,ɑ,2
ɪ,ɪ̃,10
ə˞,u,18
ɜ˞,ɔ,18
ɛ,ɡ,6
l,ʊ,28
ʃ,s,78
ʃ,ʌ,4
u,o,20
ʔ,ʊ,12
θ,t,20
ə˞,ð,2
p,θ,2
n,n̩,94
ʉ,n,30
i,æ,12
j,ɹ̩,40
ɨ,ʒ,18
æ,h,10
ʊ,a,2
ɨ,j,74
ɛ,l,2
t,æ,4
ɨ,n̩,48
ɑ,ɑ̃,2
ð,s,28
ɨ,æ,44
h,θ,2
ʒ,s,12
ɨ,ð,24
ə,ɔ,22
d,ʃ,22
m,b,14
ʔ,ʃ,2
t,ð,6
ə,z,6
ɾ,ɾ̃,12
ʔ,p,22
ŋ,ɪ,16
ʒ,ʃ,128
m̩,m,48
ɾ̃,ɛ,10
ɾ̃,d,8
ɜ˞,ʊ,40
v,p,2
ʌ,a,28
ɨ,v,6
ʉ,o,14
ð,ʌ,82
ʔ,ɔ,124
o,l,10
d,ʔ,26
p,ʔ,12
ʊ,ŋ,6
ə˞,ɑ,36
ə˞,s,24
ɦ,l,12
ə˞,ɛ,50
u,ɹ̩,2
ɔ,n,28
l̩,l,90
ŋ̍,ŋ,14
ð,t,64
t,f,2
w,ɪ,12
t,ʒ,10
o,ɪ,22
ɑ,ɹ̩,8
n,ɪ,30
t,θ,38
m,w,6
ə,n̩,12
ə̥,u,32
ɜ˞,ʃ,18
ɾ,ð,10
ɪ,ð,10
k,n,2
l̩,ɹ,10
æ,ɹ,2
ə̥,n,6
o,ɑ,16
ʊ,m,4
ə,d,14
n,θ,2
t,ʌ,12
ə,h,16
ɦ,j,2
ɪ,n,18
e,ʌ,12
w,o,8
ə˞,ɾ,6
a,t,4
m,ɛ,4
t,h,8
w,b,4
ə,l,32
l,w,18
i,ɛ,6
θ,f,8
ʉ,k,2
ɔ,æ,2
t,s,22
ʃ,ɹ̩,8
ɾ̃,ɾ,56
ə̥,i,20
ə,m̩,2
ɡ,ɪ,24
ə,m,4
ɹ,ɪ,62
ɨ,ʔ,6
ŋ,ɡ,6
v,b,66
ʔ,ɹ,22
ʔ,n,16
ɪ,l̩,2
a,s,4
k,ʌ,4
ð,m,6
ɡ,s,6
ʊ,ɔ,36
ʊ,ɛ,4
ɦ,k,2
ɪ,j,28
ə˞,w,6
ʔ,e,24
ʔ,o,76
ɔ,ʊ,100
ɨ,o,6
ə̥,p,4
b,l̩,2
p,ɛ,4
ð,ɪ,32
ɨ,z,36
b,ɡ,10
t,z,4
b,v,66
ɜ˞,v,2
æ,ʌ,18
ɨ,ŋ,22
ɡ,t,2
ɜ˞,u,10
ɑ,ɛ,14
w,j,2
n,w,4
t,ɹ̩,8
l,l̩,32
l,i,8
n,d,14
d,u,8
h,ɪ,34
b,d,14
ʌ,æ,16
ɛ,ɑ,12
ɡ,d,8
ə,e,6
t,ɛ,4
a,ɔ,6
t,l,2
ɪ,ɑ,12
ŋ̍,i,8
d,v,6
w,ɔ,20
m,ŋ,4
ð,z,28
ʉ,ɹ̩,12
ʊ,ɡ,2
i,a,4
ə,ð,28
ɹ,ʊ,14
j,ɑ,4
a,l,6
ə,u,100
ɾ̃,ɹ,4
ɛ,i,2
ɹ,ɔ,2
ʔ,j,4
s,n̩,2
ð,b,6
p,f,12
n,t,16
l,e,10
ɪ,s,8
m,m̩,8
l,ɹ,2
w,l̩,2
ɔ,f,4
ɔ,l̩,14
ə,ɹ,30
ʌ,o,54
æ,ɪ,26
k,e,2
ɜ˞,i,10
ð,d,48
d,z,4
w,ʌ,16
e,æ,40
ɪ,u,12
ə,w,16
s,ʊ,4
s,θ,6
z,ɹ,2
k,θ,2
ʉ,t,52
ɦ,u,10
i,u,14
v,θ,2
ɛ,o,8
ʃ,f,6
ə̥,ʊ,12
ə,t,22
l̩,o,10
ʌ,ɹ̩,12
a,ɹ,6
ʃ,ɪ,6
s,f,6
ə̥,ʃ,6
ə̥,s,8
ɹ,æ,2
j,a,2
ɦ,ɹ̩,18
v,ʊ,8
ʃ,ʒ,24
a,e,6
z,t,24
d,n,14
ə,ɑ,18
ɨ,a,14
ɹ,k,2
m,a,4
ɜ˞,n,4
ɨ,l,26
ə˞,æ,2
ə˞,o,12
ə˞,ɾ̃,2
d,ʊ,6
ʒ,ʌ,2
ɛ,æ̃,4
a,ɛ,18
ɹ,ɑ,4
o,u,20
e,ɪ,2
ɪ,l,10
n,ɪ̃,2
ʌ,ɪ,54
w,ɹ̩,8
ɪ,a,4
ə˞,i,16
ɪ,f,4
ə,ʔ,6
j,æ,2
j,i,26
ɾ,ɹ,4
ɜ˞,m,6
ɪ,ɾ,10
ʉ,ɡ,12
ɛ,ɾ,2
n,s,6
H,t,4
l,ɾ,8
ɹ,f,4
w,ʊ,40
ɔ,õ,2
ɪ,ʊ̃,2
n,ɹ,4
ʉ,d,20
m,l,10
ɔ,u,6
ɪ,w,8
d,ɛ,10
i,j,44
ʔ,æ̃,2
l,f,2
v,s,6
z,ʌ,14
ə,θ,12
ə,a,2
ʊ,s,2
ɔ,w,10
k,f,4
ɪ,ŋ,6
ɦ,ʃ,2
l,d,2
ɾ,ʌ,6
ɦ,æ,4
m,v,4
b,ʌ,4
k,t,6
ɔ,ɹ,8
ʊ,w,6
ŋ̍,ʌ,2
ɪ,d,8
ɨ,w,12
d,ɡ,8
s,ʌ,4
ʔ,w,4
m,s,2
n̩,ŋ,2
ɪ,o,12
l,ɪ,10
ə,ʃ,2
v,ʌ,10
n,ð,10
ɨ,ɛ̃,8
m̩,ɪ,24
ɾ̃,ɪ,18
ɾ,ɹ̩,10
ɹ,h,4
ʔ,s,8
æ,ɑ,32
ʉ,ɹ,6
ŋ,ɑ,2
ə,ɾ̃,8
ɑ,w,2
l,ð,30
t,k,34
n̩,m̩,4
o,l̩,20
ŋ,i,2
ʉ,ʊ,28
ə,f,12
ɨ,f,8
ɡ,ɹ̩,2
ʔ,n̩,6
ɜ˞,e,2
ə˞,h,6
ə̥,t,34
h,ʌ,14
n,ʃ,2
ɑ,h,4
ɪ,h,4
θ,z,2
ɨ,ʃ,10
ʒ,ɹ,2
j,ð,2
ɾ̃,ð,2
f,s,6
l,n,4
v,k,2
ʊ,æ,2
ʔ,l,30
ɦ,ʌ,18
h,f,2
ʔ,õ,6
o,ʊ̃,4
u,t,2
m,ʌ,8
ə̥,ð,2
s,t,4
k,ɪ,2
ə˞,ɛ̃,2
w,ɛ,2
d,θ,10
ʉ,z,2
H,ʒ,2
t,p,12
ə˞,n,2
ɑ,u,2
ə̥,n̩,2
m̩,ɹ,6
ɾ,ʊ,4
ʔ,u,14
ð,ŋ,4
l̩,u,8
a,ʃ,2
ʊ,ɑ,4
l̩,ɪ,10
o,a,10
ɦ,ɹ,6
b,ɹ,8
ɜ˞,o,10
b,ɪ,4
ɡ,ɹ,2
ɑ,l,2
ɑ,m,2
ɨ,l̩,6
ʔ,b,2
o,n,8
b,s,2
l,ɑ,2
t,j,2
ɔ,ʃ,12
ɹ,o,4
ʉ,m,6
ɹ,v,12
d,ʌ,20
i,ŋ,4
n,ɛ,8
o,ɹ̩,4
h,u,6
ʃ,u,4
ʉ,ɑ,2
ʌ,n,4
ʌ,ʊ,22
a,o,6
ð,f,4
ə̥,e,4
d,h,4
ʌ,l,4
j,ʌ,4
h,ɛ,6
ʔ,k,4
v,ʒ,2
z,ʊ,4
n̩,i,2
ə˞,f,8
f,m,2
m̩,u,6
l,ɔ,4
ɜ˞,ʒ,22
ŋ,n̩,2
ʉ,ʌ,6
ə,v,2
w,h,2
m̩,k,2
ə̥,θ,6
m,ʔ,2
ɜ˞,ɡ,6
H,θ,10
ɪ,ʃ,6
s,l,6
θ,æ,2
ə˞,b,12
ə,i,6
ə˞,v,6
ʒ,u,4
p,ɹ,2
f,ɪ,2
l̩,n,2
i,ĩ,2
m̩,ɛ,2
ʃ,d,2
o,ɡ,2
ɛ,m,2
p,v,2
i,ʌ,14
ɜ˞,d,6
n̩,ɾ̃,2
ə˞,l,2
ɜ˞,s,6
H,d,6
ɛ,t,4
ʊ,n,10
ɜ˞,t,6
ɨ,ɑ,2
t,ʊ,4
ɡ,ŋ,6
e,ɔ,2
f,h,2
ɦ,d,2
ɹ,b,2
j,h,4
ə̥,ɛ,4
ɹ,ɾ,2
d,ɹ̩,8
ɹ,ʒ,8
ɦ,ɛ,4
æ,ʔ,2
ɔ,t,8
ʊ,b,2
ʔ,θ,2
j,ʃ,8
v,d,2
ɾ,e,2
n,j,2
ə̥,m,2
n,l̩,2
ɑ,n,4
p,æ,2
h,s,2
ə˞,ɡ,4
z,θ,2
ʉ,w,4
m,ʊ,4
H,ɹ̩,4
h,ɑ,6
ɔ,e,4
ɦ,i,6
ɪ,t,6
ə,ɾ,4
n̩,s,2
f,ʌ,2
ɨ,p,2
ɨ,k,4
s,u,2
ŋ,m,6
a,j,2
t,ɹ,6
l,ɛ,2
ʔ,ɛ̃,2
j,ɡ,4
u,ɪ,2
æ,ɪ̃,2
ʌ,h,2
v,ð,2
i,ɔ,2
i,l,2
ə˞,m,6
s,ɹ̩,2
ɦ,t,2
ɛ,z,2
ɡ,h,2
ɾ̃,ɹ̩,10
ɾ̃,ʔ,4
l̩,ɑ,2
ə̥,ɪ̃,2
n̩,ʊ,2
ɾ,u,2
z,ɔ,2
v,ɹ̩,2
ɾ̃,ɑ,4
l,ʔ,2
ɾ,l,10
a,v,2
j,ɾ,2
ŋ,ɾ̃,4
p,s,2
e,o,2
θ,d,2
f,ɾ,2
j,e,2
a,ɪ,2
ɾ̃,ɔ,2
p,ɪ,4
ɔ,ɑ̃,2
ʃ,h,2
ʒ,ɪ,4
e,ð,2
ŋ,æ,2
H,ʊ,4
j,u,4
v,n̩,2
ɪ,v,2
n,ʊ,2
æ,k,2
p,t,2
ʉ,ɛ,2
ə,b,6
h,æ,4
ɹ,e,4
ɪ,ɛ̃,4
ʊ,i,4
d,n̩,2
ɛ,d,2
ɔ,ɛ,2
ɹ,t,2
z,ʃ,4
ɑ,ʊ,6
h,ʃ,4
ɡ,o,2
l,æ,2
ɪ,θ,2
t,n̩,2
ɾ,ʔ,6
a,ð,2
b,w,2
s,d,2
ɨ,ɡ,4
ɛ,h,2
ʃ,z,4
ɔ,ɾ̃,2
æ,ʊ,2
ɔ,l,6
ɪ,z,2
ɾ̃,m,4
u,ʌ,6
v,l,4
ʉ,e,2
ə,ʌ̃,2
ɛ,v,2
ɡ,i,2
ɔ,ʊ̃,2
d,ʒ,8
ʊ,j,2
ʃ,j,2
ɹ,a,2
s,ð,2
z,b,2
l̩,w,2
ɾ,z,2
z,p,2
n,z,2
h,j,4
t,ʃ,2
ð,ɛ,2
z,h,2
z,m,4
l,ʒ,2
ɾ̃,e,2
k,a,2
ʔ,ɡ,2
e,n,2
ʒ,d,4
ð,v,6
ɾ̃,ʊ,2
ə̥,ɾ,2
ʊ,t,6
ð,w,2
ʌ,z,2
ɾ̃,t,2
z,u,2
ɔ,m,2
ʌ,s,2
ʌ,e,2
s,ɹ,2
z,ð,2
ʃ,t,2
i,ʃ,2
ə˞,θ,2
ʉ,b,2
m,h,2
w,ɾ,2
z,ɹ̩,4
t,b,6
ɛ,ð,2
ɦ,n,4
ʌ,l̩,2
ŋ,ʔ,2
ɾ,ɛ,4
ə̥,l̩,4
æ,n,2
ɑ,ʒ,2
H,æ,2
ʔ,ð,6
i,ɹ̩,4
o,w,4
ʊ,e,2
m,o,2
ʊ,p,2
ɦ,ŋ,2
ŋ,k,2
l,z,2
v,t,2
v,ɹ,2
ɜ˞,b,2
m̩,ɹ̩,4
u,w,2
ɹ,n,2
u,i,4
n̩,ð,2
j,ɛ,2
ʉ,s,2
m,i,2
ɹ,i,6
v,z,2
ð,ɾ,2
z,a,2
ɪ,k,2
θ,l,2
ɾ̃,i,2
ɦ,a,2
ɜ˞,a,2
w,l,2
ɡ,ʌ,2
ʊ,h,2
k,m̩,2
m,e,2
θ,ɹ̩,2
h,e,2
ə̥,w,2
ʊ,d,2
ɪ,b,2
i,n,2
θ,m̩,2
h,ɔ,2
ɦ,ɑ,2
f,w,2
z,ɾ̃,2
j,ɹ,2
z,f,2
v,ɑ,2
ŋ,ʌ,2
f,ɹ̩,2
m,n̩,2
w,e,2
ɹ,j,2
æ,u,2
ɦ,θ,2
θ,u,2
m̩,l,4
æ,d,2
s,ɛ,2
l,u,2
ʒ,b,2
w,ɹ,2
ɹ,l̩,2
ɨ,b,2
i,z,2
l,o,2
ʊ,ɾ,2
ɛ,ʊ,2
i,l̩,2
m̩,n̩,2
n,ʒ,2
i,ð,2
l,***,630
ð,***,40
a,***,40
ɪ,***,646
ʔ,***,5582
ɑ,***,130
ə̥,***,158
w,***,116
ʊ,***,382
n,***,692
f,***,34
m,***,72
ʉ,***,44
t,***,1198
ɜ˞,***,142
ɨ,***,1418
ɾ,***,46
ɹ,***,426
z,***,94
ə,***,804
d,***,544
ɔ,***,268
ɡ,***,44
ɾ̃,***,54
ə˞,***,236
i,***,44
ɛ,***,180
k,***,158
s,***,76
j,***,70
ʌ,***,42
u,***,8
ɦ,***,98
o,***,40
v,***,80
e,***,96
ʃ,***,36
ʒ,***,44
æ,***,70
h,***,164
n̩,***,26
p,***,60
b,***,46
ŋ,***,56
H,***,24
l̩,***,20
θ,***,20
ŋ̍,***,4
***,k,414
***,ʊ,900
***,ɪ,2046
***,ɹ̩,556
***,ʌ,1408
***,ʔ,178
***,l,644
***,s,432
***,ʒ,334
***,n,764
***,e,152
***,ɹ,796
***,ɾ,50
***,i,244
***,m,308
***,w,34
***,t,382
***,z,292
***,ʃ,752
***,ɡ,44
***,o,120
***,θ,66
***,v,100
***,u,332
***,h,150
***,a,86
***,ɔ,22
***,f,54
***,l̩,30
***,ŋ,56
***,ɛ,162
***,ɪ̃,2
***,d,352
***,ð,70
***,p,96
***,b,68
***,j,64
***,n̩,36
***,ɑ,48
***,ɾ̃,20
***,æ,20
***,m̩,4
***,æ̃,8
