original,substitution,total_substitutions
ɨ,ɪ,13430
ə,ʌ,6908
ə˞,ɹ̩,6554
ɜ˞,ɹ̩,4300
ʉ,u,4234
ɨ,ʌ,3592
ɦ,h,2820
t,ʔ,2176
ə˞,ɹ,1756
ɪ,i,1668
ɨ,i,1628
ɨ,ɛ,1446
z,s,1324
ɑ,ɔ,950
ə,ɪ,824
ɪ,ɛ,730
i,ɪ,724
ɔ,o,698
l̩,ʌ,670
ɾ̃,n,614
ʔ,ɪ,608
ɛ,æ,594
ɔ,ɑ,592
ɜ˞,ɹ,568
i,e,550
æ,ɛ,496
ɾ,d,492
d,t,490
ɪ,ʌ,438
ɛ,ɪ,430
ʔ,ʌ,420
n̩,ʌ,372
a,ɑ,370
ð,n,360
ə̥,ɪ,350
n,ɾ̃,344
ə,ʊ,316
ɛ,ʌ,312
ə˞,ʌ,306
ʔ,ɛ,302
ə̥,ʌ,292
ð,θ,284
ɨ,ʊ,262
v,f,254
s,z,252
ʔ,ɑ,250
n̩,ɪ,238
d,ɾ,230
n,ŋ,228
ʉ,ɪ,214
ʊ,ʌ,210
ɨ,u,196
ʉ,j,194
n̩,n,188
ŋ,n,184
ʌ,ɑ,182
ɹ,ɹ̩,170
m̩,ʌ,168
ɜ˞,ɛ,168
H,ð,164
o,ʌ,158
ɨ,n,158
ə˞,ɪ,156
t,d,154
e,a,150
ɪ,ʊ,148
ɨ,ɹ̩,148
ə,l̩,148
ʔ,æ,148
ə,ɛ,146
ə,ɹ̩,130
ʒ,ʃ,128
ɡ,k,124
ʔ,ɔ,124
t,ɾ,122
ɜ˞,ʌ,120
ɨ,e,120
ɑ,ʌ,112
ə,n,110
l,ʌ,106
ɪ,ɹ,104
ʔ,ɹ̩,104
ɔ,ʊ,100
ə,u,100
ʌ,ɛ,98
ɾ,t,98
ʔ,t,98
ɛ,e,96
l̩,ʊ,96
n,n̩,94
d,ð,94
ɑ,a,94
ə,o,94
n,ʔ,92
ɨ,ɹ,92
l̩,l,90
ɜ˞,ɪ,90
o,ɔ,88
ɔ,ʌ,86
ɨ,t,82
ð,ʌ,82
j,ʒ,82
b,p,80
ə˞,j,80
æ,a,78
ʃ,s,78
n,m,78
ə˞,ʃ,76
ɪ,ɹ̩,76
ʔ,o,76
a,æ,76
ɨ,j,74
ʊ,u,72
ʊ,l,72
ʊ,ɪ,72
e,ɛ,70
m,n,70
ɜ˞,ɑ,68
ʌ,ɔ,68
b,v,66
v,b,66
ə˞,ʒ,64
t,n,64
ð,t,64
ɹ,ɪ,62
f,θ,62
ɹ,ʌ,62
θ,ð,58
ɾ̃,ɾ,56
ʊ,ʊ̃,54
s,ʃ,54
ʌ,ɪ,54
ɾ,ɪ,54
o,õ,54
ʌ,o,54
ʉ,t,52
ɑ,æ,52
ʉ,i,50
ə˞,ɛ,50
m̩,m,48
ɨ,n̩,48
ð,d,48
ə˞,ʊ,46
θ,s,46
ɪ,æ,46
ʒ,j,44
i,j,44
ɨ,æ,44
z,ʒ,44
d,s,44
ɨ,d,44
z,ɪ,42
p,b,42
æ,e,42
t,ɪ,42
ɛ,ɛ̃,42
e,æ,40
w,ʊ,40
k,ɡ,40
j,ɹ̩,40
ɜ˞,ʊ,40
ɨ,s,40
ɜ˞,j,38
t,θ,38
ɨ,h,38
ʊ,ɹ̩,38
ə˞,d,36
j,ɪ,36
ɛ,ɹ̩,36
n,ʌ,36
æ,æ̃,36
ɨ,z,36
ŋ̍,ɪ,36
ʊ,ɔ,36
a,ʌ,36
ə˞,ɑ,36
d,ɪ,36
ʔ,a,36
j,d,34
t,k,34
ə̥,t,34
h,ɪ,34
ʔ,ɾ,32
ə̥,u,32
ð,ɪ,32
ɔ,ɹ̩,32
l,l̩,32
ə,l,32
æ,ɑ,32
ə,ɹ,30
ɔ,a,30
ʔ,l,30
ʒ,z,30
n,ɪ,30
ə̥,ɹ̩,30
l,ð,30
ʉ,n,30
ɨ,θ,28
l,ʊ,28
ə,ð,28
n̩,ɛ,28
ɪ,j,28
ɨ,ɪ̃,28
ð,s,28
ɔ,n,28
ʌ,a,28
ð,z,28
ʉ,ʊ,28
æ,ɪ,26
d,ʔ,26
ɨ,l,26
ɾ̃,ʌ,26
H,ɪ,26
j,i,26
w,u,24
ɨ,ð,24
m̩,ɪ,24
ə˞,s,24
ə˞,ɔ,24
ʃ,ʒ,24
ʔ,e,24
z,t,24
ɡ,ɪ,24
ð,l,24
ʊ,l̩,22
t,s,22
ʔ,ɹ,22
ŋ̍,n̩,22
ɹ,ʃ,22
ɹ,ɡ,22
o,ɪ,22
ɹ,w,22
ə,t,22
ə˞,t,22
ɨ,ŋ,22
ʔ,p,22
ə,ɔ,22
ʌ,ʊ,22
ɜ˞,ʒ,22
d,ʃ,22
ɜ˞,h,20
ʉ,d,20
ʔ,h,20
o,u,20
ə̥,i,20
ɛ,a,20
w,ɔ,20
e,i,20
θ,t,20
u,o,20
d,ʌ,20
f,v,20
ə,s,20
o,l̩,20
l,w,18
ʉ,ʃ,18
ɾ̃,ɪ,18
ɜ˞,ʃ,18
æ,ʌ,18
z,n,18
ɛ,n,18
ɪ,n,18
z,l,18
ɨ,ɾ̃,18
ɦ,ɹ̩,18
ə˞,u,18
ə,ɑ,18
ɨ,ʒ,18
a,ɛ,18
ɦ,ʌ,18
o,ɛ,18
ɜ˞,ɔ,18
ə,h,16
s,ɪ,16
ʔ,d,16
ʔ,n,16
ɦ,ɪ,16
ʌ,æ,16
ʔ,i,16
ə˞,i,16
u,ʊ,16
ʒ,t,16
ə,w,16
ə,æ,16
n,t,16
o,ɑ,16
ɨ,m,16
ŋ,ɪ,16
w,ʌ,16
ɹ,u,16
ʔ,u,14
ɑ,ɛ,14
ɨ,a,14
h,ʌ,14
d,n,14
i,ɹ,14
n,d,14
ə,d,14
d,b,14
b,d,14
m,b,14
ʊ,ɹ,14
ŋ̍,ŋ,14
i,u,14
ɹ,ʊ,14
H,ʌ,14
i,ʌ,14
ʉ,o,14
z,ʌ,14
ɔ,l̩,14
ɔ,s,14
n,ɾ,14
ɹ,v,12
ə˞,b,12
t,p,12
ɛ,ɑ,12
ɪ,ɑ,12
ʌ,ɹ̩,12
ʉ,ɡ,12
ə,f,12
ə̥,ʊ,12
ʉ,ɹ̩,12
ɪ,u,12
p,f,12
ə,θ,12
ɪ,o,12
ɨ,w,12
ɔ,ʃ,12
ə˞,o,12
ʒ,s,12
f,p,12
t,ʌ,12
ʔ,ʊ,12
ɦ,ɾ,12
ɾ,ɾ̃,12
i,æ,12
e,ʌ,12
p,ʔ,12
ɦ,l,12
l,a,12
w,ɪ,12
ə,n̩,12
o,l,10
ɪ,ʔ,10
ɾ̃,ɛ,10
ɜ˞,i,10
ʊ,n,10
ɦ,u,10
l̩,ɪ,10
t,ʒ,10
æ,h,10
l,e,10
ɾ,ɹ̩,10
l̩,o,10
ɪ,ɾ,10
ɔ,w,10
d,ɛ,10
m,l,10
ɜ˞,o,10
l,ɪ,10
v,ʌ,10
ʉ,ʒ,10
ɪ,ð,10
n,ð,10
ɪ,l,10
ʒ,ɹ̩,10
H,θ,10
ɪ,ɪ̃,10
o,a,10
ɾ,ð,10
k,ʔ,10
b,ɡ,10
ɾ,l,10
ɨ,ʃ,10
l̩,ɹ,10
d,θ,10
ɾ̃,ɹ̩,10
ɜ˞,u,10
ʔ,s,8
ə,ɾ̃,8
ɨ,ɾ,8
θ,f,8
l̩,u,8
ɪ,w,8
ə˞,f,8
ɾ̃,d,8
ə̥,s,8
ɪ,s,8
m,m̩,8
j,ʃ,8
t,h,8
ɔ,t,8
b,ɹ,8
v,ʊ,8
ɹ,ʒ,8
d,ɹ̩,8
l,ɾ,8
w,ɹ̩,8
d,ʒ,8
m,ʌ,8
ɛ,o,8
w,o,8
ɨ,ɛ̃,8
ɨ,f,8
b,f,8
ɑ,ɹ̩,8
d,ɹ,8
d,u,8
ɔ,ɹ,8
ŋ̍,i,8
ɡ,d,8
n,ɛ,8
v,ɪ,8
d,ɡ,8
ʃ,ɹ̩,8
l,i,8
t,ɹ̩,8
ʉ,l,8
o,n,8
w,f,8
ɪ,d,8
ə,ʔ,6
m̩,u,6
d,ʊ,6
ɜ˞,ɡ,6
ɑ,ɪ,6
ə,j,6
m,p,6
ə˞,ɾ,6
ʉ,ʌ,6
ə̥,θ,6
n,l,6
ð,v,6
ʔ,n̩,6
f,s,6
ʊ,t,6
ɜ˞,m,6
k,t,6
ʉ,m,6
ɾ,ʌ,6
ɜ˞,l,6
ɪ,ŋ,6
ɹ,i,6
h,u,6
v,s,6
ɨ,l̩,6
l,ɹ̩,6
a,o,6
ɔ,u,6
i,ɛ,6
ɪ,ʃ,6
ʔ,ð,6
ʔ,õ,6
h,ɛ,6
ɦ,ɹ,6
n,s,6
ɨ,ʔ,6
ŋ,ɡ,6
ə,b,6
ə̥,ʃ,6
s,l,6
ʉ,ɹ,6
ə,z,6
ə˞,m,6
ɑ,ʊ,6
ə̥,n,6
u,ʌ,6
ð,b,6
ɔ,l,6
ɨ,v,6
a,l,6
ə˞,h,6
t,b,6
m̩,ɹ,6
h,ɑ,6
ʊ,ŋ,6
ɾ,ʔ,6
ɦ,i,6
d,v,6
ɪ,t,6
a,ɔ,6
ə,e,6
t,ɹ,6
m,w,6
ŋ,m,6
ə,i,6
t,ð,6
ʊ,w,6
ɜ˞,d,6
s,f,6
ʃ,ɪ,6
a,ɹ,6
ɜ˞,s,6
a,e,6
ə˞,w,6
ɡ,s,6
ɛ,ɡ,6
ʃ,f,6
ð,m,6
