reference,predicted,count
ə˞,ə˞,0
o,o,2810
h,h,1196
ə̥,ə̥,0
e,e,2993
θ,θ,951
u,u,711
k,k,8067
m̩,m̩,1
m,m,5390
ɜ˞,ɜ˞,0
s,s,9911
z,z,4481
p,p,3980
H,H,0
v,v,2626
ɾ,ɾ,3436
l̩,l̩,852
ʉ,ʉ,0
ɨ,ɨ,0
j,j,2268
d,d,7601
ʒ,ʒ,1691
w,w,4304
ɪ,ɪ,12008
ŋ̍,ŋ̍,0
n̩,n̩,481
ð,ð,3564
f,f,3106
i,i,9234
ə,ə,0
ʌ,ʌ,2933
b,b,3357
ŋ,ŋ,1683
ɑ,ɑ,3832
l,l,8081
ʔ,ʔ,813
ɦ,ɦ,0
ɾ̃,ɾ̃,1001
n,n,8937
æ,æ,5134
ɛ,ɛ,4865
ɔ,ɔ,4266
ɹ,ɹ,8917
ɡ,ɡ,3235
a,a,3975
t,t,8297
ʃ,ʃ,4068
ʊ,ʊ,4291
ɨ,ʊ,127
ɨ,ɪ,6733
ʉ,u,2173
ʒ,z,18
l̩,ʊ,66
ɪ,ɛ,441
ɔ,o,201
ʌ,a,10
t,ʔ,967
ə˞,ɹ̩,3299
ə,ʊ,110
ə,ʌ,3615
ɾ̃,n,276
a,æ,19
m,ŋ,2
n,ŋ,136
ɔ,ɑ,428
ɑ,ɔ,196
ɪ,i,774
ə̥,ʌ,159
ə,n,48
ɨ,ʌ,1692
ʌ,k,2
ɜ˞,ɹ̩,2213
ə̥,ɪ,206
ɑ,æ,25
a,ɑ,153
n̩,ʌ,234
z,n,10
ɦ,h,1427
z,s,483
ʊ,ɪ,37
ɜ˞,ɹ,266
d,ɾ,127
ɪ,ʌ,177
ə,l̩,52
n̩,ɪ,158
ɨ,ɛ,1120
ɪ,ʊ,122
ə,ɹ̩,31
ɨ,i,811
ə˞,ɹ,948
æ,ɛ,189
ə̥,t,22
ɾ,d,160
n,ʔ,63
ʌ,ɛ,58
ʊ,ʌ,82
ʔ,ɪ,285
ɨ,ɹ,58
ɜ˞,ɛ,112
ə̥,j,5
m̩,ʌ,91
m,n,15
ʔ,ʌ,190
ŋ̍,n̩,11
ʔ,ɑ,58
ɔ,ʌ,26
ʔ,ɹ̩,62
ə,j,3
t,ɾ,72
ɨ,u,97
z,m,4
ɛ,æ,156
ə˞,j,38
ɛ,ʌ,65
n̩,n,53
o,ɔ,27
e,a,25
ə,ɪ,428
ʔ,æ,36
ɨ,t,39
b,p,17
d,l,2
ʔ,ɛ,193
ɔ,s,4
ɪ,o,4
ɜ˞,h,10
i,ɪ,377
ə,u,42
l̩,ʌ,313
ə˞,ɪ,91
ə,o,36
ʔ,ʊ,10
ʒ,j,39
ɨ,e,47
b,f,3
i,u,1
ɑ,ʌ,27
m̩,m,37
ʔ,l,42
ɜ˞,ɑ,20
ɨ,ʒ,4
ɛ,ɪ,93
n̩,ɛ,24
n,ɾ̃,172
ɑ,a,45
ð,θ,27
ʔ,t,72
ʊ,l,16
H,ð,97
p,f,7
m,ʌ,2
ʉ,i,20
ʉ,j,110
s,z,149
ʊ,ɹ,5
ɜ˞,f,1
ə,ɛ,120
f,v,9
ə˞,ɔ,12
ɨ,m,10
ə˞,ʌ,175
s,ʃ,22
a,ʌ,13
ɨ,ɾ,9
ʔ,e,8
ŋ̍,ɪ,23
ʊ,u,34
ʌ,ɹ,2
m̩,ɛ,2
v,f,24
ɔ,ɹ̩,5
ʉ,ʃ,18
ɪ,æ,4
i,e,32
v,ɪ,3
w,f,1
ɜ˞,ɪ,35
ʌ,ɔ,29
o,ʌ,49
ɛ,e,34
ɹ,ɛ,1
ɜ˞,b,7
ɨ,n,56
ɪ,ɹ̩,19
t,n,24
ʊ,ɹ̩,15
ʌ,o,25
ɾ̃,d,2
ɦ,ɾ,7
m̩,ɪ,13
