original,substitution,total_substitutions
ɨ,ɪ,6733
ə,ʌ,3615
ə˞,ɹ̩,3299
ɜ˞,ɹ̩,2213
ʉ,u,2173
ɨ,ʌ,1692
ɦ,h,1427
ɨ,ɛ,1120
t,ʔ,967
ə˞,ɹ,948
ɨ,i,811
ɪ,i,774
z,s,483
ɪ,ɛ,441
ɔ,ɑ,428
ə,ɪ,428
i,ɪ,377
l̩,ʌ,313
ʔ,ɪ,285
ɾ̃,n,276
ɜ˞,ɹ,266
n̩,ʌ,234
ə̥,ɪ,206
ɔ,o,201
ɑ,ɔ,196
ʔ,ɛ,193
ʔ,ʌ,190
æ,ɛ,189
ɪ,ʌ,177
ə˞,ʌ,175
n,ɾ̃,172
ɾ,d,160
ə̥,ʌ,159
n̩,ɪ,158
ɛ,æ,156
a,ɑ,153
s,z,149
n,ŋ,136
ɨ,ʊ,127
d,ɾ,127
ɪ,ʊ,122
ə,ɛ,120
d,t,118
ð,n,117
ɜ˞,ɛ,112
ʉ,j,110
ə,ʊ,110
H,ð,97
ɨ,u,97
ɛ,ɪ,93
m̩,ʌ,91
ə˞,ɪ,91
ʊ,ʌ,82
ʌ,ɑ,75
t,ɾ,72
ʔ,t,72
l̩,ʊ,66
ʔ,ɔ,65
ɛ,ʌ,65
n,ʔ,63
ʔ,ɹ̩,62
ɨ,ɹ,58
ʔ,ɑ,58
ʌ,ɛ,58
ɨ,n,56
n̩,n,53
ə,l̩,52
ɔ,ʊ,50
ʔ,o,50
o,ʌ,49
ə,n,48
ɨ,e,47
n,m,47
ʉ,ɪ,45
ɑ,a,45
t,d,45
ə,u,42
ʔ,l,42
ə˞,ɛ,40
ɨ,t,39
ʒ,j,39
ʒ,ʃ,39
ə˞,j,38
ɜ˞,ʌ,38
m̩,m,37
ʊ,ɪ,37
ŋ,n,36
ʔ,æ,36
ə,o,36
ɹ,ɹ̩,35
ɜ˞,ɪ,35
ʊ,u,34
ɛ,e,34
ɨ,j,33
ɨ,ɹ̩,32
i,e,32
d,ð,32
θ,ð,31
ɨ,ð,31
ə,ɹ̩,31
e,ɛ,30
l̩,l,30
ɨ,d,30
ʉ,t,29
ʌ,ɔ,29
ə,l,28
ð,θ,27
ɑ,ʌ,27
o,ɔ,27
v,b,27
ɔ,ʌ,26
ə,ð,25
ʌ,o,25
ɑ,æ,25
e,a,25
t,n,24
n̩,ɛ,24
ɾ,t,24
v,f,24
ə,ɹ,23
ɜ˞,j,23
ŋ̍,ɪ,23
ə˞,ʃ,22
s,ʃ,22
ə̥,t,22
ə̥,u,21
ɜ˞,ɑ,20
ʉ,i,20
ɨ,h,19
ɪ,ɹ̩,19
ɨ,l,19
a,æ,19
ʉ,ʃ,18
ʌ,ɪ,18
ð,ʌ,18
ʒ,z,18
b,p,17
ɪ,ɹ,17
ə˞,d,17
ʊ,l,16
ʃ,s,16
æ,e,16
e,æ,16
ʉ,n,15
b,v,15
ʊ,ɔ,15
ɾ̃,ɾ,15
m,n,15
ə˞,ʊ,15
n,n̩,15
ʊ,ɹ̩,15
h,ɪ,14
ʉ,ʊ,14
t,ɪ,14
æ,a,14
j,d,14
ɡ,k,13
ɨ,s,13
z,ɪ,13
m̩,ɪ,13
a,ʌ,13
ɨ,ŋ,12
ʊ,l̩,12
ə˞,ɔ,12
ʔ,ɾ,12
ɦ,ɪ,11
m̩,ɹ,11
ŋ̍,n̩,11
ʔ,n,11
ɦ,ʌ,11
ɜ˞,ʊ,10
ɜ˞,h,10
ə˞,t,10
ʔ,ʊ,10
ʌ,a,10
ɨ,n̩,10
z,n,10
ə˞,ɑ,10
ə̥,i,10
ʃ,ʒ,10
ɜ˞,u,10
t,θ,10
z,ʒ,10
ɨ,m,10
ʉ,d,10
ʔ,d,9
ə,ɔ,9
ʔ,ɹ,9
f,v,9
ʔ,u,9
ɔ,a,9
ɨ,ɾ̃,9
j,ɹ̩,9
ɨ,ɾ,9
ə̥,ʊ,9
ɨ,æ,9
ɦ,ɹ̩,9
ə,ɑ,8
ɜ˞,ʒ,8
θ,s,8
ə̥,ɹ̩,8
n,ʌ,8
ɾ̃,ɛ,8
ŋ̍,ŋ,8
æ,ɑ,8
z,d,8
H,ɪ,8
ʔ,e,8
w,ʊ,8
ə,d,7
l,ʌ,7
ʔ,a,7
ɾ,ɪ,7
e,i,7
ɜ˞,b,7
ɨ,z,7
u,ʊ,7
ə,h,7
ɹ,ɪ,7
ʔ,p,7
ʔ,s,7
ə,θ,7
ɦ,ɾ,7
p,b,7
ɪ,j,7
p,f,7
ɨ,θ,7
ɪ,n,7
ɦ,l,7
l̩,ɹ,7
æ,ɪ,6
ə,s,6
ð,d,6
ə˞,ʒ,6
t,p,6
ʔ,i,6
ʉ,l,6
ə,ɾ,6
d,s,6
ə˞,s,6
k,ɡ,6
t,ɹ̩,6
h,ʌ,6
o,u,6
ɪ,u,6
j,i,6
w,u,6
ɔ,n,6
a,ɛ,6
ɹ,w,6
n,ɪ,6
ɜ˞,ʃ,6
H,θ,6
ʉ,ɡ,6
ʌ,æ,6
s,l,6
ɦ,ɹ,5
z,t,5
ɾ,ɾ̃,5
t,s,5
d,ʃ,5
ɹ,ʌ,5
l̩,w,5
ɔ,ɹ̩,5
ʊ,ɹ,5
ɾ,ʔ,5
ə,m,5
ɨ,w,5
j,u,5
ə˞,h,5
l,l̩,5
ɜ˞,ɡ,5
ə,t,5
d,ɪ,5
ə̥,j,5
d,n,4
ɛ,a,4
h,ɹ̩,4
ʉ,ɹ,4
ə˞,b,4
ɹ,ʊ,4
ə,w,4
ð,z,4
ʉ,m,4
ə˞,ɡ,4
s,ɪ,4
ə,i,4
t,ʌ,4
ə̥,ð,4
d,ʌ,4
ɾ̃,ʌ,4
ɨ,ʃ,4
ð,ɛ,4
ɔ,u,4
ə˞,i,4
l̩,o,4
ɨ,ʒ,4
w,ɪ,4
t,k,4
ɪ,l,4
ʊ,ɛ,4
ə˞,w,4
ɨ,o,4
l̩,u,4
ɪ,æ,4
ʌ,ɹ̩,4
n,d,4
ɔ,s,4
ɪ,o,4
z,m,4
ɪ,ŋ,4
ʔ,ð,3
i,ɹ,3
ɛ,ð,3
ʉ,ɹ̩,3
z,ʃ,3
t,ð,3
w,ɹ̩,3
ɪ,d,3
ð,t,3
h,ɑ,3
d,ʔ,3
ʉ,h,3
a,l,3
ə,j,3
t,ʒ,3
w,l,3
ʊ,w,3
θ,t,3
ʉ,s,3
æ,h,3
ɪ,h,3
j,ɪ,3
v,ɪ,3
ə˞,ɾ,3
ɛ,n,3
ɔ,l,3
w,ʌ,3
ɜ˞,l,3
ɾ̃,ɹ̩,3
f,p,3
ɹ,ʃ,3
m̩,u,3
b,f,3
ə,ɾ̃,3
f,θ,3
ð,l,3
p,ʔ,3
ɛ,ɡ,3
ə˞,l,3
ɜ˞,n,3
æ,ʌ,3
H,d,3
l̩,n,3
t,ɛ,3
ɛ,ɑ,3
ə˞,m,3
ɡ,ɪ,3
o,l̩,3
H,ʌ,3
ə̥,ɹ,3
v,ɹ,3
ɜ˞,s,3
ɜ˞,ɔ,3
ʌ,ʊ,3
j,ɛ,3
i,j,3
ɦ,u,3
l,ɾ,3
ɨ,f,3
ʉ,ʌ,3
n,ɾ,3
ð,ɪ,3
t,j,2
ʊ,t,2
d,ɛ,2
ɪ,t,2
ʌ,l̩,2
n̩,ɹ̩,2
ŋ,ɛ,2
ɔ,ɹ,2
l̩,ɪ,2
ə,æ,2
ʃ,j,2
ɦ,n,2
ʃ,ɪ,2
ð,m,2
ɾ̃,ɹ,2
ə˞,u,2
j,ʃ,2
ə,f,2
v,ð,2
ɦ,ʊ,2
o,ɛ,2
ɪ,ʃ,2
ʉ,b,2
θ,f,2
ɨ,k,2
k,m,2
ə,v,2
ɹ,b,2
ə˞,f,2
m̩,k,2
ʔ,k,2
ɦ,i,2
ʊ,j,2
ə,n̩,2
l,ɪ,2
m,b,2
w,b,2
ʒ,ɹ̩,2
i,ʌ,2
i,n,2
ə˞,v,2
ɜ˞,o,2
ɨ,ɡ,2
ŋ,m,2
a,o,2
d,u,2
n,ɛ,2
ɹ,v,2
ʃ,d,2
h,u,2
w,e,2
ɾ,ɹ,2
d,θ,2
s,ɹ,2
n,ð,2
ɜ˞,t,2
z,l,2
ʔ,w,2
ɑ,ʊ,2
b,m,2
ʌ,k,2
m,l,2
ə˞,ð,2
ʒ,d,2
u,o,2
ɪ,ɾ,2
ɨ,ʔ,2
ɜ˞,m,2
ɑ,l,2
ɾ,l,2
ŋ,ɡ,2
ɛ,h,2
ɪ,ɑ,2
l,d,2
ʊ,n,2
ɑ,ɪ,2
ə,p,2
o,ɑ,2
ɪ,m,2
ɪ,ʔ,2
d,l,2
ɾ̃,d,2
ɦ,ɛ,2
ə,e,2
ɔ,l̩,2
ɜ˞,d,2
ʒ,s,2
s,ʌ,2
ə̥,θ,2
ɾ̃,ŋ,2
ɛ,i,2
m̩,ɹ̩,2
m̩,n̩,2
m̩,ɛ,2
ʔ,h,2
ɪ,s,2
ʌ,ɹ,2
ð,s,2
l,ʊ,2
ʃ,f,2
m,ŋ,2
ʊ,m,2
ɹ,u,2
j,m,2
m,ʌ,2
ə̥,n,2
t,l,2
ɾ̃,ʔ,1
ɾ̃,ʊ,1
d,j,1
n̩,ŋ,1
ə˞,e,1
ə̥,ɾ,1
t,u,1
s,ɹ̩,1
ɹ,ɛ,1
o,a,1
z,ɡ,1
e,ɔ,1
h,æ,1
ʃ,ʊ,1
t,n̩,1
ə,ʃ,1
v,ʊ,1
m,ɪ,1
k,ŋ,1
ʃ,z,1
t,æ,1
