original,substitution,total_substitutions
ɪ,j,6443
ɨ,ə,4540
ʊ,w,3046
ɨ,ɪ,2958
ɾ,t,2558
ə˞,ɹ̩,2429
ʉ,u,1990
ɜ˞,ɹ̩,1794
ɦ,h,1374
d,d͡ʒ,1104
ɛ,æ,1083
ə˞,ɹ,1037
l̩,ə,1029
ɨ,æ,991
ɾ̃,n,927
t,t͡ʃ,872
ɾ,d,856
ʔ,t,785
ɨ,i,784
ɪ,ə,727
ə˞,ɔ,692
o,ɑ,677
ɔ,ɑ,612
ɔ,o,595
n̩,ə,570
i,ɪ,561
ʌ,ə,462
s,z,398
ə,ʌ,386
i,ə,345
ɪ,i,329
ɔ,j,318
ʔ,æ,309
ʊ,n,302
ʒ,j,299
ə,ɪ,296
ʔ,ɪ,294
ɾ̃,t,293
ɜ˞,ɹ,288
ə̥,ə,283
ʔ,o,280
ɜ˞,ɔ,266
ɪ,æ,266
θ,ð,224
ɑ,ɔ,218
ʒ,ə,216
ʔ,ə,208
z,s,207
n̩,æ,205
ə,ɑ,204
ɹ,ɹ̩,199
ŋ,n,193
ɨ,t,186
ʉ,ə,180
ɛ,ə,170
ɪ,ɛ,170
ʌ,ɑ,165
ɑ,a,159
ʃ,t͡ʃ,142
ɨ,ʌ,137
d,t,133
ʒ,d͡ʒ,132
ɨ,ɛ,131
ə,æ,125
ə˞,ə,119
e,ə,116
n,ŋ,113
H,ð,111
ə,ɹ̩,111
ɨ,n,110
ʒ,ɪ,104
ʃ,ə,104
ʉ,j,100
ə˞,ɑ,98
ʃ,ɹ̩,97
ɜ˞,ʊ,96
ɨ,ɹ,96
ʔ,ɑ,90
n̩,n,90
ɜ˞,ɛ,89
ɨ,h,86
ʃ,s,83
ɨ,ɑ,80
ɨ,u,77
ʒ,ɹ̩,77
l̩,ɪ,76
ɨ,ɹ̩,75
ɨ,d,74
ʔ,ɔ,74
ə,o,74
m̩,ə,73
u,ə,71
ʔ,l,71
ɾ,ə,71
ɨ,ð,68
ɨ,ʊ,61
i,ɛ,58
n̩,ɪ,57
ʔ,ɹ̩,57
ə̥,ɪ,56
l̩,l,54
ɛ,e,52
ɪ,o,52
ɛ,ɪ,51
ə,ɛ,51
ɨ,l,49
ə˞,t,49
ɨ,j,49
ʒ,z,49
ʊ,ɔ,49
ʔ,ɹ,47
ʔ,n,46
ʊ,ə,46
ə˞,ɛ,45
ʔ,ʌ,45
ʊ,j,44
ʌ,o,42
ɹ,w,40
ʔ,j,39
ʃ,j,38
ʒ,ʌ,38
ʉ,t,37
ʔ,d,37
ə˞,j,37
ʌ,ɔ,36
v,b,36
ɜ˞,æ,35
ɪ,t,35
e,i,35
t,ə,35
ə,ɹ,34
m̩,ʌ,34
ʌ,ɛ,33
ɜ˞,ɑ,32
t,n,32
ʔ,ɛ,32
ŋ,d,31
ɜ˞,ɪ,31
s,l,31
ə˞,ɪ,31
ɾ,ɹ,30
m,n,30
ʌ,æ,29
ʊ,o,29
ɑ,æ,29
e,æ,28
t,d,28
ʒ,u,28
i,ð,28
ɛ,h,28
ə,ɔ,28
ð,θ,27
ɦ,d,27
d,ə,27
ʒ,o,27
ʊ,ɑ,26
ɪ,a,26
ə̥,t,26
ɨ,ɔ,26
ɛ,t,25
d,ð,25
ʊ,ɪ,25
ɪ,n,25
ɛ,n,25
ʃ,u,25
ɨ,o,24
ə˞,d,24
ɪ,ɹ,23
ʔ,a,23
o,ɔ,22
ʊ,u,22
ɜ˞,h,22
ʊ,ʌ,21
l̩,n,21
ʌ,a,21
l̩,t,21
ə˞,h,20
ɔ,n,20
ɔ,ʊ,20
ʌ,ɹ̩,20
æ,ɛ,20
ɨ,e,19
ɨ,z,19
ŋ̍,ɪ,19
m̩,ɹ,19
ɜ˞,j,19
ɔ,w,19
ə,u,19
ʊ,ɹ,19
ʒ,ɛ,19
f,v,19
ɑ,w,18
ɑ,ə,18
l̩,w,18
ɪ,ʌ,17
t,ɹ,17
ʊ,ɹ̩,17
ɦ,l,16
ɪ,e,16
i,e,16
d,u,16
o,ə,16
ə,i,16
e,ɛ,15
ɾ,ɪ,15
ʌ,ɪ,15
ɪ,d,15
ɾ̃,æ,15
ʌ,ɹ,14
ɜ˞,d,14
ɾ,j,14
ə,t,14
ŋ̍,æ,14
ə˞,z,14
ɪ,ɹ̩,14
ɜ˞,t,14
ɦ,ə,14
ə˞,i,13
d,ɡ,13
j,i,13
ɦ,ɹ̩,13
æ,ə,13
t,θ,13
ʉ,ʊ,13
ɾ,w,13
i,j,13
ɔ,d,12
t,ɹ̩,12
d,ɹ,12
ɹ,j,12
m̩,ɪ,12
æ,ɑ,12
ʊ,l,12
t,z,12
ɪ,s,12
ɪ,ɑ,12
ʉ,i,12
ɾ̃,d,12
a,æ,12
ɑ,ʌ,12
ʉ,n,12
æ,a,11
ʉ,ɹ,11
ɨ,s,11
ʃ,d͡ʒ,11
d,n,11
ə̥,ɹ̩,11
ɦ,ɹ,11
w,ə,11
æ,e,11
ə̥,ʌ,11
ɜ˞,t͡ʃ,11
ə̥,ð,11
ɑ,j,11
ɛ,ʌ,11
ʒ,t͡ʃ,11
ʉ,d,10
n̩,t,10
ʃ,ɛ,10
h,ɪ,10
ɔ,t,10
ə,ʊ,10
s,n,10
ɪ,l,10
ɜ˞,n,10
n,ð,10
ʔ,u,10
ʃ,æ,10
ɪ,ʊ,10
t,l,10
t,ɪ,10
ʃ,ʒ,9
ɦ,t,9
ə˞,ʊ,9
d,ɪ,9
ð,d,9
ɜ˞,ɡ,9
ɾ̃,ɹ,9
i,n,9
k,ɡ,9
t,k,9
ə,h,9
ɡ,k,9
t,ð,9
ʃ,ɪ,9
ʌ,l,9
ʒ,æ,8
f,p,8
ʌ,ð,8
ʌ,t,8
ə˞,w,8
ʔ,p,8
ɾ,æ,8
ɛ,a,8
n,m,8
p,t,8
n,d͡ʒ,8
l,j,8
ʒ,ʔ,8
l̩,ʊ,8
ɔ,m,8
ɨ,ŋ,8
ʃ,h,8
ɹ,ə,7
ɾ,u,7
ə̥,i,7
ɔ,l,7
ʔ,w,7
ɾ̃,ŋ,7
ʌ,h,7
ɾ̃,ə,7
t,d͡ʒ,7
ɾ,ð,7
ə,l,7
ɨ,a,7
ɔ,k,7
a,ɑ,7
ɹ,a,7
ʉ,ɔ,7
æ,ɪ,7
l̩,ɹ,7
ə˞,ɡ,7
ʉ,ʃ,7
ɑ,d,7
ɨ,d͡ʒ,7
ə̥,ɹ,7
ə˞,b,7
ʒ,ɔ,7
ɾ,ɹ̩,7
ə,a,7
ɛ,d,7
ɾ̃,ɪ,7
i,d,7
ə˞,a,7
ɾ,l,7
ɔ,p,7
ə̥,u,7
l̩,ɛ,7
d,j,7
ʉ,l,6
ɪ,h,6
ə˞,ʌ,6
ɔ,ʌ,6
ʃ,ɔ,6
ʃ,ʌ,6
ʊ,t,6
h,ə,6
s,t,6
u,ɹ̩,6
ʉ,ɡ,6
ə,d,6
w,i,6
ɜ˞,ʌ,6
ɛ,l,6
ʃ,t,6
d,z,6
ɔ,ɹ̩,6
z,ɪ,6
ŋ̍,ŋ,6
ɜ˞,ə,6
d,l,6
ɹ,t,6
t,w,6
H,θ,6
t,s,6
a,i,6
ɹ,ɪ,6
ʌ,n,5
n̩,ɛ,5
ə˞,n,5
e,a,5
ɛ,ɹ̩,5
t,u,5
ʃ,d,5
l̩,ʌ,5
ɾ̃,ɛ,5
i,ɹ,5
i,a,5
b,p,5
n,s,5
ɪ,u,5
u,o,5
ə˞,l,5
s,ɪ,5
ə̥,j,5
u,t,5
ɪ,ð,5
s,ʃ,5
ɛ,i,5
